transaction_id,transaction_datetime,transaction_amount_inr,transaction_channel,merchant_category,customer_region,device_type,account_age_months,available_balance_inr,monthly_income_inr,credit_limit_inr,credit_utilization_pct,transactions_last_24h,avg_transaction_amount_30d_inr,failed_logins_last_24h,distance_from_usual_location_km,international_transaction,card_present,prior_disputes_12m,is_fraud
TXN000026,2025-05-31 21:45:00,2803.03,mobile_app,restaurants,Mumbai,iOS,118,325794.35,86580.48,267750.01,29.6,2,1293.23,0,10.6,0,0,0,0
TXN000027,2025-11-28 12:33:00,17217.87,mobile_app,utilities,Bengaluru,Android,131,74715.03,41331.55,131088.49,13.8,6,8701.71,0,10.0,0,0,0,0
TXN000028,2025-09-17 09:57:00,14872.81,ATM,fuel,Hyderabad,card_terminal,97,98918.21,31385.71,39993.22,69.3,3,3031.15,0,,0,1,0,1
TXN000029,2025-01-22 01:03:00,1151.4,ecommerce,fuel,Other,Android,127,77236.23,105827.4,273039.42,50.7,1,1669.38,0,6.6,0,0,0,0
TXN000030,2025-04-15 08:52:00,782.62,ecommerce,groceries,Bengaluru,iOS,105,214058.55,60351.89,69203.51,,3,1704.09,0,22.5,0,0,0,0
TXN000031,2025-04-14 19:46:00,5845.06,POS,fuel,Bengaluru,iOS,81,45600.48,65191.19,242020.91,39.5,12,5860.61,3,1263.7,0,1,0,0
TXN000032,2025-12-30 06:52:00,749.21,POS,travel,Hyderabad,card_terminal,22,16570.11,35474.19,99762.35,51.8,5,1643.9,0,3.5,0,0,0,0
TXN000033,2025-04-19 10:51:00,2861.39,ecommerce,electronics,Hyderabad,iOS,28,50892.48,32791.29,38320.16,48.5,3,1520.29,0,14.1,0,0,0,0
TXN000034,2025-08-08 17:49:00,943.93,POS,fuel,Mumbai,card_terminal,17,142213.17,100542.88,167956.38,42.7,1,1151.14,0,83.7,0,1,0,0
TXN000035,2025-09-26 18:10:00,4168.88,POS,travel,Delhi,,155,252643.71,63454.44,266083.72,64.7,1,2803.05,0,4.0,0,1,0,0
TXN000036,2025-09-19 02:25:00,1202.17,POS,fashion,Bengaluru,Android,67,153143.7,45077.43,80656.42,57.0,2,1346.98,0,3.2,0,1,0,0
TXN000037,2025-12-05 10:20:00,2726.01,mobile_app,fashion,Pune,Android,40,172264.1,,137796.74,33.9,2,1676.06,0,3.7,0,0,0,0
TXN000038,2025-11-29 20:41:00,990.32,ATM,cash_withdrawal,Chennai,card_terminal,10,,75465.82,143055.49,14.1,2,1581.24,0,18.2,0,1,0,0
TXN000039,2025-04-28 04:21:00,38771.6,mobile_app,groceries,Bengaluru,Android,165,44944.7,33756.5,33235.37,66.3,4,3185.26,0,,0,0,0,1
TXN000040,2025-01-19 00:31:00,455.88,ecommerce,groceries,Chennai,iOS,105,264462.03,82314.0,337812.4,45.7,0,892.43,3,7.2,0,0,0,0
TXN000041,2025-05-27 17:38:00,1868.55,ATM,fashion,Mumbai,Android,129,68765.4,77823.22,268378.56,13.8,4,1380.71,0,0.8,0,1,0,0
TXN000042,2025-05-05 01:56:00,5082.33,ecommerce,restaurants,Mumbai,Android,5,6634.67,37761.85,128157.04,26.4,7,2753.94,0,6.6,0,0,0,0
TXN000043,2025-03-14 19:38:00,2019.72,ecommerce,,Delhi,desktop,72,97024.4,51454.51,204234.17,,3,2601.48,0,15.8,0,0,0,0
TXN000044,2025-11-08 12:06:00,1082.51,mobile_app,cash_withdrawal,Other,Android,161,,97774.9,288609.67,,0,903.07,0,15.3,0,0,0,0
TXN000045,2025-08-01 16:22:00,2343.26,POS,utilities,Bengaluru,Android,133,19306.21,80498.46,269054.17,14.5,3,2447.4,2,4.1,0,1,0,0
TXN000046,2025-12-13 18:18:00,5688.65,ATM,groceries,Delhi,desktop,75,111602.85,54425.64,174767.78,36.6,6,1453.77,0,0.4,0,1,0,0
TXN000047,2025-09-03 11:59:00,3469.35,ecommerce,cash_withdrawal,Hyderabad,Android,78,97084.05,50428.23,48684.64,65.5,0,,0,90.2,0,0,1,0
TXN000048,2025-11-12 09:49:00,2513.95,mobile_app,groceries,Hyderabad,Android,148,239438.93,76439.94,149743.56,17.2,1,2699.17,0,32.3,1,0,0,0
TXN000049,2025-10-16 12:46:00,661.2,POS,groceries,Pune,Android,94,,79263.36,228856.19,37.2,1,852.29,0,0.2,0,0,0,0
TXN000050,2025-06-24 12:39:00,1879.68,ATM,cash_withdrawal,Mumbai,Android,99,246483.37,64341.98,223095.24,28.9,0,1102.59,0,4.4,0,1,0,0
TXN000051,2025-12-05 04:58:00,4114.34,POS,groceries,Delhi,iOS,103,36963.67,,178005.76,41.2,5,1752.76,0,,0,1,0,0
TXN000052,2025-09-22 23:29:00,11966.1,mobile_app,electronics,Chennai,Android,44,191943.9,,156091.88,35.3,9,3392.27,4,6.2,0,0,0,1
TXN000053,2025-12-28 02:57:00,4729.18,ATM,restaurants,Mumbai,desktop,98,90787.61,38118.87,154811.58,41.4,5,,0,76.4,0,1,0,0
TXN000054,2025-04-30 20:11:00,539.25,POS,fashion,Chennai,Android,104,33163.77,,64390.01,68.4,0,614.49,0,78.7,0,1,0,0
TXN000055,2025-10-13 10:01:00,589.91,ecommerce,travel,,Android,75,125193.9,43280.24,91689.93,39.5,9,925.43,0,41.0,0,0,0,0
TXN000056,2025-12-23 05:14:00,3534.11,mobile_app,electronics,Delhi,Android,155,88504.98,33232.46,68032.9,16.7,1,2287.92,0,53.3,0,0,2,0
TXN000057,2025-11-12 23:47:00,1752.1,mobile_app,fashion,Bengaluru,iOS,164,104816.78,52427.07,48674.3,33.7,0,1549.28,0,19.7,0,0,0,0
TXN000058,2025-05-20 03:40:00,939.98,ecommerce,groceries,Other,iOS,34,136127.01,82291.55,341016.75,72.8,0,2669.41,0,17.2,0,0,0,0
TXN000059,2025-08-25 16:04:00,2869.63,POS,utilities,Other,iOS,112,95638.77,50074.45,130344.28,24.8,4,2825.37,2,5.3,0,1,0,0
TXN000060,2025-10-05 21:47:00,298.43,POS,utilities,Mumbai,Android,23,143620.3,90720.37,160448.02,47.0,2,980.36,0,52.4,0,1,0,0
TXN000061,2025-09-30 06:00:00,13579.91,mobile_app,fashion,Hyderabad,card_terminal,18,133885.71,75887.94,295342.1,49.0,0,5354.67,3,539.6,0,0,0,0
TXN000062,2025-10-25 05:06:00,3620.47,POS,,Mumbai,iOS,173,51876.72,91777.36,380191.58,34.6,2,1661.33,0,19.0,0,1,0,0
TXN000063,2025-04-25 04:37:00,3311.71,ATM,utilities,Mumbai,card_terminal,139,217775.26,62592.75,137509.05,37.2,10,,0,23.5,0,1,0,0
TXN000064,2025-01-15 08:12:00,1929.88,POS,electronics,Bengaluru,iOS,71,82727.88,36993.31,112829.7,29.5,0,966.23,0,26.8,0,1,0,0
TXN000065,2025-10-21 15:33:00,210.58,ATM,electronics,Pune,iOS,9,36637.2,145929.6,594768.64,36.8,5,481.71,1,34.6,0,1,0,0
TXN000066,2025-01-14 06:52:00,16667.97,ecommerce,utilities,Hyderabad,iOS,41,49828.56,,68115.41,,5,4970.72,0,8.0,1,0,0,1
TXN000067,2025-04-30 11:52:00,11921.4,ATM,utilities,Other,card_terminal,115,97807.75,26614.64,77087.07,60.9,7,4612.42,1,6.9,0,1,0,0
TXN000068,2025-05-25 10:12:00,887.77,POS,travel,Delhi,iOS,64,146227.55,123388.9,183667.13,70.4,1,2132.19,0,,0,1,0,0
TXN000069,2025-12-18 06:54:00,5338.11,POS,fuel,Bengaluru,Android,158,564640.14,186059.92,150077.52,17.3,0,5299.68,0,1.7,0,1,1,0
TXN000070,2025-10-02 08:52:00,2568.42,ecommerce,,Hyderabad,card_terminal,171,,39168.81,141747.13,31.9,1,2306.49,0,40.0,0,0,1,0
TXN000071,2025-05-11 11:53:00,45871.93,mobile_app,electronics,Hyderabad,desktop,80,86857.0,26932.03,40225.19,54.6,16,2581.88,3,13.4,0,0,0,0
TXN000072,2025-05-17 01:51:00,738.58,ecommerce,,Pune,card_terminal,39,154446.1,79046.63,185779.76,78.0,9,1068.91,0,4.6,0,0,0,0
TXN000073,2025-01-31 22:18:00,2160.32,mobile_app,restaurants,Bengaluru,iOS,7,143792.32,45749.33,117231.99,90.2,1,1828.59,0,43.0,0,0,0,0
TXN000074,2025-02-12 09:31:00,970.82,mobile_app,cash_withdrawal,Chennai,Android,44,5082.17,43939.37,130198.79,24.3,0,1309.09,0,20.6,0,0,1,0
TXN000075,2025-06-17 20:44:00,1381.63,mobile_app,fashion,Mumbai,card_terminal,53,255180.1,73515.56,61790.4,71.0,0,7123.51,0,60.3,0,0,2,0
TXN000076,2025-04-17 08:03:00,2696.91,POS,groceries,Pune,Android,122,149294.33,139840.98,492917.01,32.2,0,3212.19,2,31.0,0,1,0,0
TXN000077,2025-10-22 13:47:00,3474.13,ecommerce,travel,Chennai,iOS,59,48882.3,,,54.4,5,3770.18,1,18.0,0,0,0,0
TXN000078,2025-12-29 17:07:00,768.68,POS,groceries,Bengaluru,card_terminal,56,30960.23,22548.46,94621.99,60.6,0,1516.53,0,,0,1,0,0
TXN000079,2025-01-11 22:54:00,377.93,mobile_app,fashion,Other,iOS,10,140158.85,36688.13,131672.49,69.4,1,555.51,0,20.9,0,0,0,0
TXN000080,2025-11-03 20:49:00,12414.86,ecommerce,fuel,Delhi,Android,80,198672.47,58065.69,160580.08,62.6,1,3174.69,6,3.0,0,0,2,0
TXN000081,2025-11-05 17:01:00,270.06,ecommerce,utilities,Bengaluru,iOS,105,82864.78,43625.96,118450.07,42.9,9,,0,16.1,0,0,0,0
TXN000082,2025-03-26 23:55:00,845.32,POS,restaurants,Hyderabad,Android,89,106660.92,59817.44,166624.42,,4,1906.12,2,2128.6,0,1,0,0
TXN000083,2025-03-23 07:14:00,1200.63,POS,cash_withdrawal,Delhi,Android,70,210713.45,95058.86,152207.16,14.1,2,1780.07,0,35.9,0,1,0,0
TXN000084,2025-01-29 12:03:00,16520.12,POS,groceries,Chennai,Android,178,76941.42,,178958.81,36.4,1,7773.4,0,15.0,0,1,2,0
TXN000085,2025-07-20 12:56:00,147.58,mobile_app,restaurants,Pune,iOS,176,286059.48,91662.54,347222.07,,3,558.25,1,5.9,0,0,0,0
TXN000086,2025-10-16 13:07:00,848.3,POS,groceries,Delhi,iOS,169,61491.27,18477.29,59837.21,37.0,1,704.9,0,735.3000000000001,1,1,0,1
TXN000087,2025-11-19 11:43:00,741.13,POS,travel,Mumbai,iOS,152,278185.07,78326.19,223947.0,25.7,5,2555.78,0,,0,1,1,0
TXN000088,2025-09-21 19:35:00,2855.96,ecommerce,travel,Pune,card_terminal,55,109137.89,,100673.46,38.7,5,2126.92,0,10.6,1,0,0,0
TXN000089,2025-12-11 16:35:00,7432.01,POS,groceries,Delhi,Android,96,50707.93,60626.47,100711.75,58.6,7,11146.27,4,20.6,0,1,0,0
TXN000090,2025-05-29 00:14:00,273.64,ecommerce,restaurants,Mumbai,iOS,30,82695.74,45070.44,100618.17,68.3,1,903.01,0,77.6,0,0,0,0
TXN000091,2025-07-17 14:13:00,1460.4,ecommerce,electronics,Mumbai,,156,42567.16,,27844.99,47.4,2,2600.9,0,7.9,0,0,0,0
TXN000092,2025-07-12 14:41:00,1777.24,POS,cash_withdrawal,Bengaluru,,102,,56139.34,79850.54,95.0,0,1710.72,0,20.4,0,1,1,0
TXN000093,2025-02-22 19:54:00,13967.54,mobile_app,fuel,Delhi,iOS,53,60896.55,59010.93,70326.41,20.1,4,2948.12,1,1.7,0,0,0,0
TXN000094,2025-04-25 04:49:00,1661.6,ecommerce,utilities,Chennai,Android,78,51066.98,52306.71,167510.08,32.4,1,2929.62,0,4.1,0,0,0,0
TXN000095,2025-06-29 16:08:00,813.81,ecommerce,utilities,Mumbai,card_terminal,144,200542.92,62551.91,268477.04,22.5,3,2412.8,2,61.6,0,0,0,0
TXN000096,2025-11-16 08:10:00,867.8,POS,restaurants,Mumbai,card_terminal,120,27168.99,,149440.18,,3,346.69,0,7.2,0,0,0,0
TXN000097,2025-12-08 11:24:00,2987.85,ecommerce,groceries,Other,card_terminal,12,113581.88,53244.06,78644.06,25.1,0,3731.31,0,1.4,0,0,0,0
TXN000098,2025-09-29 15:58:00,4895.24,mobile_app,,Hyderabad,Android,98,164729.94,80776.05,321574.0,62.7,1,1372.31,0,12.4,0,0,0,0
TXN000099,2025-06-23 08:59:00,2387.09,mobile_app,restaurants,Bengaluru,card_terminal,46,67439.88,68454.08,231174.45,,1,1289.84,0,60.5,0,0,0,0
TXN000100,2025-02-27 19:16:00,634.28,ecommerce,groceries,Chennai,iOS,62,34361.07,21098.93,83797.93,69.3,4,1957.36,0,1.5,0,0,0,0
TXN000101,2025-01-16 09:17:00,2209.1,POS,restaurants,Pune,iOS,123,105822.29,39459.17,48779.09,45.5,1,1954.14,0,27.0,0,1,0,0
TXN000102,2025-06-24 08:20:00,446.46,POS,fuel,Mumbai,iOS,31,38479.34,,38388.94,48.1,0,609.87,0,5.8,1,1,0,0
TXN000103,2025-01-30 17:30:00,1426.71,POS,fashion,Hyderabad,Android,64,111848.67,132071.43,527179.47,41.7,3,2956.91,3,73.6,0,1,0,0
TXN000104,2025-09-01 05:56:00,26744.18,mobile_app,restaurants,Hyderabad,card_terminal,30,217131.71,98192.75,139504.16,23.5,2,9238.84,3,32.6,0,0,0,1
TXN000105,2025-03-17 08:48:00,12407.34,ATM,electronics,Pune,Android,129,181323.79,66704.66,91388.15,52.0,1,,0,,0,1,0,0
TXN000106,2025-08-17 23:50:00,6792.78,POS,groceries,Hyderabad,Android,23,239850.56,101385.37,309783.95,51.7,2,4241.72,0,74.5,0,1,0,0
TXN000107,2025-06-18 07:20:00,236.68,POS,fuel,Bengaluru,,114,145720.43,64961.5,179316.13,,10,473.36,3,1.0,0,1,2,0
TXN000108,2025-07-12 11:10:00,871.55,ecommerce,restaurants,Chennai,Android,26,119180.56,79963.93,296878.32,46.5,1,,0,,1,0,1,0
TXN000109,2025-05-15 10:20:00,341.8,POS,fuel,Mumbai,card_terminal,77,,31218.5,55370.94,47.4,3,942.7,1,72.7,0,1,0,0
TXN000110,2025-08-22 00:54:00,628.02,ATM,fuel,Hyderabad,desktop,95,339013.43,,391734.04,56.1,2,1865.55,0,13.5,0,1,0,0
TXN000111,2025-12-27 18:57:00,54050.28,POS,fuel,Other,card_terminal,38,41607.66,,134540.24,73.7,1,10830.81,0,,0,1,0,0
TXN000112,2025-12-25 14:21:00,1957.46,POS,fashion,Bengaluru,card_terminal,5,27330.18,61313.8,88582.16,30.6,11,767.05,1,13.2,0,0,0,0
TXN000113,2025-09-03 07:32:00,1846.12,ecommerce,electronics,Pune,card_terminal,174,123982.27,39713.18,42608.31,33.0,0,2256.65,0,36.6,0,0,0,0
TXN000114,2025-10-17 12:38:00,494.07,ATM,restaurants,Mumbai,Android,13,121292.45,55651.57,219047.38,82.6,3,1363.28,0,10.3,0,1,0,0
TXN000115,2025-01-22 11:59:00,1335.96,POS,groceries,Bengaluru,card_terminal,163,335755.39,96695.87,270307.57,57.6,2,1622.54,0,25.6,0,1,0,0
TXN000116,2025-12-14 09:39:00,537.64,POS,fashion,Mumbai,Android,83,301804.94,137587.21,499996.42,35.6,5,1446.88,1,9.3,0,1,0,0
TXN000117,2025-01-09 22:43:00,12172.18,ecommerce,utilities,Other,iOS,123,29882.61,70551.4,95775.67,10.8,0,3563.93,0,17.8,0,0,0,0
TXN000118,2025-02-14 07:08:00,6205.64,ATM,utilities,Other,iOS,141,323451.17,95879.7,251698.37,37.2,1,1752.72,1,0.9,0,1,0,0
TXN000119,2025-08-29 05:44:00,1120.78,POS,restaurants,Delhi,desktop,50,28610.2,157932.15,254744.16,46.0,1,1396.62,0,36.0,0,1,0,0
TXN000120,2025-05-31 03:49:00,5945.12,mobile_app,utilities,Chennai,desktop,27,77493.97,68049.49,,70.3,1,,0,,0,0,0,0
TXN000121,2025-05-26 23:51:00,2407.93,POS,utilities,Bengaluru,card_terminal,83,26415.51,65911.92,275965.28,14.9,0,6706.23,0,44.0,0,1,0,0
TXN000122,2025-03-22 10:18:00,1589.35,ecommerce,groceries,Mumbai,desktop,128,256427.99,97119.45,296090.04,49.1,1,843.07,2,7.8,0,0,0,0
TXN000123,2025-12-29 00:15:00,4099.27,ecommerce,groceries,Bengaluru,desktop,33,251047.51,62787.63,61329.26,26.8,5,6205.84,0,12.2,0,0,0,0
TXN000124,2025-09-03 17:04:00,6127.68,ecommerce,restaurants,Pune,iOS,105,25805.63,47231.37,82928.95,21.8,2,1178.96,0,5.9,0,0,0,0
TXN000125,2025-12-07 08:13:00,4998.2,ecommerce,utilities,Delhi,,13,103810.53,26055.26,53303.33,29.5,1,4702.91,3,,0,0,3,0
TXN000126,2025-05-14 17:01:00,1840.94,POS,groceries,Delhi,iOS,37,210859.91,62320.87,195198.96,,7,1147.99,0,24.0,0,0,0,0
TXN000127,2025-09-20 00:33:00,9121.45,POS,groceries,Mumbai,desktop,112,51793.76,16266.72,65360.64,27.5,5,4511.94,0,3.6,0,0,0,0
TXN000128,2025-04-03 18:30:00,1975.33,ATM,restaurants,Delhi,card_terminal,156,29277.65,,209784.01,20.3,1,1179.39,0,128.5,0,1,3,0
TXN000129,2025-10-14 06:10:00,1387.99,POS,fuel,Delhi,iOS,59,72307.99,28511.01,58324.39,51.7,6,1029.78,0,2.9,1,1,0,0
TXN000130,2025-08-02 10:35:00,1492.17,ecommerce,restaurants,Mumbai,card_terminal,56,88682.87,76051.65,63285.86,92.3,2,2129.77,0,32.1,0,0,0,0
TXN000131,2025-01-16 22:17:00,542.79,mobile_app,electronics,Mumbai,iOS,49,79781.37,,42955.23,58.7,2,1644.94,0,56.6,0,0,0,0
TXN000132,2025-01-15 20:06:00,361.28,POS,,Mumbai,card_terminal,164,56828.12,27515.43,102582.63,67.0,2,560.52,0,29.4,0,1,0,0
TXN000133,2025-07-28 09:34:00,549.67,POS,groceries,Delhi,Android,71,127911.13,70122.76,100897.32,9.1,4,500.76,0,2.6,0,1,0,0
TXN000134,2025-08-15 14:05:00,1989.18,POS,groceries,Chennai,iOS,148,195903.47,66244.49,94238.1,46.0,0,1514.69,0,0.3,0,1,0,0
TXN000135,2025-01-14 09:42:00,11577.97,POS,electronics,Bengaluru,Android,23,415171.38,109886.37,219975.18,52.8,7,6013.99,0,,0,1,0,0
TXN000136,2025-03-27 19:07:00,921.6,POS,fuel,Delhi,iOS,89,88929.25,,68529.99,32.6,2,1671.74,0,15.6,0,1,0,0
TXN000137,2025-08-06 13:58:00,954.4,POS,groceries,Bengaluru,card_terminal,137,56760.38,,265731.88,20.0,1,5449.42,0,5.5,0,0,0,0
TXN000138,2025-10-06 11:28:00,653.35,POS,fashion,Chennai,iOS,104,298307.73,75084.74,113133.07,,16,909.85,0,3.5,0,1,0,0
TXN000139,2025-06-06 03:47:00,8029.68,ecommerce,cash_withdrawal,Mumbai,Android,105,254176.49,73056.4,310870.95,8.6,0,7488.96,0,22.1,0,0,2,0
TXN000140,2025-06-12 12:32:00,3818.62,ecommerce,electronics,Chennai,card_terminal,53,143249.15,66955.61,231620.32,49.9,1,2436.93,0,8.0,0,0,0,0
TXN000141,2025-06-18 21:05:00,2371.75,ecommerce,travel,Hyderabad,Android,179,261418.45,87953.44,137306.55,78.2,2,1328.54,1,,0,0,0,0
TXN000142,2025-01-30 21:36:00,9699.67,POS,fuel,Bengaluru,Android,95,57604.16,40202.15,170699.74,28.1,0,3586.72,0,22.7,0,1,0,0
TXN000143,2025-08-22 11:07:00,18699.23,POS,fashion,Hyderabad,,102,212179.87,58309.47,203124.58,31.2,2,3233.1,2,7.6,0,1,0,0
TXN000144,2025-03-06 03:32:00,255.52,ecommerce,fashion,Chennai,iOS,42,185736.49,70802.26,105080.58,71.1,8,1532.68,0,65.5,0,0,0,0
TXN000145,2025-08-28 22:42:00,2520.96,POS,travel,Pune,card_terminal,178,139754.4,115994.58,380565.56,26.4,0,1682.73,0,,0,0,0,0
TXN000146,2025-09-17 03:58:00,265.04,ATM,restaurants,Mumbai,Android,28,84274.89,37936.48,124047.54,10.1,1,,1,2.9,0,1,0,0
TXN000147,2025-07-03 23:24:00,960.71,ATM,fuel,Delhi,Android,134,137767.22,97045.72,185751.04,43.5,3,1632.88,0,76.6,0,1,1,0
TXN000148,2025-12-05 09:04:00,1119.46,mobile_app,utilities,Delhi,iOS,26,,95006.03,194272.66,65.1,2,1778.54,0,26.9,0,0,1,0
TXN000149,2025-05-17 11:06:00,2950.64,ecommerce,fashion,Other,Android,38,200844.64,59375.38,234197.83,23.6,0,1934.41,0,25.4,0,0,0,0
TXN000150,2025-02-01 14:43:00,7624.38,POS,utilities,Pune,Android,70,174552.42,45643.73,153846.39,46.6,10,5156.01,1,73.4,0,1,0,0
TXN000151,2025-04-01 16:41:00,1730.95,ecommerce,electronics,Chennai,card_terminal,26,275653.6,100254.39,118506.96,46.4,3,1441.8,0,38.9,1,0,0,0
TXN000152,2025-08-13 17:12:00,9281.75,mobile_app,travel,Chennai,card_terminal,135,,59464.29,67469.31,55.6,6,4985.3,0,9.5,0,0,0,0
TXN000153,2025-07-17 16:46:00,8612.9,mobile_app,electronics,,Android,6,6095.21,31112.94,78972.32,70.5,6,1418.1,0,4.2,0,0,0,1
TXN000154,2025-11-07 02:15:00,6684.69,ecommerce,electronics,Mumbai,Android,83,73003.03,49576.45,172890.22,56.8,1,,0,,0,0,0,0
TXN000155,2025-04-16 05:35:00,27268.03,POS,fuel,Bengaluru,iOS,84,153073.72,51376.33,146874.1,53.7,2,2174.57,0,34.0,0,1,0,0
TXN000156,2025-04-14 22:03:00,1442.5,POS,groceries,Chennai,Android,98,273513.89,83926.36,342222.04,13.2,8,1075.58,4,8.9,0,1,0,0
TXN000157,2025-10-02 22:47:00,603.01,POS,cash_withdrawal,Other,iOS,36,199540.42,116111.35,376178.99,46.3,1,1723.35,0,43.8,0,1,0,0
TXN000158,2025-10-06 09:17:00,1273.01,ecommerce,fuel,Pune,Android,44,163178.56,78188.48,,40.3,3,1779.77,0,73.3,0,0,0,0
TXN000159,2025-04-18 04:10:00,1213.23,mobile_app,restaurants,Other,iOS,74,104519.68,58382.35,177596.47,49.2,2,1883.48,0,63.6,0,0,0,0
TXN000160,2025-05-03 04:48:00,519.57,POS,groceries,Mumbai,Android,60,41567.0,34673.49,62606.0,75.8,0,832.15,0,2.3,0,1,0,0
TXN000161,2025-07-23 12:07:00,2390.67,ecommerce,fuel,Chennai,card_terminal,96,16691.44,23331.62,22484.76,46.2,1,1271.97,0,17.2,0,0,0,0
TXN000162,2025-09-21 18:51:00,136.69,ecommerce,electronics,Mumbai,iOS,148,39234.9,187624.06,756262.26,18.4,0,190.06,0,19.7,0,0,0,0
TXN000163,2025-04-20 05:16:00,1118.93,POS,fuel,Hyderabad,card_terminal,156,294280.46,74993.43,128641.11,73.6,5,3137.33,0,17.4,0,1,1,0
TXN000164,2025-01-01 07:40:00,4844.62,POS,groceries,Mumbai,Android,141,257766.28,81221.9,209805.79,56.2,1,4475.42,0,32.4,0,1,0,0
TXN000165,2025-04-26 01:39:00,1177.37,mobile_app,utilities,Other,Android,167,319360.98,86019.09,247511.06,42.6,0,1022.12,0,5.7,0,0,0,0
TXN000166,2025-03-29 09:20:00,3011.36,mobile_app,groceries,Other,desktop,94,144140.81,40483.41,,33.7,0,1686.36,5,29.9,0,0,3,0
