transaction_id,customer_age,transaction_amount_inr,account_age_months,transactions_last_hour,distance_from_home_km,merchant_risk_score,device_change_7d,failed_pin_attempts,hour_of_day,card_present,international_txn,merchant_category,payment_channel,device_type,customer_segment,weekday,avg_transaction_inr,city_tier,is_fraud
02000033,32,161130,25,13,72,25,7,1,17,Yes,Yes,Electronics,ATM,Web,Mass,10,0,Tier 1,0
02000034,59,88560,32,19,377,46,1,2,5,No,Yes,Fuel,ATM,iOS,Mass,5,1,Tier 3,0
02000035,61,169326,65,2,648,84,2,3,18,No,Yes,Dining,Online,Android,Preferred,0,1,Tier 1,1
02000036,41,36938,28,8,241,65,8,5,16,No,No,Dining,POS,iOS,Preferred,1,3,Tier 1,1
02000037,31,109546,34,21,528,43,10,4,6,No,No,Grocery,ATM,Web,Premium,0,10,Tier 1,0
02000038,61,156203,22,18,202,40,6,3,14,Yes,Yes,Fuel,POS,iOS,Premium,7,9,Tier 2,1
02000039,56,43987,51,19,183,61,9,2,0,No,Yes,Fuel,Online,Android,Preferred,9,7,Tier 1,1
02000040,24,36716,38,9,34,72,7,5,20,No,Yes,Fuel,POS,Web,Preferred,3,6,Tier 2,1
02000041,60,34860,44,19,37,45,10,0,9,Yes,Yes,Dining,Online,iOS,Mass,8,4,Tier 1,1
02000042,66,23895,22,2,368,80,0,3,18,No,Yes,Dining,POS,Web,Premium,9,8,Tier 3,0
02000043,56,142325,44,3,553,86,3,1,3,No,No,Dining,POS,iOS,Premium,5,4,Tier 3,0
02000044,69,46923,28,17,68,66,3,5,13,Yes,No,Electronics,Online,Web,Preferred,1,3,Tier 1,0
02000045,40,94086,59,16,46,65,5,1,4,No,No,Dining,Online,Web,Preferred,2,8,Tier 2,1
02000046,33,146379,54,15,404,74,4,5,9,No,Yes,Travel,Online,Web,Preferred,5,4,Tier 2,1
02000047,36,61926,66,2,571,95,7,3,22,No,No,Grocery,ATM,iOS,Preferred,4,2,Tier 2,1
02000048,58,68984,44,20,204,24,8,4,5,Yes,No,Fuel,ATM,Android,Premium,0,2,Tier 2,1
02000049,24,90008,21,6,320,54,4,2,1,No,Yes,Electronics,ATM,Web,Premium,2,1,Tier 3,1
02000050,51,2562,54,0,226,16,7,0,8,Yes,No,Grocery,Online,Web,Mass,1,4,Tier 3,0
02000051,44,6790,43,9,274,27,4,4,22,No,Yes,Travel,POS,Android,Mass,9,7,Tier 3,0
02000052,61,61898,53,19,148,84,9,5,21,No,Yes,Travel,POS,Web,Mass,4,3,Tier 1,1
02000053,27,19359,35,0,408,74,10,3,4,Yes,No,Fuel,ATM,Web,Mass,1,0,Tier 3,0
02000054,49,170474,47,5,683,10,1,3,18,No,Yes,Travel,Online,Android,Mass,5,1,Tier 2,1
02000055,23,153792,47,5,313,12,6,4,3,No,No,Fuel,Online,Web,Mass,7,7,Tier 3,1
02000056,57,20531,47,7,110,69,9,3,17,Yes,Yes,Travel,POS,Android,Preferred,1,7,Tier 1,0
02000057,44,124782,54,1,725,38,4,2,0,Yes,No,Fuel,ATM,Web,Mass,2,0,Tier 3,1
02000058,68,109978,41,17,50,90,2,2,18,No,Yes,Travel,POS,Android,Mass,10,1,Tier 3,0
02000059,43,162486,37,13,466,43,9,3,16,Yes,Yes,Travel,ATM,iOS,Preferred,9,0,Tier 1,1
02000060,58,105315,32,11,201,35,7,3,22,Yes,No,Electronics,POS,Web,Premium,10,6,Tier 3,0
02000061,58,143057,35,9,538,55,10,2,1,Yes,No,Fuel,POS,Android,Preferred,3,0,Tier 1,0
02000062,29,29566,49,11,334,80,0,5,13,Yes,Yes,Grocery,Online,Android,Premium,5,1,Tier 1,1
02000063,21,96814,30,20,739,10,9,4,7,No,No,Travel,POS,Android,Preferred,5,8,Tier 2,1
02000064,63,163681,34,18,95,23,10,3,13,No,Yes,Dining,Online,Android,Preferred,6,4,Tier 1,1
02000065,27,11079,30,22,545,19,3,2,20,No,Yes,Fuel,Online,Android,Premium,6,3,Tier 1,0
02000066,33,81938,54,8,60,43,9,2,0,Yes,No,Electronics,POS,Web,Premium,2,2,Tier 3,0
02000067,37,174621,25,21,562,19,9,4,15,Yes,No,Travel,ATM,Android,Preferred,7,2,Tier 2,1
02000068,53,87549,60,10,119,56,6,3,11,No,No,Electronics,ATM,Android,Preferred,5,10,Tier 2,0
02000069,68,33511,33,2,542,19,1,3,5,Yes,No,Fuel,ATM,Android,Premium,2,10,Tier 2,0
02000070,28,103106,55,1,403,85,4,1,1,No,No,Dining,Online,iOS,Premium,10,10,Tier 3,0
02000071,30,163783,21,14,488,68,2,5,16,No,No,Dining,ATM,Android,Preferred,6,5,Tier 3,1
02000072,66,32686,30,4,303,30,6,0,12,Yes,No,Fuel,ATM,iOS,Mass,8,8,Tier 3,0
02000073,66,81710,22,8,589,78,2,4,9,Yes,No,Travel,Online,Android,Premium,8,5,Tier 1,1
02000074,35,39503,62,17,457,35,4,2,11,No,Yes,Travel,POS,iOS,Premium,5,9,Tier 3,1
02000075,39,129430,45,0,606,56,2,5,10,Yes,No,Fuel,ATM,Android,Mass,1,8,Tier 3,1
02000076,34,75624,68,8,569,67,9,4,10,No,Yes,Grocery,ATM,Web,Premium,7,9,Tier 2,1
02000077,24,4048,22,9,356,76,6,1,20,Yes,No,Electronics,Online,Web,Mass,6,5,Tier 2,1
02000078,21,130400,36,17,728,21,8,3,0,Yes,No,Fuel,ATM,Android,Mass,3,9,Tier 3,1
02000079,42,31623,32,2,10,88,9,2,13,Yes,Yes,Travel,ATM,Android,Premium,9,7,Tier 1,0
02000080,49,162039,23,12,511,22,4,3,1,Yes,No,Grocery,POS,Web,Preferred,10,10,Tier 3,0
02000081,53,1568,44,19,335,33,9,1,12,No,Yes,Dining,POS,iOS,Preferred,7,8,Tier 1,1
02000082,59,154251,25,17,411,43,2,2,9,No,No,Dining,ATM,iOS,Premium,5,1,Tier 3,1
02000083,55,82052,32,22,487,45,1,0,22,Yes,No,Dining,POS,Web,Mass,9,6,Tier 1,0
02000084,68,176453,55,6,314,23,8,3,12,Yes,No,Fuel,ATM,Android,Premium,8,8,Tier 1,0
02000085,53,166595,43,21,626,48,4,0,5,No,Yes,Travel,ATM,Web,Mass,10,3,Tier 3,0
02000086,57,132927,57,0,611,92,6,1,14,No,Yes,Dining,Online,Web,Mass,3,0,Tier 3,0
02000087,31,134465,64,21,589,88,4,4,0,Yes,Yes,Travel,Online,Web,Mass,8,9,Tier 3,1
02000088,23,111715,54,20,236,16,8,1,5,Yes,No,Fuel,POS,iOS,Preferred,6,9,Tier 2,0
02000089,56,59657,46,21,491,61,3,1,18,No,Yes,Fuel,ATM,Android,Premium,5,9,Tier 3,1
02000090,36,56671,21,8,510,5,3,0,5,Yes,Yes,Grocery,ATM,iOS,Preferred,2,10,Tier 1,0
02000091,36,84367,39,23,635,52,3,4,20,No,No,Electronics,ATM,iOS,Mass,5,10,Tier 2,1
02000092,56,17401,48,17,399,6,3,1,4,Yes,No,Dining,Online,iOS,Premium,6,9,Tier 3,0
02000093,64,135350,34,9,710,22,4,1,7,Yes,Yes,Grocery,ATM,Android,Preferred,7,6,Tier 2,0
02000094,46,69445,57,1,369,7,5,0,8,No,No,Travel,ATM,iOS,Premium,6,9,Tier 3,1
02000095,49,133135,48,15,184,84,8,3,23,Yes,Yes,Grocery,Online,Android,Mass,5,7,Tier 1,1
02000096,52,45505,35,22,108,40,0,0,16,Yes,No,Travel,ATM,iOS,Premium,10,5,Tier 3,0
02000097,48,153315,43,17,430,44,6,3,0,No,No,Travel,POS,Android,Mass,2,7,Tier 1,0
02000098,61,70405,51,18,47,8,9,1,2,No,No,Dining,ATM,Web,Premium,9,8,Tier 1,0
02000099,45,6420,54,2,519,61,7,1,4,Yes,Yes,Dining,POS,iOS,Preferred,7,4,Tier 3,1
02000100,45,165491,55,14,481,53,6,1,6,Yes,No,Fuel,POS,Web,Mass,10,7,Tier 3,1
02000101,51,147319,32,4,267,29,8,2,9,Yes,Yes,Dining,Online,Android,Preferred,5,5,Tier 2,0
02000102,67,117016,32,8,228,24,0,2,3,Yes,No,Grocery,Online,Android,Premium,10,4,Tier 3,1
02000103,26,109336,62,1,216,94,2,0,4,Yes,Yes,Grocery,ATM,Web,Preferred,4,4,Tier 2,1
02000104,32,21958,55,3,520,48,9,2,0,Yes,No,Dining,Online,Android,Preferred,0,6,Tier 2,1
02000105,26,101740,68,20,50,58,5,5,0,No,No,Electronics,ATM,iOS,Mass,6,0,Tier 3,1
02000106,52,59781,30,16,714,66,4,4,19,No,No,Travel,Online,Android,Premium,8,8,Tier 1,0
02000107,43,156126,63,17,198,74,8,5,10,Yes,No,Fuel,ATM,iOS,Preferred,3,4,Tier 2,1
02000108,50,96607,43,17,123,22,1,2,16,No,Yes,Grocery,ATM,Web,Premium,3,7,Tier 2,0
02000109,46,11757,56,11,301,79,0,0,5,Yes,Yes,Electronics,POS,Web,Mass,10,4,Tier 3,0
02000110,63,54270,65,6,608,89,2,4,18,Yes,Yes,Grocery,Online,Android,Premium,6,1,Tier 3,1
02000111,44,120330,66,7,691,39,8,5,0,No,Yes,Fuel,ATM,iOS,Mass,1,9,Tier 1,1
02000112,27,96971,25,5,86,75,3,2,9,No,Yes,Fuel,POS,Web,Premium,10,8,Tier 1,1
02000113,58,139021,57,5,129,64,3,3,5,Yes,No,Travel,ATM,iOS,Mass,9,0,Tier 3,0
02000114,39,54761,21,20,363,50,1,3,7,No,Yes,Electronics,Online,Web,Mass,8,6,Tier 3,0
02000115,32,161336,34,18,221,43,8,0,22,Yes,Yes,Travel,ATM,Web,Premium,10,6,Tier 1,1
02000116,63,99134,25,22,435,91,1,1,14,No,No,Travel,Online,iOS,Preferred,5,7,Tier 1,1
02000117,65,92360,59,22,438,40,2,3,15,Yes,Yes,Electronics,POS,Web,Premium,5,5,Tier 1,1
02000118,44,44385,25,13,538,84,6,4,16,No,No,Dining,POS,iOS,Preferred,10,2,Tier 3,0
02000119,44,18929,39,9,477,6,4,1,19,No,Yes,Fuel,ATM,Android,Premium,2,5,Tier 1,0
02000120,57,69489,59,6,510,45,10,4,8,No,No,Fuel,Online,Android,Premium,10,6,Tier 2,1
02000121,64,66929,66,12,4,50,7,0,2,Yes,Yes,Travel,Online,Android,Preferred,2,2,Tier 3,0
02000122,50,151621,57,3,677,34,9,1,21,No,No,Travel,POS,Android,Preferred,1,6,Tier 3,0
02000123,46,157071,37,14,339,28,4,5,17,Yes,No,Electronics,Online,Web,Premium,3,2,Tier 2,1
02000124,41,139280,48,7,300,92,7,3,23,Yes,Yes,Electronics,Online,Android,Preferred,4,0,Tier 3,1
02000125,68,156885,60,7,452,91,1,1,5,Yes,Yes,Electronics,POS,Android,Mass,0,1,Tier 3,0
02000126,23,174688,22,3,740,34,9,2,19,No,Yes,Travel,ATM,Web,Preferred,7,10,Tier 2,0
02000127,32,59407,29,3,423,68,7,5,17,Yes,No,Fuel,Online,iOS,Preferred,3,0,Tier 3,0
02000128,53,29975,64,8,692,64,4,5,17,No,Yes,Grocery,POS,Android,Mass,8,2,Tier 1,1
02000129,21,139920,35,1,73,57,1,2,14,No,Yes,Electronics,POS,Android,Preferred,10,1,Tier 1,0
02000130,59,84035,28,14,128,73,1,0,4,Yes,Yes,Travel,ATM,Web,Mass,9,7,Tier 1,0
02000131,28,42537,64,6,71,90,3,4,17,Yes,No,Grocery,POS,iOS,Premium,6,8,Tier 3,0
02000132,37,77371,37,13,279,5,4,4,22,Yes,No,Grocery,POS,Web,Premium,8,7,Tier 2,1
02000133,28,37360,53,16,535,34,5,2,13,Yes,No,Electronics,POS,iOS,Premium,6,4,Tier 3,1
02000134,26,103756,42,17,178,38,0,1,6,Yes,No,Travel,ATM,Web,Premium,4,3,Tier 3,1
02000135,47,174436,26,15,307,7,5,2,3,Yes,No,Dining,POS,iOS,Premium,0,1,Tier 3,1
02000136,22,69331,38,21,253,77,3,4,18,No,No,Electronics,POS,Android,Mass,6,6,Tier 1,1
02000137,29,142685,61,10,492,12,2,0,9,No,No,Dining,POS,Android,Premium,10,5,Tier 3,0
02000138,60,139669,30,18,305,32,10,4,12,No,Yes,Travel,ATM,iOS,Premium,2,1,Tier 3,0
02000139,61,90025,55,17,394,90,2,0,2,No,No,Travel,POS,iOS,Mass,6,8,Tier 2,0
02000140,25,22207,58,20,172,24,6,5,10,No,No,Electronics,POS,iOS,Preferred,3,5,Tier 2,1
02000141,47,137369,31,18,26,32,10,2,5,Yes,No,Grocery,Online,iOS,Preferred,2,0,Tier 1,0
02000142,49,109545,63,14,388,6,6,4,4,Yes,Yes,Travel,POS,Android,Preferred,7,9,Tier 3,1
02000143,46,5717,65,4,667,44,10,2,18,No,No,Fuel,Online,Android,Premium,9,8,Tier 3,1
02000144,36,172236,56,11,656,51,8,1,18,No,No,Electronics,Online,Android,Premium,10,4,Tier 2,1
02000145,54,122721,32,12,720,79,10,5,9,No,Yes,Grocery,Online,Web,Preferred,2,6,Tier 1,1
02000146,25,79155,26,15,542,26,9,2,21,No,Yes,Electronics,ATM,Android,Mass,10,8,Tier 1,0
02000147,65,50879,30,20,25,77,10,1,22,No,Yes,Dining,POS,Android,Preferred,5,2,Tier 3,0
02000148,46,160927,37,0,296,19,3,3,17,Yes,No,Travel,Online,Android,Preferred,3,8,Tier 1,0
02000149,58,149120,48,21,485,24,6,0,0,No,Yes,Dining,Online,Android,Mass,8,7,Tier 1,1
02000150,58,47325,59,9,36,13,9,0,8,Yes,Yes,Fuel,Online,Web,Mass,5,8,Tier 2,0
02000151,27,4750,23,21,247,32,9,1,13,Yes,Yes,Fuel,POS,iOS,Mass,8,7,Tier 1,0
02000152,29,176293,32,23,399,83,1,4,5,No,Yes,Grocery,POS,iOS,Preferred,3,5,Tier 2,1
02000153,51,46496,27,7,677,6,4,2,14,Yes,Yes,Travel,Online,Web,Premium,10,4,Tier 1,0
02000154,23,159214,59,23,661,79,0,1,21,No,Yes,Electronics,POS,Web,Mass,3,5,Tier 1,1
02000155,58,112606,37,18,59,61,7,5,12,No,No,Grocery,Online,Web,Preferred,7,0,Tier 2,0
02000156,41,150754,22,13,21,34,0,3,5,No,Yes,Travel,POS,iOS,Premium,1,10,Tier 2,0
02000157,32,21311,26,14,707,26,0,4,16,No,No,Grocery,Online,Web,Premium,10,2,Tier 1,0
02000158,36,107937,64,7,456,24,2,2,14,No,No,Grocery,ATM,iOS,Premium,4,5,Tier 2,0
02000159,62,87976,48,7,94,62,3,4,15,Yes,No,Grocery,Online,iOS,Mass,4,6,Tier 1,0
02000160,31,70345,61,16,258,77,8,5,15,No,No,Dining,ATM,Android,Premium,10,2,Tier 3,1
02000161,62,12206,39,15,115,12,0,4,8,No,Yes,Fuel,POS,Android,Premium,0,1,Tier 1,0
02000162,41,82368,67,7,601,67,9,4,10,No,Yes,Dining,ATM,Android,Mass,9,5,Tier 1,1
02000163,64,42766,63,22,736,29,5,5,0,No,No,Grocery,ATM,Web,Preferred,5,1,Tier 2,0
02000164,62,100884,48,20,61,95,10,5,22,Yes,No,Grocery,ATM,Web,Preferred,3,2,Tier 1,1
02000165,65,71827,30,20,646,65,6,2,23,No,No,Grocery,Online,Web,Premium,10,2,Tier 1,1
02000166,41,40308,44,23,484,88,7,5,20,Yes,Yes,Grocery,ATM,Web,Premium,2,4,Tier 2,1
02000167,48,116611,54,16,711,22,5,4,3,No,No,Electronics,Online,iOS,Preferred,6,3,Tier 3,1
02000168,36,139092,54,16,548,26,10,3,22,Yes,Yes,Travel,ATM,Android,Premium,10,0,Tier 3,1
02000169,42,130838,49,18,49,82,5,0,19,No,No,Dining,POS,Web,Mass,5,9,Tier 1,1
02000170,35,97572,59,5,186,82,0,4,12,Yes,No,Fuel,Online,iOS,Premium,5,2,Tier 2,0
02000171,56,37220,41,23,450,42,7,4,9,Yes,Yes,Electronics,POS,iOS,Mass,9,5,Tier 3,0
02000172,43,14029,26,22,442,26,8,3,8,No,Yes,Electronics,ATM,iOS,Mass,7,9,Tier 2,0
02000173,30,58019,39,11,541,88,5,1,22,Yes,Yes,Fuel,Online,Android,Preferred,6,10,Tier 2,1
02000174,43,149772,50,3,332,58,6,5,15,Yes,Yes,Grocery,Online,Android,Preferred,6,3,Tier 3,1
02000175,60,72700,44,9,520,33,5,4,8,No,Yes,Electronics,POS,iOS,Mass,0,8,Tier 3,1
02000176,35,46235,63,21,549,17,3,4,12,No,No,Electronics,POS,iOS,Preferred,3,2,Tier 1,1
02000177,32,27969,60,17,491,68,7,3,19,Yes,No,Fuel,POS,iOS,Mass,6,2,Tier 1,0
02000178,62,15078,53,3,694,24,4,2,8,Yes,No,Electronics,POS,Android,Mass,8,2,Tier 3,1
02000179,61,25014,32,17,352,64,9,5,7,Yes,Yes,Grocery,Online,Web,Preferred,4,5,Tier 3,0
02000180,21,153823,53,15,731,6,10,5,4,Yes,No,Fuel,ATM,Android,Mass,2,6,Tier 2,1
02000181,46,23536,32,12,677,93,7,5,8,Yes,Yes,Fuel,POS,Android,Preferred,7,5,Tier 1,1
02000182,24,97285,57,15,386,72,10,1,6,No,Yes,Electronics,POS,Android,Mass,0,3,Tier 1,1
02000183,34,9919,46,0,59,23,3,3,15,No,No,Fuel,ATM,iOS,Premium,7,1,Tier 3,1
02000184,36,41522,25,22,747,79,4,5,23,No,No,Travel,Online,Web,Premium,5,5,Tier 3,1
02000185,68,109590,57,4,738,71,8,1,16,No,No,Grocery,ATM,Web,Mass,9,1,Tier 1,1
02000186,43,49887,56,0,9,40,2,5,15,No,No,Travel,ATM,iOS,Premium,5,6,Tier 2,0
02000187,22,135993,47,13,529,91,8,5,9,No,No,Travel,POS,Android,Preferred,2,10,Tier 2,1
02000188,66,34223,50,20,2,15,5,2,9,Yes,Yes,Travel,Online,Android,Preferred,5,0,Tier 2,1
02000189,60,47183,54,14,507,24,0,4,17,Yes,Yes,Electronics,Online,iOS,Premium,4,1,Tier 1,1
02000190,65,41683,69,21,63,37,1,1,17,No,Yes,Electronics,Online,Web,Mass,10,0,Tier 2,1
02000191,23,33979,35,4,692,73,7,4,6,Yes,Yes,Dining,POS,Web,Mass,2,4,Tier 1,1
02000192,48,173375,68,1,609,5,0,1,12,Yes,No,Travel,POS,Web,Preferred,0,9,Tier 3,0
02000193,42,172381,47,10,333,88,1,3,2,No,Yes,Electronics,POS,iOS,Mass,7,2,Tier 1,1
02000194,23,65947,41,10,584,62,8,0,23,No,No,Electronics,Online,iOS,Preferred,10,7,Tier 2,0
02000195,52,136329,62,19,661,89,9,3,19,No,No,Travel,POS,Web,Premium,0,3,Tier 1,0
02000196,64,95139,27,0,559,80,5,4,18,No,Yes,Dining,Online,Web,Mass,6,7,Tier 2,0
02000197,50,49243,62,18,383,86,8,3,0,Yes,Yes,Fuel,POS,Web,Preferred,2,1,Tier 1,1
02000198,61,133924,62,17,31,43,5,0,5,No,Yes,Dining,Online,Android,Mass,0,5,Tier 2,1
02000199,50,37568,67,11,378,47,9,5,5,Yes,Yes,Travel,Online,iOS,Mass,2,8,Tier 1,1
02000200,30,20990,64,15,498,15,8,4,6,No,No,Fuel,POS,Web,Mass,1,5,Tier 2,1
02000201,52,178828,25,9,744,29,2,5,19,Yes,No,Electronics,ATM,iOS,Premium,9,6,Tier 1,0
02000202,49,168045,51,9,155,35,4,4,13,Yes,No,Travel,Online,iOS,Premium,2,9,Tier 2,0
02000203,53,164805,32,18,385,44,7,4,8,No,Yes,Travel,ATM,iOS,Preferred,0,8,Tier 2,0
02000204,51,163739,48,11,138,55,10,5,3,Yes,No,Travel,POS,iOS,Preferred,5,1,Tier 3,1
02000205,62,154136,39,17,235,86,3,2,16,Yes,No,Electronics,Online,Web,Premium,7,9,Tier 2,0
02000206,45,50191,41,21,745,15,0,5,14,No,No,Grocery,ATM,Web,Preferred,2,9,Tier 3,1
02000207,69,134254,41,20,681,74,3,0,1,Yes,Yes,Travel,ATM,iOS,Premium,2,9,Tier 3,0
02000208,21,83584,31,6,143,16,0,5,6,Yes,Yes,Travel,ATM,iOS,Preferred,1,6,Tier 2,1
02000209,24,25426,55,7,655,15,8,2,14,Yes,Yes,Electronics,Online,Android,Mass,9,0,Tier 3,0
02000210,49,120828,33,12,656,49,0,5,3,No,No,Dining,ATM,Android,Mass,6,2,Tier 3,1
02000211,32,26221,50,8,275,81,10,4,0,No,Yes,Fuel,Online,Android,Premium,4,0,Tier 1,1
02000212,51,78907,68,9,271,38,3,1,9,Yes,No,Dining,POS,Android,Mass,1,10,Tier 3,0
02000213,24,76348,34,17,653,38,10,3,0,Yes,No,Fuel,POS,Android,Preferred,4,0,Tier 3,1
02000214,22,151569,31,11,661,69,8,1,10,Yes,Yes,Grocery,POS,Web,Preferred,2,8,Tier 3,1
02000215,68,133215,27,10,20,37,2,4,4,Yes,Yes,Travel,ATM,Web,Mass,5,8,Tier 2,0
02000216,40,149228,57,20,741,50,7,2,14,Yes,Yes,Travel,POS,Android,Mass,2,2,Tier 1,1
02000217,25,101291,50,19,588,71,7,1,9,No,No,Dining,Online,Android,Premium,1,7,Tier 3,1
02000218,21,148935,59,0,628,36,4,1,12,Yes,No,Dining,ATM,Android,Preferred,6,6,Tier 1,0
02000219,57,113494,44,12,118,73,5,1,16,No,Yes,Travel,POS,iOS,Premium,4,3,Tier 3,1
02000220,41,45229,49,22,211,5,2,4,22,No,Yes,Travel,POS,Android,Premium,4,0,Tier 3,0
02000221,56,120542,41,3,455,90,0,5,6,Yes,Yes,Travel,POS,iOS,Mass,0,5,Tier 3,0
02000222,31,134703,53,6,371,79,6,2,2,Yes,No,Dining,Online,Android,Preferred,3,1,Tier 1,0
02000223,21,135027,68,20,208,42,9,0,9,Yes,Yes,Grocery,POS,iOS,Premium,10,3,Tier 2,0
02000224,56,75515,58,15,140,64,3,0,5,Yes,No,Travel,POS,Android,Premium,9,3,Tier 2,0
02000225,48,34630,60,19,394,66,9,5,2,No,Yes,Electronics,ATM,Web,Premium,3,2,Tier 1,1
02000226,64,88871,34,3,22,6,5,0,21,No,No,Travel,Online,iOS,Mass,2,9,Tier 1,0
02000227,30,84424,42,20,516,18,10,0,22,Yes,No,Fuel,ATM,iOS,Mass,0,6,Tier 3,0
02000228,60,132251,64,12,295,26,1,4,13,Yes,No,Fuel,Online,iOS,Preferred,5,3,Tier 1,0
02000229,42,29993,24,7,392,90,8,4,22,Yes,No,Fuel,POS,Web,Premium,9,7,Tier 2,1
02000230,47,46277,50,7,196,81,5,1,19,No,Yes,Electronics,POS,Android,Preferred,6,9,Tier 1,1
02000231,41,172174,28,10,109,81,2,2,17,No,Yes,Grocery,ATM,iOS,Mass,8,5,Tier 1,1
02000232,66,99046,53,18,194,85,0,4,4,Yes,Yes,Electronics,Online,Web,Premium,10,6,Tier 3,1
02000233,25,86895,46,15,124,74,4,4,7,No,Yes,Travel,Online,Web,Mass,2,2,Tier 2,1
02000234,49,116669,38,20,682,79,7,3,2,No,No,Dining,ATM,iOS,Mass,0,5,Tier 3,1
02000235,24,119776,27,18,649,39,9,3,19,Yes,Yes,Grocery,POS,iOS,Premium,8,7,Tier 2,0
02000236,48,107047,50,22,733,77,9,1,10,Yes,No,Fuel,ATM,Web,Preferred,6,7,Tier 2,1
02000237,39,72078,49,5,185,17,4,0,14,Yes,No,Fuel,ATM,Android,Preferred,5,7,Tier 3,0
02000238,59,51857,52,6,467,82,6,0,17,No,Yes,Dining,ATM,Android,Preferred,6,2,Tier 2,0
02000239,53,23830,48,22,80,70,8,5,0,No,No,Grocery,POS,Web,Preferred,9,3,Tier 2,1
02000240,21,86070,39,11,86,87,10,2,22,No,Yes,Grocery,POS,Web,Premium,10,2,Tier 3,0
02000241,23,145644,66,8,439,29,1,2,10,Yes,Yes,Travel,POS,iOS,Preferred,9,0,Tier 3,0
02000242,49,86947,29,18,292,76,7,3,13,Yes,Yes,Dining,POS,Android,Mass,3,3,Tier 1,1
