contact_id,customer_age,account_balance_inr,last_contact_days_ago,campaign_contacts,prior_campaign_successes,call_duration_seconds,bank_tenure_years,monthly_income_inr,savings_products_count,housing_loan,personal_loan,occupation,education,contact_method,contact_month,marital_status,digital_active,branch_visits_3m,subscribed
03000072,35,6710,132,2,0,479,2,1053940,8,No,No,Business,School,Email,Mar,Other,No,4,0
03000073,67,778997,83,3,9,42,15,1991688,6,Yes,No,Professional,Graduate,Phone,Sep,Other,No,1,0
03000074,21,354295,125,10,9,583,7,961533,7,Yes,No,Professional,School,Branch,Mar,Married,Yes,7,1
03000075,41,214620,96,10,0,531,11,2211642,8,Yes,No,Professional,Graduate,Phone,Nov,Single,No,7,1
03000076,23,362335,179,10,9,103,4,2749641,7,Yes,No,Service,Graduate,Phone,Nov,Single,Yes,2,1
03000077,40,89671,159,7,4,78,19,1154668,8,Yes,Yes,Professional,Postgraduate,Email,Mar,Married,Yes,9,0
03000078,40,782888,95,4,2,470,0,1967063,1,No,No,Business,School,Phone,Jan,Single,Yes,6,0
03000079,62,57000,53,1,6,59,4,588052,1,Yes,Yes,Retired,Postgraduate,Phone,Mar,Other,No,5,0
03000080,31,447365,122,5,8,370,8,2135268,6,Yes,Yes,Service,Graduate,Branch,Jan,Single,Yes,7,1
03000081,50,725025,156,7,7,171,7,2505710,3,No,Yes,Business,Postgraduate,Email,Jan,Single,No,12,0
03000082,60,311471,142,5,10,32,12,767569,4,Yes,No,Service,School,Email,Jun,Other,No,9,0
03000083,68,758493,71,12,9,392,12,2573497,3,Yes,No,Service,Graduate,Phone,Jun,Other,No,4,1
03000084,45,166961,116,10,9,344,18,2840451,3,No,Yes,Service,Postgraduate,Phone,Nov,Other,Yes,12,0
03000085,52,196434,45,1,9,641,6,1189205,0,No,Yes,Retired,Graduate,Branch,Mar,Other,No,0,1
03000086,43,141616,24,3,4,91,22,1395646,1,Yes,Yes,Business,Postgraduate,Phone,Jan,Single,Yes,0,0
03000087,27,1163076,141,2,2,583,8,1352956,1,No,Yes,Service,Postgraduate,Phone,Mar,Married,Yes,9,1
03000088,55,560247,103,5,5,79,2,2344988,6,Yes,No,Professional,Graduate,Email,Mar,Other,No,7,0
03000089,38,42743,69,8,5,589,2,997745,4,Yes,Yes,Retired,Postgraduate,Phone,Jun,Married,Yes,4,1
03000090,34,1039758,58,5,10,606,18,2347636,8,No,No,Service,Postgraduate,Branch,Nov,Other,No,11,0
03000091,67,559580,21,11,3,353,22,1812032,1,No,Yes,Service,School,Email,Mar,Married,No,7,1
03000092,33,68853,33,2,7,468,1,1240561,3,Yes,Yes,Professional,Postgraduate,Phone,Jun,Other,Yes,0,1
03000093,34,15975,148,9,7,523,0,364750,7,Yes,No,Retired,Postgraduate,Email,Mar,Other,Yes,1,1
03000094,60,210897,108,5,7,194,14,956656,0,Yes,Yes,Service,Postgraduate,Email,Jan,Other,Yes,6,0
03000095,34,18632,79,9,7,321,23,2329824,8,No,No,Business,Postgraduate,Branch,Sep,Married,No,5,1
03000096,36,247209,180,4,10,210,25,420836,7,Yes,Yes,Retired,Postgraduate,Branch,Mar,Other,Yes,12,0
03000097,44,1175933,61,7,9,602,5,2577391,1,No,No,Retired,Postgraduate,Branch,Mar,Single,Yes,9,1
03000098,27,739825,144,7,8,115,21,1060552,8,No,Yes,Service,Graduate,Branch,Sep,Single,Yes,5,0
03000099,59,861456,73,11,1,33,4,1274721,7,Yes,Yes,Business,Postgraduate,Branch,Nov,Single,Yes,8,1
03000100,48,920272,55,9,9,307,7,434847,5,Yes,No,Professional,School,Branch,Jan,Single,Yes,2,0
03000101,57,233521,80,7,2,360,1,1790089,0,No,Yes,Professional,School,Branch,Jun,Married,Yes,8,0
03000102,69,576571,60,5,9,508,15,1097079,3,No,Yes,Professional,Graduate,Email,Nov,Other,No,4,1
03000103,43,839220,129,1,4,234,4,1530456,1,Yes,Yes,Professional,School,Branch,Nov,Married,Yes,7,1
03000104,61,369414,6,8,7,72,8,2106045,4,Yes,No,Retired,School,Email,Jun,Single,No,10,0
03000105,68,18265,130,11,4,360,6,2464776,5,No,No,Professional,School,Branch,Jun,Other,No,11,0
03000106,65,901321,179,3,3,186,12,2105521,1,No,No,Service,Postgraduate,Email,Sep,Married,No,2,1
03000107,31,363412,47,4,4,146,3,2509452,3,No,No,Professional,Graduate,Phone,Mar,Married,No,9,0
03000108,23,45679,161,8,3,414,19,2893296,6,No,No,Service,Graduate,Branch,Mar,Married,No,2,1
03000109,21,1159672,150,3,5,515,3,2911678,1,Yes,Yes,Professional,Graduate,Phone,Sep,Married,No,10,1
03000110,52,962055,171,5,6,175,15,2979317,2,Yes,No,Retired,Graduate,Phone,Nov,Other,Yes,11,0
03000111,31,615035,143,11,10,457,17,952812,4,No,Yes,Professional,School,Email,Jun,Other,Yes,8,1
03000112,66,1081042,35,7,3,440,0,2443951,1,No,Yes,Professional,Graduate,Email,Jan,Married,Yes,10,1
03000113,40,832503,61,5,0,524,7,2307528,8,Yes,Yes,Professional,Graduate,Branch,Mar,Single,Yes,8,0
03000114,62,106552,158,11,2,222,2,661770,1,No,Yes,Service,School,Branch,Mar,Married,No,5,0
03000115,31,262959,101,8,9,513,16,341759,2,Yes,No,Service,Postgraduate,Phone,Sep,Single,Yes,12,1
03000116,69,627280,9,12,4,247,2,1928328,4,Yes,Yes,Professional,Graduate,Branch,Sep,Other,No,9,0
03000117,30,516188,179,6,3,196,17,690218,0,No,Yes,Service,Postgraduate,Email,Mar,Married,Yes,5,1
03000118,36,1146602,118,1,0,189,4,320259,7,Yes,Yes,Professional,School,Email,Mar,Married,No,2,0
03000119,58,503761,116,7,8,573,24,1383125,4,Yes,Yes,Retired,Graduate,Email,Mar,Married,No,5,1
03000120,54,51006,76,11,0,207,8,2178634,7,Yes,No,Professional,Postgraduate,Branch,Mar,Single,Yes,11,0
03000121,45,619895,10,9,7,582,4,1798085,6,No,Yes,Business,Postgraduate,Branch,Jun,Other,Yes,8,1
03000122,44,423379,55,10,9,333,20,2389507,5,No,Yes,Retired,Postgraduate,Phone,Jun,Single,No,2,1
03000123,68,842061,132,6,8,639,15,2728727,7,No,No,Retired,Postgraduate,Email,Nov,Other,No,12,1
03000124,27,50057,155,12,5,344,23,1552105,6,Yes,No,Service,Postgraduate,Phone,Jun,Married,No,12,0
03000125,56,55080,116,4,1,444,7,754278,8,No,Yes,Service,Graduate,Branch,Sep,Married,Yes,12,1
03000126,26,749242,51,7,6,434,24,2969780,2,Yes,Yes,Professional,School,Branch,Mar,Single,No,0,1
03000127,41,330103,106,5,6,248,5,2891478,4,No,No,Professional,Postgraduate,Branch,Nov,Single,No,8,0
03000128,63,948308,77,11,5,96,14,2714268,5,No,No,Professional,School,Phone,Jan,Single,Yes,0,1
03000129,60,726188,35,11,6,609,7,643448,8,No,No,Retired,Postgraduate,Branch,Jun,Other,No,11,1
03000130,48,1111086,0,10,10,139,5,982868,8,Yes,No,Professional,Postgraduate,Phone,Jan,Other,No,7,1
03000131,34,791250,88,7,1,333,10,2519764,7,Yes,No,Retired,School,Branch,Jan,Single,No,3,0
03000132,55,439042,85,2,0,363,3,2254002,0,Yes,No,Professional,Postgraduate,Email,Jun,Married,No,5,0
03000133,58,376734,70,1,9,237,16,508643,7,No,No,Business,Graduate,Email,Mar,Other,No,5,1
03000134,52,445356,37,3,6,553,20,1938644,6,No,Yes,Professional,Graduate,Branch,Jun,Single,Yes,11,0
03000135,30,903207,109,7,6,513,25,2032989,8,Yes,Yes,Professional,School,Email,Jun,Single,Yes,1,1
03000136,48,767233,121,10,4,92,1,2882218,2,No,No,Business,Graduate,Phone,Nov,Married,No,11,1
03000137,49,1071973,180,3,5,620,2,2041666,3,No,Yes,Service,Graduate,Phone,Jun,Single,No,2,1
03000138,55,3174,64,5,6,242,8,2242480,2,No,Yes,Retired,School,Phone,Sep,Single,No,6,0
03000139,47,52068,158,10,0,587,22,2414549,5,Yes,Yes,Professional,Postgraduate,Phone,Sep,Other,Yes,3,1
03000140,26,127445,173,8,9,520,20,1248228,7,No,Yes,Business,School,Phone,Sep,Married,No,11,1
03000141,23,607591,175,8,8,114,1,2456147,2,Yes,No,Retired,Graduate,Email,Mar,Single,No,3,1
03000142,65,371202,35,8,5,628,16,2238538,2,Yes,Yes,Retired,Graduate,Branch,Mar,Married,No,4,1
03000143,60,333084,72,12,5,534,16,1647253,8,Yes,Yes,Service,School,Phone,Sep,Married,No,4,1
03000144,63,679262,157,4,8,584,9,733849,5,Yes,Yes,Service,Postgraduate,Phone,Jun,Other,Yes,4,1
03000145,47,710167,145,7,4,93,5,2205726,5,Yes,No,Business,Graduate,Email,Nov,Single,Yes,10,0
03000146,21,279192,85,11,8,153,16,1254640,7,No,No,Service,Postgraduate,Email,Jun,Married,No,5,1
03000147,39,257028,152,2,6,364,11,1252940,6,No,No,Service,School,Email,Mar,Other,No,0,1
03000148,27,777100,24,5,7,520,7,1093897,1,Yes,No,Retired,School,Branch,Nov,Other,Yes,11,1
03000149,56,51648,18,4,7,488,3,1852167,7,No,No,Business,School,Branch,Jan,Single,Yes,0,0
03000150,61,731912,128,10,5,509,5,2054886,4,Yes,Yes,Service,School,Branch,Mar,Married,No,7,0
03000151,44,37212,116,2,4,444,7,1737255,7,Yes,No,Service,Graduate,Email,Nov,Single,No,4,0
03000152,64,474729,84,2,10,639,14,1285622,8,Yes,No,Service,School,Branch,Sep,Other,Yes,6,0
03000153,33,588966,139,5,5,587,5,1363622,0,No,No,Service,School,Email,Jun,Married,Yes,4,0
03000154,44,717275,12,8,0,505,21,424730,6,No,No,Professional,Postgraduate,Phone,Nov,Married,Yes,9,0
03000155,64,927332,158,10,7,496,2,2150591,2,Yes,No,Retired,School,Branch,Sep,Married,Yes,4,1
03000156,24,155705,153,10,9,148,0,1737955,2,Yes,Yes,Professional,Postgraduate,Email,Nov,Single,No,6,0
03000157,45,453345,14,6,1,506,4,2394253,7,Yes,Yes,Business,School,Phone,Mar,Other,Yes,4,0
03000158,40,387226,102,3,5,270,14,2347802,0,Yes,No,Professional,Graduate,Email,Jun,Married,Yes,4,0
03000159,37,875628,26,11,8,140,20,2134274,1,No,Yes,Retired,Postgraduate,Email,Mar,Married,No,2,0
03000160,27,1042177,2,10,9,581,14,2383553,1,Yes,Yes,Retired,Graduate,Phone,Nov,Married,No,4,1
03000161,28,547763,155,8,8,82,13,2884975,5,Yes,No,Retired,Postgraduate,Branch,Jan,Other,No,9,1
03000162,23,905364,133,9,1,301,7,346265,2,No,No,Professional,Postgraduate,Email,Sep,Married,Yes,8,0
03000163,21,182886,23,10,7,622,19,2479404,6,No,No,Service,Postgraduate,Email,Sep,Married,No,7,1
03000164,58,380359,39,5,3,51,17,2550409,4,Yes,No,Professional,School,Phone,Jun,Married,Yes,2,0
03000165,42,74129,8,12,1,37,6,1498043,1,No,No,Business,Graduate,Branch,Jun,Married,No,2,0
03000166,58,423798,151,2,1,290,4,2830693,5,No,Yes,Service,School,Email,Jan,Married,Yes,4,0
03000167,36,48388,149,7,5,215,2,1588934,0,No,Yes,Service,School,Branch,Nov,Married,Yes,3,0
03000168,46,67848,111,11,1,529,18,2600587,7,No,Yes,Business,School,Email,Nov,Other,Yes,10,0
03000169,57,469700,125,11,0,61,20,2477319,2,Yes,Yes,Service,Postgraduate,Phone,Jan,Other,Yes,4,0
03000170,27,486858,36,9,5,305,12,634387,0,No,No,Service,Graduate,Branch,Jan,Single,No,7,0
03000171,66,618463,62,9,1,410,4,2684106,0,Yes,Yes,Business,Postgraduate,Branch,Nov,Other,Yes,3,1
03000172,62,1027034,83,1,4,391,7,1808220,6,No,Yes,Service,School,Branch,Sep,Single,No,5,1
03000173,51,211433,53,6,3,477,10,668452,1,Yes,Yes,Service,Graduate,Phone,Jun,Other,No,7,0
03000174,68,557890,139,11,3,174,5,688413,5,No,Yes,Professional,School,Branch,Nov,Other,Yes,6,0
03000175,52,948336,151,2,10,472,23,2298389,5,Yes,No,Retired,Graduate,Phone,Nov,Married,No,4,0
03000176,34,734816,55,3,5,318,20,2046182,0,No,Yes,Professional,Graduate,Email,Nov,Other,No,0,1
03000177,35,1004033,126,7,3,564,23,2182553,7,No,No,Business,School,Phone,Nov,Married,No,2,1
03000178,36,848632,159,7,6,282,8,2873691,0,No,No,Service,Graduate,Email,Sep,Single,Yes,1,0
03000179,49,1051181,104,1,2,390,8,270097,7,No,Yes,Retired,Graduate,Email,Mar,Single,Yes,6,0
03000180,57,929016,11,1,10,507,20,1389114,4,No,Yes,Retired,Graduate,Branch,Jun,Married,No,2,1
03000181,40,1086761,113,3,3,454,9,1130234,6,No,No,Professional,Graduate,Email,Sep,Other,No,4,1
03000182,56,710073,52,3,3,115,8,887788,4,No,Yes,Retired,Postgraduate,Email,Nov,Single,Yes,5,0
03000183,46,51072,138,12,8,442,14,2698860,5,Yes,Yes,Service,Postgraduate,Branch,Mar,Single,Yes,6,1
03000184,42,634454,14,6,0,199,22,1225504,2,No,Yes,Service,Postgraduate,Branch,Jan,Other,No,5,0
03000185,52,150405,52,7,4,584,7,1915611,5,No,No,Retired,School,Email,Jan,Other,No,0,1
03000186,36,1096581,12,9,4,507,4,889330,4,Yes,Yes,Retired,Postgraduate,Phone,Jun,Single,Yes,9,0
03000187,55,439111,94,4,4,619,2,1328922,4,No,Yes,Professional,School,Phone,Nov,Married,Yes,1,1
03000188,63,392788,112,3,5,534,25,2187471,8,Yes,Yes,Service,Postgraduate,Email,Mar,Other,Yes,11,1
03000189,42,415114,159,6,4,341,6,2014264,3,No,No,Service,Graduate,Email,Mar,Single,No,2,1
03000190,26,1029513,61,6,10,79,21,2798458,5,No,No,Retired,School,Phone,Sep,Other,Yes,2,1
03000191,23,608605,122,7,6,649,24,2460995,3,Yes,Yes,Business,School,Email,Jan,Married,Yes,3,1
03000192,52,75751,25,7,3,383,21,2417376,4,No,No,Business,Postgraduate,Email,Sep,Married,No,1,0
03000193,49,138802,50,4,5,271,13,455417,5,No,No,Professional,Graduate,Branch,Mar,Married,Yes,3,1
03000194,46,959330,28,8,6,511,0,2851262,1,Yes,No,Retired,Graduate,Email,Sep,Single,No,6,1
03000195,45,338209,144,9,9,365,11,2776576,2,No,Yes,Service,School,Branch,Mar,Married,No,1,0
03000196,68,435349,143,4,4,476,6,2712922,4,No,Yes,Service,Graduate,Email,Jun,Married,No,10,0
03000197,32,112452,37,3,9,642,11,1498542,0,No,Yes,Professional,School,Phone,Sep,Single,No,9,1
03000198,55,709091,74,5,3,125,8,1583193,3,No,No,Professional,Graduate,Phone,Jan,Single,Yes,3,0
03000199,52,789723,46,1,4,122,20,1689838,1,No,No,Retired,Postgraduate,Branch,Mar,Married,No,7,0
03000200,22,690839,169,11,4,221,8,1190110,8,Yes,No,Professional,School,Phone,Jun,Single,Yes,5,0
03000201,65,759262,8,6,7,315,16,2257804,7,Yes,Yes,Service,Postgraduate,Branch,Nov,Other,No,2,1
03000202,29,63096,105,4,9,141,15,2537999,4,No,Yes,Retired,Graduate,Branch,Mar,Other,No,11,0
03000203,58,590857,70,6,9,355,12,2088290,2,No,Yes,Service,Graduate,Email,Jun,Married,No,8,1
03000204,37,757052,3,8,1,139,1,1765033,7,Yes,Yes,Retired,Postgraduate,Branch,Mar,Other,No,6,0
03000205,47,1113581,61,6,6,469,16,2059461,1,Yes,Yes,Service,Postgraduate,Branch,Jan,Other,Yes,0,1
03000206,50,150332,66,10,6,148,7,1565460,8,Yes,No,Service,School,Branch,Jun,Other,Yes,8,1
03000207,26,1119990,116,8,5,496,16,757000,6,No,Yes,Business,School,Phone,Sep,Single,Yes,9,0
03000208,62,808842,178,10,0,367,22,2169176,7,No,No,Retired,School,Phone,Jun,Single,Yes,7,1
03000209,38,863069,148,4,1,298,18,1949845,1,No,Yes,Business,School,Branch,Jan,Married,Yes,5,0
03000210,47,839496,46,5,6,419,16,2223291,6,No,Yes,Professional,Graduate,Phone,Mar,Single,No,12,1
03000211,24,505078,66,11,3,417,23,489308,0,Yes,No,Professional,Graduate,Phone,Mar,Married,No,6,0
03000212,58,200408,0,6,9,645,15,1824702,3,Yes,No,Service,School,Branch,Jan,Other,Yes,7,1
03000213,31,629092,8,2,10,53,24,2063205,2,Yes,No,Service,Postgraduate,Phone,Jan,Married,No,12,1
03000214,48,1008975,103,4,7,242,10,254386,2,Yes,Yes,Professional,Postgraduate,Phone,Jun,Single,Yes,5,1
03000215,43,309542,50,7,7,342,22,2528892,0,No,Yes,Professional,School,Email,Mar,Married,No,11,1
03000216,56,37603,78,1,1,612,5,1593201,4,Yes,No,Service,School,Email,Nov,Married,No,5,0
03000217,36,1169310,106,7,2,422,5,814791,5,No,No,Service,School,Branch,Jun,Single,No,1,0
03000218,61,1108409,39,10,2,363,6,396435,3,No,No,Retired,School,Email,Mar,Other,Yes,2,1
03000219,43,1030049,44,1,6,38,8,2363172,4,No,Yes,Business,Graduate,Branch,Nov,Other,Yes,10,0
03000220,69,586277,15,11,0,100,11,964733,0,No,Yes,Professional,Graduate,Email,Sep,Married,Yes,12,0
03000221,42,181604,126,12,0,46,6,1509477,4,Yes,Yes,Professional,School,Branch,Mar,Other,No,1,0
03000222,21,747641,53,2,6,310,5,1316229,4,No,Yes,Professional,Graduate,Phone,Nov,Other,No,6,1
03000223,29,1100072,67,8,7,282,11,2949293,5,No,No,Retired,School,Phone,Jun,Single,No,1,1
03000224,35,1078819,82,12,4,597,15,2952439,7,No,Yes,Business,Postgraduate,Branch,Mar,Married,No,10,1
03000225,43,423942,126,7,5,586,0,2251163,2,No,No,Business,Graduate,Branch,Sep,Single,Yes,10,1
03000226,43,1156543,114,12,5,348,4,995867,2,Yes,No,Service,School,Branch,Jun,Married,Yes,6,1
03000227,60,259615,89,10,3,138,9,2195580,8,Yes,No,Business,Postgraduate,Email,Jan,Other,Yes,4,0
03000228,22,331632,6,1,9,369,14,1080179,5,Yes,No,Business,Graduate,Branch,Jun,Other,No,0,0
03000229,64,129018,8,8,2,280,13,1428092,6,No,Yes,Retired,Graduate,Email,Jun,Married,Yes,12,0
03000230,41,1138944,3,3,10,262,9,2253207,4,No,Yes,Service,Graduate,Email,Mar,Single,Yes,4,1
03000231,65,1062293,33,1,6,254,9,1320690,1,No,No,Retired,School,Email,Sep,Other,Yes,1,0
03000232,53,176474,23,10,4,362,7,2115120,7,No,Yes,Professional,School,Phone,Sep,Married,Yes,0,0
03000233,29,358231,31,2,5,510,3,2126164,3,Yes,No,Professional,School,Branch,Sep,Single,No,5,1
03000234,59,921640,138,8,7,138,10,434603,4,Yes,Yes,Professional,School,Phone,Jan,Married,Yes,11,1
03000235,32,349612,15,5,4,127,1,1577014,0,Yes,No,Service,Postgraduate,Phone,Mar,Other,Yes,3,0
03000236,45,747543,81,12,2,358,0,1227603,0,Yes,No,Business,Graduate,Branch,Jan,Single,Yes,10,1
03000237,29,1164152,29,7,0,208,21,1954503,0,Yes,Yes,Service,Postgraduate,Email,Nov,Other,No,0,0
03000238,64,1140597,79,8,1,133,4,1627339,2,No,Yes,Professional,Graduate,Phone,Jun,Other,Yes,10,1
03000239,40,318806,46,4,10,357,20,650106,3,Yes,Yes,Professional,School,Email,Nov,Other,No,2,0
03000240,60,841551,172,2,5,409,23,1189725,8,Yes,Yes,Retired,Graduate,Email,Mar,Married,No,9,0
03000241,35,54918,75,9,9,172,5,2672780,2,Yes,Yes,Retired,Postgraduate,Branch,Mar,Married,Yes,9,0
03000242,43,610546,72,1,7,168,10,1049810,8,Yes,Yes,Service,School,Phone,Jun,Married,No,1,1
