dispute_id,customer_age,disputed_amount_inr,days_to_report,merchant_refund_attempts,transaction_age_days,device_seen_before,otp_verified,merchant_risk_score,prior_disputes_12m,transaction_type,merchant_category,card_network,authentication_method,evidence_submitted,merchant_response,customer_tenure_months,transaction_country,account_segment,dispute_upheld
07000022,28,16471,157,4,53,Yes,No,36,5,Card purchase,Electronics,RuPay,PIN,Yes,Pending,39,India,Standard,1
07000023,67,21188,3,2,52,No,Yes,26,5,ATM,Grocery,Mastercard,OTP,Yes,Pending,9,India,Premium,1
07000024,39,113588,120,4,62,No,Yes,85,2,Transfer,Grocery,RuPay,None,Yes,Agreed,40,International,Standard,1
07000025,33,81594,85,3,22,No,Yes,39,3,Card purchase,Travel,RuPay,None,Yes,Rejected,4,International,Premium,1
07000026,43,81161,75,5,63,No,No,86,0,Card purchase,Dining,Mastercard,PIN,Yes,Agreed,26,International,Standard,1
07000027,63,56478,88,4,33,Yes,Yes,73,5,Card purchase,Grocery,RuPay,PIN,Yes,Agreed,65,International,Standard,1
07000028,29,136237,175,5,49,Yes,Yes,63,1,ATM,Travel,Visa,OTP,No,Rejected,23,International,Premium,0
07000029,69,100734,144,3,58,No,No,15,2,Card purchase,Fuel,Visa,None,Yes,Agreed,64,India,Standard,1
07000030,46,105246,76,0,65,No,Yes,38,5,ATM,Grocery,RuPay,PIN,No,Agreed,57,International,Premium,1
07000031,69,19647,108,0,55,Yes,Yes,93,1,Transfer,Electronics,Mastercard,None,No,Pending,42,International,Premium,0
07000032,26,134900,71,0,68,No,Yes,23,0,ATM,Grocery,RuPay,Biometric,Yes,Pending,28,India,Standard,0
07000033,31,124480,49,4,41,Yes,Yes,25,4,Transfer,Fuel,Visa,OTP,No,Agreed,56,India,Premium,0
07000034,22,67040,106,1,60,No,Yes,7,0,Transfer,Travel,Mastercard,Biometric,Yes,Pending,71,India,Premium,0
07000035,35,32062,46,2,23,No,No,25,0,Card purchase,Dining,Visa,OTP,No,Agreed,22,International,Standard,0
07000036,68,99109,156,4,26,Yes,No,46,2,Transfer,Grocery,Mastercard,OTP,No,Rejected,57,India,Premium,0
07000037,24,142700,82,2,31,No,No,55,2,Card purchase,Grocery,Visa,OTP,Yes,Pending,24,International,Premium,0
07000038,34,35994,119,3,21,No,No,64,3,ATM,Travel,RuPay,Biometric,Yes,Pending,33,India,Premium,1
07000039,48,124872,43,0,67,Yes,Yes,67,1,ATM,Travel,Mastercard,PIN,No,Rejected,27,India,Standard,0
07000040,22,164011,71,2,65,Yes,Yes,38,2,Transfer,Electronics,Visa,PIN,No,Agreed,34,International,Standard,0
07000041,52,114944,28,4,32,No,Yes,90,2,Transfer,Dining,Visa,None,Yes,Agreed,60,International,Standard,1
07000042,46,158974,69,5,33,No,No,15,2,ATM,Grocery,Mastercard,PIN,Yes,Agreed,32,International,Standard,0
07000043,65,39832,92,5,67,No,No,7,2,Transfer,Travel,Mastercard,PIN,Yes,Rejected,60,International,Premium,0
07000044,41,2604,64,2,54,Yes,Yes,21,2,ATM,Dining,RuPay,None,No,Agreed,50,India,Standard,0
07000045,34,160939,8,1,30,No,No,64,1,Card purchase,Travel,Mastercard,Biometric,Yes,Pending,64,India,Premium,1
07000046,69,171804,58,3,32,No,Yes,21,2,Card purchase,Grocery,RuPay,PIN,No,Rejected,52,India,Standard,0
07000047,26,100781,7,3,54,No,No,56,1,ATM,Grocery,RuPay,OTP,No,Pending,70,India,Premium,0
07000048,44,152402,33,1,56,No,No,28,1,ATM,Electronics,Mastercard,Biometric,No,Pending,17,India,Premium,0
07000049,58,43057,108,1,67,Yes,No,16,2,Card purchase,Travel,RuPay,None,No,Agreed,13,India,Premium,0
07000050,61,42992,25,5,40,No,No,21,1,Card purchase,Electronics,Mastercard,None,Yes,Agreed,19,International,Standard,1
07000051,40,41358,139,4,35,Yes,Yes,60,1,Transfer,Fuel,RuPay,OTP,Yes,Rejected,57,International,Standard,1
07000052,44,20213,134,3,46,Yes,Yes,77,0,ATM,Travel,Visa,PIN,Yes,Agreed,71,India,Standard,1
07000053,21,86765,58,2,59,Yes,Yes,92,5,Card purchase,Dining,Mastercard,PIN,No,Agreed,25,India,Premium,0
07000054,61,42295,39,2,29,Yes,No,36,5,Card purchase,Electronics,RuPay,Biometric,No,Rejected,26,International,Premium,0
07000055,47,66065,44,5,56,Yes,Yes,45,2,Transfer,Dining,Visa,Biometric,No,Agreed,42,International,Standard,1
07000056,44,140807,176,0,66,Yes,Yes,54,3,ATM,Electronics,Mastercard,OTP,No,Rejected,26,India,Premium,0
07000057,29,163431,114,4,38,Yes,No,38,5,Card purchase,Grocery,RuPay,PIN,Yes,Rejected,12,India,Premium,0
07000058,46,163686,107,0,35,No,Yes,26,4,Transfer,Dining,Visa,OTP,Yes,Rejected,17,International,Standard,1
07000059,55,27385,25,1,67,No,Yes,68,4,ATM,Travel,RuPay,Biometric,No,Agreed,62,International,Standard,0
07000060,62,51123,178,3,36,Yes,Yes,85,2,ATM,Grocery,Mastercard,OTP,No,Pending,69,India,Premium,1
07000061,60,60686,41,2,61,Yes,No,85,0,ATM,Travel,Visa,OTP,Yes,Pending,55,International,Standard,1
07000062,50,71876,161,2,69,No,Yes,5,5,Card purchase,Dining,Mastercard,Biometric,Yes,Agreed,37,India,Premium,1
07000063,34,66010,153,2,23,Yes,Yes,92,5,ATM,Grocery,Mastercard,Biometric,No,Agreed,24,International,Standard,0
07000064,57,27326,173,2,68,Yes,Yes,40,5,ATM,Dining,Visa,Biometric,Yes,Agreed,51,India,Premium,0
07000065,66,108503,180,3,47,No,Yes,75,3,Transfer,Fuel,RuPay,None,No,Agreed,45,India,Premium,1
07000066,34,137417,119,3,35,No,Yes,83,0,Transfer,Dining,RuPay,OTP,No,Pending,84,International,Standard,1
07000067,50,79636,106,2,27,Yes,Yes,57,2,Card purchase,Dining,RuPay,PIN,No,Pending,22,International,Premium,0
07000068,50,50872,75,4,30,Yes,Yes,76,0,Card purchase,Fuel,Visa,Biometric,Yes,Rejected,60,India,Premium,1
07000069,21,19219,115,1,43,Yes,Yes,24,4,Card purchase,Dining,Visa,Biometric,No,Agreed,28,International,Standard,0
07000070,51,60496,170,3,31,No,Yes,54,0,ATM,Dining,RuPay,OTP,No,Rejected,16,International,Premium,1
07000071,61,121911,118,4,41,No,No,81,0,Card purchase,Dining,Mastercard,None,Yes,Agreed,20,International,Premium,1
07000072,45,151858,10,1,46,Yes,Yes,47,3,Card purchase,Electronics,Mastercard,Biometric,Yes,Pending,72,International,Premium,1
07000073,35,9387,34,5,32,No,Yes,84,3,ATM,Fuel,RuPay,OTP,Yes,Agreed,23,International,Standard,1
07000074,40,97481,46,5,29,Yes,Yes,31,4,Transfer,Travel,Visa,PIN,No,Pending,32,India,Standard,0
07000075,67,17546,77,5,35,Yes,No,20,2,Transfer,Dining,Visa,PIN,Yes,Pending,59,International,Premium,0
07000076,57,30427,2,3,46,Yes,No,51,4,Transfer,Grocery,RuPay,OTP,No,Agreed,83,International,Standard,0
07000077,52,1537,119,4,21,No,Yes,39,1,ATM,Dining,Mastercard,None,Yes,Rejected,64,India,Standard,1
07000078,53,30533,130,5,67,No,No,46,2,Card purchase,Dining,Visa,Biometric,No,Pending,51,International,Premium,0
07000079,65,165027,132,3,34,Yes,Yes,93,1,ATM,Dining,Mastercard,OTP,No,Rejected,76,India,Standard,0
07000080,24,137066,3,3,66,No,Yes,61,1,ATM,Travel,Mastercard,Biometric,No,Rejected,38,International,Premium,1
07000081,63,52520,29,4,39,No,Yes,90,1,Card purchase,Electronics,Mastercard,OTP,Yes,Pending,11,India,Premium,1
07000082,59,79252,114,3,53,No,Yes,29,2,Transfer,Electronics,Mastercard,PIN,No,Agreed,43,International,Premium,0
07000083,41,34627,110,3,29,Yes,No,12,4,ATM,Fuel,RuPay,None,No,Agreed,52,International,Premium,0
07000084,47,20635,110,2,53,Yes,No,93,3,ATM,Travel,RuPay,PIN,No,Pending,35,International,Standard,0
07000085,25,177401,133,1,59,Yes,No,25,2,Card purchase,Fuel,Visa,OTP,No,Rejected,11,India,Premium,0
07000086,21,169461,84,2,25,No,No,55,0,ATM,Travel,Visa,None,No,Agreed,53,International,Standard,0
07000087,25,170177,112,1,37,No,Yes,63,2,Card purchase,Electronics,RuPay,Biometric,No,Rejected,38,International,Standard,1
07000088,21,58945,90,5,52,Yes,Yes,81,5,Transfer,Travel,RuPay,None,Yes,Agreed,1,International,Premium,1
07000089,57,16654,75,2,28,No,Yes,51,3,Card purchase,Fuel,RuPay,OTP,No,Pending,11,International,Standard,1
07000090,47,34834,146,0,32,No,No,93,2,Card purchase,Electronics,RuPay,OTP,No,Rejected,70,India,Premium,0
07000091,63,33017,62,3,64,No,Yes,40,0,ATM,Fuel,Visa,Biometric,No,Pending,81,International,Premium,1
07000092,64,21252,98,0,39,Yes,No,78,4,ATM,Fuel,Mastercard,None,Yes,Rejected,18,International,Premium,1
07000093,50,129065,50,5,54,No,No,20,2,Transfer,Electronics,Visa,Biometric,No,Pending,61,International,Premium,0
07000094,64,61558,39,3,51,No,No,68,5,Transfer,Travel,Visa,Biometric,No,Agreed,46,India,Standard,1
07000095,30,73104,108,3,22,Yes,Yes,76,0,Transfer,Electronics,RuPay,None,No,Rejected,84,International,Premium,0
07000096,34,171812,105,4,53,Yes,No,91,3,ATM,Electronics,RuPay,None,Yes,Pending,37,India,Premium,1
07000097,63,107172,109,1,37,Yes,No,41,2,Transfer,Fuel,Mastercard,PIN,Yes,Agreed,81,India,Premium,0
07000098,36,52927,92,4,25,Yes,Yes,84,2,ATM,Fuel,RuPay,PIN,No,Rejected,33,International,Premium,1
07000099,32,177915,68,0,27,Yes,No,55,2,Card purchase,Grocery,RuPay,Biometric,No,Rejected,23,International,Standard,0
07000100,58,118873,143,5,24,No,No,49,4,Transfer,Dining,Mastercard,None,Yes,Agreed,35,International,Standard,1
07000101,37,21677,69,5,54,Yes,Yes,82,5,Transfer,Fuel,Visa,None,Yes,Pending,69,International,Standard,1
07000102,56,2191,74,4,54,Yes,No,63,1,ATM,Fuel,Mastercard,Biometric,No,Pending,53,International,Premium,0
07000103,36,44138,1,2,64,No,Yes,20,5,ATM,Fuel,RuPay,PIN,No,Rejected,51,International,Premium,1
07000104,64,90294,180,5,60,No,Yes,45,4,Transfer,Travel,Mastercard,PIN,No,Pending,82,India,Premium,1
07000105,59,118123,111,3,50,No,Yes,34,3,Transfer,Electronics,Visa,OTP,No,Rejected,42,International,Standard,0
07000106,40,91363,144,5,60,No,No,49,3,ATM,Grocery,RuPay,None,Yes,Agreed,60,India,Standard,1
07000107,42,40593,167,2,27,No,No,19,2,Card purchase,Dining,RuPay,PIN,Yes,Pending,8,International,Standard,0
07000108,42,46051,81,1,44,Yes,Yes,31,0,Card purchase,Travel,RuPay,PIN,Yes,Rejected,15,India,Standard,0
07000109,52,80923,21,4,21,No,No,7,3,ATM,Travel,Mastercard,OTP,No,Agreed,36,India,Standard,0
07000110,58,1363,1,0,69,Yes,No,19,4,ATM,Electronics,Mastercard,Biometric,Yes,Rejected,76,International,Standard,0
07000111,29,95789,72,4,27,No,Yes,58,2,Transfer,Travel,RuPay,OTP,No,Agreed,43,India,Standard,0
07000112,56,148210,161,3,56,No,No,93,4,Transfer,Electronics,Visa,None,No,Agreed,82,International,Premium,0
07000113,64,163795,43,3,61,Yes,No,82,4,ATM,Dining,RuPay,None,Yes,Rejected,54,International,Premium,1
07000114,42,7164,103,0,61,No,No,57,3,ATM,Grocery,Mastercard,PIN,No,Agreed,61,India,Standard,1
07000115,51,24135,167,2,54,Yes,No,74,0,ATM,Grocery,Mastercard,None,Yes,Agreed,3,International,Standard,0
07000116,45,124534,0,0,44,Yes,Yes,95,1,ATM,Fuel,RuPay,None,Yes,Agreed,52,India,Premium,1
07000117,25,21818,1,2,63,No,Yes,28,0,Card purchase,Dining,RuPay,Biometric,Yes,Rejected,60,India,Premium,0
07000118,40,140322,177,4,27,No,Yes,73,2,ATM,Travel,Mastercard,OTP,Yes,Agreed,26,International,Standard,0
07000119,51,173354,174,0,23,Yes,Yes,12,4,ATM,Dining,RuPay,None,No,Rejected,20,India,Standard,0
07000120,38,19218,150,5,31,No,No,18,5,Card purchase,Travel,RuPay,OTP,Yes,Pending,34,India,Premium,1
07000121,33,83052,160,2,55,Yes,Yes,44,5,Card purchase,Grocery,RuPay,OTP,Yes,Rejected,82,International,Premium,1
07000122,21,103705,69,3,65,No,Yes,88,5,Card purchase,Fuel,RuPay,OTP,No,Rejected,80,India,Premium,1
07000123,30,64749,6,2,37,Yes,No,93,4,Transfer,Fuel,Mastercard,Biometric,No,Rejected,8,International,Premium,0
07000124,63,132146,138,0,55,No,Yes,60,0,ATM,Grocery,Visa,PIN,No,Rejected,27,India,Premium,1
07000125,51,135073,135,0,56,Yes,Yes,20,0,Transfer,Fuel,Visa,Biometric,Yes,Pending,77,International,Standard,0
07000126,34,50903,46,0,44,No,Yes,28,4,ATM,Fuel,RuPay,OTP,No,Pending,75,India,Standard,1
07000127,61,13762,92,4,25,Yes,No,85,1,Card purchase,Dining,RuPay,Biometric,Yes,Agreed,27,International,Premium,1
07000128,29,137567,91,1,42,No,No,80,0,Card purchase,Dining,RuPay,None,Yes,Rejected,76,India,Premium,1
07000129,49,141982,158,0,58,Yes,Yes,25,3,ATM,Fuel,Visa,OTP,No,Agreed,16,International,Standard,0
07000130,39,138191,102,1,34,Yes,Yes,75,4,Transfer,Travel,Mastercard,OTP,No,Rejected,4,International,Premium,1
07000131,56,107951,64,2,22,No,No,64,4,ATM,Electronics,Mastercard,PIN,No,Agreed,1,International,Standard,0
07000132,59,29549,8,3,46,No,No,80,5,Card purchase,Travel,Mastercard,None,No,Rejected,61,India,Premium,0
07000133,60,64349,179,1,37,No,Yes,34,2,Card purchase,Electronics,Visa,OTP,No,Pending,25,India,Premium,0
07000134,25,117646,35,0,23,Yes,Yes,40,3,Card purchase,Travel,Visa,OTP,No,Pending,25,India,Standard,0
07000135,43,80829,31,3,27,Yes,No,68,0,Transfer,Fuel,RuPay,OTP,No,Pending,80,India,Premium,0
07000136,43,113111,23,5,37,Yes,Yes,73,1,Card purchase,Fuel,Visa,Biometric,Yes,Rejected,13,International,Standard,0
07000137,60,158509,133,4,63,Yes,Yes,61,4,ATM,Travel,Visa,PIN,No,Rejected,24,India,Standard,1
07000138,38,22600,132,0,61,Yes,No,61,3,ATM,Grocery,Mastercard,None,No,Rejected,62,International,Premium,0
07000139,27,51539,86,0,31,No,Yes,30,3,ATM,Travel,Mastercard,Biometric,No,Rejected,17,India,Premium,0
07000140,30,143981,113,0,45,Yes,Yes,18,2,Card purchase,Grocery,Visa,OTP,No,Rejected,62,India,Standard,0
07000141,51,59161,138,2,35,Yes,Yes,21,5,ATM,Electronics,Mastercard,PIN,Yes,Agreed,10,India,Premium,1
07000142,39,115031,120,3,63,Yes,No,20,2,ATM,Grocery,Visa,OTP,Yes,Rejected,66,India,Premium,0
07000143,67,179419,165,0,39,Yes,Yes,30,2,Transfer,Grocery,RuPay,None,Yes,Agreed,38,India,Premium,1
07000144,38,62714,54,5,55,No,No,53,1,ATM,Fuel,Mastercard,Biometric,Yes,Rejected,14,International,Standard,1
07000145,23,66716,79,5,60,Yes,No,22,5,ATM,Travel,Mastercard,PIN,No,Rejected,82,International,Standard,0
07000146,63,121994,59,3,43,Yes,No,46,2,ATM,Electronics,RuPay,PIN,Yes,Agreed,33,International,Premium,1
07000147,34,54894,92,5,53,No,Yes,11,1,Transfer,Electronics,Visa,Biometric,No,Rejected,39,India,Standard,0
07000148,56,132681,76,4,37,Yes,No,23,5,Transfer,Grocery,RuPay,Biometric,No,Agreed,55,International,Standard,1
07000149,45,151327,98,0,33,No,No,65,5,ATM,Fuel,Mastercard,PIN,Yes,Agreed,19,International,Premium,0
07000150,66,59630,151,1,32,No,Yes,19,4,Card purchase,Dining,Mastercard,Biometric,Yes,Agreed,74,India,Premium,0
07000151,44,158405,122,1,59,No,Yes,28,2,ATM,Electronics,Mastercard,None,Yes,Agreed,11,International,Premium,1
07000152,43,19803,11,1,67,No,No,95,5,Card purchase,Travel,Mastercard,Biometric,No,Agreed,22,India,Premium,0
07000153,50,128216,36,5,42,Yes,No,17,4,Card purchase,Grocery,Visa,None,Yes,Agreed,54,International,Premium,0
07000154,48,80429,12,3,25,Yes,No,93,0,Transfer,Travel,RuPay,Biometric,Yes,Agreed,24,India,Standard,1
07000155,58,130948,123,1,48,Yes,No,47,2,Transfer,Fuel,RuPay,None,Yes,Agreed,54,India,Premium,0
07000156,50,55943,49,2,69,Yes,Yes,11,2,ATM,Dining,RuPay,Biometric,Yes,Rejected,30,International,Standard,0
07000157,27,112091,109,1,25,No,No,76,5,ATM,Grocery,Mastercard,OTP,No,Agreed,10,International,Standard,1
07000158,67,179018,82,3,27,Yes,Yes,15,4,Transfer,Fuel,Visa,PIN,Yes,Pending,80,India,Premium,1
07000159,46,40380,33,1,63,Yes,Yes,26,4,ATM,Grocery,Visa,None,Yes,Rejected,69,India,Standard,1
07000160,38,80387,7,0,58,Yes,Yes,71,1,ATM,Travel,RuPay,None,Yes,Pending,80,International,Standard,1
07000161,28,73145,130,5,42,Yes,No,5,0,Card purchase,Fuel,Visa,Biometric,No,Pending,84,International,Standard,0
07000162,63,149025,96,3,41,Yes,Yes,15,2,Card purchase,Fuel,RuPay,OTP,Yes,Agreed,44,International,Standard,0
07000163,34,74298,117,1,39,No,Yes,51,0,Card purchase,Electronics,Mastercard,PIN,No,Rejected,51,International,Premium,1
07000164,55,47569,46,2,46,Yes,No,89,5,ATM,Travel,RuPay,Biometric,Yes,Pending,42,India,Standard,1
07000165,45,12112,154,0,26,No,Yes,59,4,ATM,Dining,Mastercard,Biometric,No,Rejected,67,India,Standard,0
07000166,30,79531,98,2,36,No,No,63,1,Transfer,Dining,Visa,PIN,No,Rejected,44,International,Standard,1
07000167,66,175388,160,2,57,No,Yes,68,1,Transfer,Travel,Mastercard,PIN,No,Agreed,52,International,Premium,0
07000168,23,9524,178,0,42,No,Yes,21,1,ATM,Dining,Visa,None,No,Agreed,58,International,Standard,0
07000169,53,16169,158,4,36,No,No,37,2,Card purchase,Electronics,Visa,OTP,No,Pending,36,India,Standard,0
07000170,65,150134,62,4,33,No,No,5,2,Transfer,Electronics,Mastercard,PIN,No,Rejected,68,India,Premium,0
07000171,45,132803,44,5,67,Yes,Yes,87,1,Card purchase,Dining,RuPay,PIN,No,Pending,46,India,Premium,1
07000172,46,161174,45,2,61,Yes,Yes,57,0,Card purchase,Travel,RuPay,None,No,Rejected,20,India,Standard,1
07000173,63,65010,178,2,67,Yes,Yes,59,5,Card purchase,Travel,RuPay,Biometric,Yes,Rejected,50,India,Premium,1
07000174,21,3087,92,3,52,No,Yes,48,2,Transfer,Dining,Visa,OTP,No,Rejected,40,International,Standard,1
07000175,27,38085,97,1,60,Yes,Yes,53,3,ATM,Travel,Mastercard,PIN,Yes,Agreed,28,International,Premium,1
07000176,41,47487,168,4,59,Yes,No,53,5,Card purchase,Dining,Visa,None,Yes,Agreed,49,India,Premium,1
07000177,27,141639,172,5,54,No,Yes,32,4,ATM,Fuel,Mastercard,OTP,Yes,Agreed,53,International,Premium,1
07000178,60,157699,100,1,66,Yes,No,54,3,Card purchase,Dining,Mastercard,Biometric,No,Agreed,11,International,Standard,0
07000179,24,162290,112,1,22,No,Yes,95,2,ATM,Electronics,RuPay,None,Yes,Rejected,40,India,Standard,1
07000180,56,154078,45,2,48,Yes,Yes,49,0,Card purchase,Dining,Mastercard,PIN,Yes,Pending,22,International,Standard,0
07000181,33,119484,152,4,34,Yes,Yes,82,0,ATM,Fuel,RuPay,None,No,Rejected,44,India,Standard,0
07000182,25,69021,58,1,42,No,Yes,17,5,Card purchase,Travel,Mastercard,OTP,No,Pending,11,International,Standard,0
07000183,26,58347,90,2,34,Yes,No,42,3,Transfer,Fuel,Mastercard,PIN,Yes,Pending,1,International,Standard,0
07000184,37,166994,162,4,62,No,Yes,25,3,ATM,Dining,RuPay,PIN,Yes,Rejected,83,India,Standard,0
07000185,64,29293,74,5,42,No,Yes,36,2,Transfer,Travel,RuPay,PIN,Yes,Agreed,42,International,Premium,0
07000186,22,172212,28,2,64,Yes,No,34,1,Transfer,Dining,RuPay,Biometric,Yes,Rejected,24,International,Premium,0
07000187,47,61967,177,4,67,Yes,Yes,45,4,ATM,Grocery,RuPay,OTP,No,Agreed,39,India,Premium,0
07000188,40,89819,58,0,39,No,No,42,4,ATM,Dining,RuPay,None,Yes,Rejected,25,International,Premium,1
07000189,65,40742,34,0,50,Yes,Yes,78,3,Transfer,Fuel,Visa,None,No,Agreed,66,India,Standard,0
07000190,36,90046,3,1,27,Yes,No,7,1,Card purchase,Travel,RuPay,None,Yes,Agreed,64,International,Premium,1
07000191,59,19264,23,2,61,No,Yes,28,0,Transfer,Dining,Visa,Biometric,Yes,Pending,25,International,Premium,0
07000192,40,24739,137,2,23,No,No,64,5,Card purchase,Travel,Visa,Biometric,Yes,Agreed,64,India,Standard,1
07000193,54,8520,50,0,36,Yes,Yes,9,4,Transfer,Grocery,Mastercard,Biometric,Yes,Pending,34,International,Standard,1
07000194,22,69965,116,1,39,Yes,Yes,84,0,Transfer,Travel,Mastercard,PIN,Yes,Rejected,22,India,Premium,1
07000195,39,51370,98,0,21,No,No,68,2,Card purchase,Grocery,RuPay,PIN,Yes,Pending,16,International,Premium,0
07000196,61,147076,64,0,31,No,Yes,22,0,Transfer,Grocery,Mastercard,None,No,Pending,27,India,Premium,1
07000197,32,157663,177,4,68,No,No,45,4,Transfer,Fuel,Mastercard,None,Yes,Agreed,54,International,Standard,1
07000198,31,6547,82,3,24,No,No,73,4,Card purchase,Grocery,RuPay,None,Yes,Pending,37,International,Standard,1
07000199,61,95348,120,2,48,No,No,11,2,Transfer,Dining,RuPay,None,Yes,Rejected,64,International,Premium,0
07000200,30,59574,85,5,50,No,Yes,16,4,Card purchase,Grocery,Visa,Biometric,No,Agreed,21,International,Premium,0
07000201,47,170141,153,5,65,No,Yes,85,1,Transfer,Grocery,Visa,OTP,Yes,Pending,46,International,Standard,1
07000202,60,98065,76,3,59,No,Yes,24,5,Card purchase,Grocery,RuPay,None,Yes,Pending,77,International,Standard,1
07000203,48,110774,155,0,41,Yes,Yes,31,2,Card purchase,Dining,Visa,OTP,No,Agreed,5,International,Standard,1
07000204,32,14135,105,1,51,No,No,90,2,ATM,Grocery,Visa,PIN,Yes,Rejected,84,India,Standard,1
07000205,35,47078,49,1,37,No,No,58,3,ATM,Grocery,Mastercard,None,Yes,Rejected,1,International,Standard,1
07000206,30,100324,69,4,37,No,No,93,1,Card purchase,Electronics,RuPay,Biometric,Yes,Agreed,67,India,Premium,1
07000207,34,12306,139,0,29,No,Yes,12,1,Transfer,Electronics,RuPay,Biometric,No,Pending,81,International,Standard,0
07000208,38,113810,15,4,30,No,No,87,3,Transfer,Fuel,Mastercard,PIN,Yes,Pending,33,India,Standard,1
07000209,41,118650,165,3,55,No,No,18,1,ATM,Travel,RuPay,PIN,Yes,Rejected,3,International,Premium,1
07000210,28,57665,146,2,45,Yes,No,9,5,ATM,Travel,RuPay,PIN,Yes,Rejected,72,International,Premium,1
07000211,22,142393,163,0,28,No,No,22,2,Transfer,Electronics,Mastercard,Biometric,Yes,Rejected,59,India,Premium,0
07000212,25,111735,17,1,63,Yes,No,33,5,Transfer,Fuel,Mastercard,None,No,Agreed,24,International,Premium,0
07000213,46,106028,133,3,22,No,Yes,5,3,ATM,Travel,Visa,None,Yes,Rejected,76,International,Premium,1
07000214,40,162202,166,2,31,Yes,Yes,44,2,Transfer,Travel,Mastercard,None,Yes,Agreed,53,International,Premium,0
07000215,69,114002,32,5,66,No,Yes,77,1,Card purchase,Travel,RuPay,OTP,Yes,Rejected,31,India,Standard,1
07000216,48,160759,6,1,49,Yes,No,85,1,Transfer,Travel,RuPay,None,No,Agreed,84,International,Standard,0
07000217,39,58264,119,1,50,Yes,Yes,82,5,Card purchase,Electronics,RuPay,OTP,Yes,Agreed,18,International,Standard,1
07000218,52,113601,4,1,54,Yes,Yes,29,2,ATM,Fuel,RuPay,PIN,Yes,Pending,55,International,Standard,1
07000219,65,105852,92,5,51,Yes,Yes,74,2,ATM,Grocery,Visa,PIN,No,Pending,50,India,Premium,0
07000220,33,98081,30,4,64,No,No,57,5,Card purchase,Fuel,Visa,PIN,No,Pending,15,International,Standard,1
07000221,32,37907,4,3,60,Yes,No,77,0,Card purchase,Fuel,Visa,PIN,No,Agreed,44,India,Premium,1
07000222,32,170205,125,4,43,Yes,Yes,21,2,Card purchase,Travel,RuPay,None,No,Rejected,31,India,Premium,0
07000223,28,178252,103,5,21,No,Yes,64,2,ATM,Electronics,Visa,Biometric,No,Agreed,73,International,Premium,0
07000224,68,149998,17,2,66,Yes,Yes,21,4,ATM,Fuel,Visa,None,No,Pending,56,India,Premium,0
