application_id,applicant_age,annual_income_inr,loan_amount_inr,loan_term_months,credit_score,existing_emis_inr,employment_years,missed_payments_12m,credit_utilization_pct,savings_balance_inr,property_owner,employment_type,loan_purpose,residence_type,education_level,dependents,previous_loans,channel,default_next_12m
01000015,69,2383965,216560,56,846,62754,7,1,45,345433,No,Salaried,Vehicle,Family,Graduate,3,0,Online,0
01000016,64,337546,1010173,28,585,38136,16,4,20,226358,Yes,Self-employed,Personal,Owned,Postgraduate,5,1,Agent,0
01000017,61,2861422,1328958,21,693,7288,22,6,33,927413,Yes,Contract,Personal,Owned,Postgraduate,1,5,Agent,1
01000018,29,2206659,519276,71,772,8315,25,7,14,20988,No,Self-employed,Vehicle,Rented,Postgraduate,5,9,Online,1
01000019,47,2070208,2420546,6,845,3809,2,4,73,980728,Yes,Self-employed,Personal,Family,School,1,6,Branch,0
01000020,26,2802892,3336293,84,711,54726,21,1,71,202377,No,Contract,Personal,Rented,Postgraduate,2,0,Agent,1
01000021,58,2709422,2671064,30,804,55789,3,7,68,1025500,No,Self-employed,Home improvement,Rented,Graduate,4,6,Online,1
01000022,64,2929918,3429258,14,692,74383,1,1,41,283304,No,Salaried,Vehicle,Family,School,5,1,Agent,0
01000023,37,1403800,3139312,41,528,68529,7,2,25,548407,Yes,Salaried,Education,Rented,Postgraduate,0,1,Online,1
01000024,36,2768455,2908244,25,627,64977,21,7,84,962498,Yes,Self-employed,Personal,Family,School,4,9,Agent,1
01000025,34,2201091,1901630,74,685,2565,3,0,14,1043556,Yes,Salaried,Vehicle,Rented,School,4,7,Agent,1
01000026,51,1848379,3335746,18,623,59249,7,6,35,1058797,No,Salaried,Personal,Family,Postgraduate,2,5,Branch,0
01000027,62,1863251,772287,78,484,28658,17,2,49,211291,Yes,Self-employed,Education,Rented,Graduate,5,0,Agent,1
01000028,41,2426955,783249,80,844,26986,24,0,46,1181578,Yes,Contract,Vehicle,Owned,Graduate,5,1,Agent,1
01000029,32,2555417,1817063,67,660,51833,9,4,71,245256,No,Salaried,Vehicle,Owned,Graduate,3,2,Branch,1
01000030,58,2216601,1068566,81,740,9940,5,2,21,1054128,No,Self-employed,Home improvement,Family,Graduate,0,4,Branch,0
01000031,54,2447379,3237664,36,605,15962,8,4,55,383799,Yes,Contract,Home improvement,Rented,Postgraduate,5,3,Online,0
01000032,25,267532,1202385,64,528,61932,17,4,91,87074,Yes,Contract,Vehicle,Rented,Graduate,0,0,Branch,0
01000033,60,864197,2970072,49,517,66752,18,4,44,552440,No,Salaried,Home improvement,Owned,Postgraduate,5,3,Agent,0
01000034,49,2114185,2707252,40,497,47822,25,1,78,103864,Yes,Self-employed,Personal,Family,Postgraduate,5,10,Online,0
01000035,66,506893,959222,37,838,50649,24,1,18,349196,Yes,Salaried,Vehicle,Family,Postgraduate,2,5,Agent,1
01000036,45,2501786,2162547,45,567,35359,22,6,80,34009,No,Salaried,Education,Rented,School,3,3,Branch,1
01000037,62,2836565,2838165,23,756,31290,7,2,78,136457,No,Contract,Personal,Rented,Postgraduate,1,0,Online,0
01000038,34,409802,1924056,82,698,64646,14,6,94,771754,Yes,Self-employed,Vehicle,Family,Graduate,1,6,Branch,1
01000039,27,1908882,2985645,69,831,69017,22,6,22,1097101,No,Salaried,Education,Family,School,0,4,Online,1
01000040,46,1481202,1574016,58,721,64067,3,4,50,346618,No,Contract,Education,Rented,Graduate,0,5,Online,1
01000041,60,1048606,360769,57,657,70534,1,1,76,981237,Yes,Contract,Education,Owned,School,1,0,Agent,0
01000042,65,767644,1629103,12,657,66385,18,1,22,398340,No,Salaried,Personal,Owned,Postgraduate,4,3,Branch,0
01000043,55,1233403,725213,38,634,70802,10,3,85,677455,Yes,Salaried,Home improvement,Owned,School,0,3,Branch,0
01000044,55,2485836,1708610,39,766,8442,7,7,70,1127826,No,Self-employed,Personal,Rented,Graduate,0,0,Agent,1
01000045,41,2761882,957347,26,711,9974,16,5,65,402120,No,Salaried,Education,Owned,School,3,10,Agent,1
01000046,50,2693363,1612989,52,755,46960,16,2,16,1138553,Yes,Contract,Home improvement,Rented,School,5,1,Online,0
01000047,30,2476482,483344,47,493,27894,19,0,88,510557,Yes,Contract,Personal,Rented,School,1,9,Online,0
01000048,63,1079368,1369759,80,551,22450,24,2,51,816221,Yes,Self-employed,Personal,Owned,School,2,2,Agent,1
01000049,60,1084910,2288488,84,711,31557,3,1,83,1013567,No,Salaried,Vehicle,Owned,Postgraduate,4,1,Agent,0
01000050,59,2258518,2694915,61,545,14580,3,4,84,13664,Yes,Self-employed,Personal,Owned,School,2,4,Branch,1
01000051,61,1744159,2952301,46,486,58558,11,1,33,855223,No,Contract,Home improvement,Owned,Graduate,5,7,Online,1
01000052,21,2405658,2074742,29,491,33064,4,4,81,1192022,No,Self-employed,Education,Family,Graduate,1,5,Agent,1
01000053,63,938777,1435015,61,839,6981,21,4,22,709663,No,Salaried,Personal,Owned,Graduate,3,4,Agent,0
01000054,39,1303388,2449631,32,790,57091,24,0,58,513777,No,Salaried,Education,Owned,Graduate,0,5,Online,1
01000055,55,2941677,3009876,45,524,42516,7,0,49,1184974,No,Salaried,Personal,Owned,Postgraduate,5,6,Branch,0
01000056,57,2945238,232518,50,577,27601,10,7,43,801776,Yes,Self-employed,Education,Rented,Postgraduate,1,5,Online,1
01000057,56,273142,3211365,68,811,17217,7,1,29,426607,No,Contract,Personal,Owned,Postgraduate,2,9,Branch,0
01000058,67,2165023,3305654,63,812,5769,2,6,37,383300,Yes,Self-employed,Vehicle,Family,School,0,5,Online,0
01000059,47,2136281,2939197,52,535,49534,24,6,83,1079866,No,Contract,Home improvement,Owned,Postgraduate,0,5,Agent,1
01000060,47,707131,2923878,63,800,4026,12,6,51,411813,Yes,Salaried,Personal,Family,Graduate,5,5,Online,1
01000061,60,2025793,467455,48,680,10174,24,5,88,438526,Yes,Self-employed,Personal,Rented,Graduate,0,5,Online,1
01000062,33,2961279,2756397,69,521,42604,4,1,36,587718,No,Contract,Personal,Rented,Graduate,4,4,Online,0
01000063,57,2316645,3063334,44,544,22765,16,4,78,235747,No,Self-employed,Home improvement,Owned,Graduate,5,8,Agent,1
01000064,37,2222704,369106,67,690,60591,1,7,31,1101130,No,Salaried,Education,Owned,Graduate,2,0,Branch,1
01000065,57,1088030,286040,63,498,39359,4,7,81,1081746,Yes,Salaried,Personal,Owned,School,3,10,Branch,0
01000066,30,1954779,914524,21,761,16726,21,0,14,388911,Yes,Self-employed,Home improvement,Rented,School,3,2,Branch,0
01000067,55,772749,2874151,41,626,18969,16,0,19,669043,No,Self-employed,Home improvement,Rented,Postgraduate,4,8,Online,0
01000068,38,1692455,829910,50,485,69010,15,0,33,1132809,No,Contract,Vehicle,Family,Graduate,0,1,Branch,1
01000069,62,722118,1443134,26,531,33682,1,5,56,1139139,Yes,Self-employed,Home improvement,Family,School,3,4,Agent,0
01000070,23,2480658,1772268,26,728,165,13,7,83,690826,Yes,Self-employed,Personal,Family,Postgraduate,2,5,Branch,1
01000071,63,2560929,3310828,6,842,37708,24,5,72,1100510,No,Self-employed,Home improvement,Family,Graduate,5,5,Branch,1
01000072,38,959540,3455621,42,557,30146,19,3,14,791057,Yes,Contract,Vehicle,Family,School,0,9,Online,1
01000073,48,696439,574228,71,615,57205,14,3,7,72133,No,Salaried,Home improvement,Family,Graduate,0,3,Online,1
01000074,40,600150,1340437,9,588,74653,7,5,45,491577,Yes,Salaried,Education,Rented,Postgraduate,1,2,Online,0
01000075,21,671532,3164473,65,815,53838,20,3,73,725006,No,Self-employed,Education,Owned,Postgraduate,0,1,Online,1
01000076,22,1190601,1903664,19,745,40600,11,2,76,1036098,No,Contract,Education,Family,Postgraduate,1,9,Branch,0
01000077,30,2997787,492314,69,626,47976,4,3,63,1181737,Yes,Contract,Personal,Owned,Postgraduate,2,1,Online,0
01000078,50,1622787,2386294,6,593,58255,9,2,50,286801,No,Contract,Education,Owned,School,5,2,Online,0
01000079,49,1148044,274769,21,628,67467,13,5,11,1028744,Yes,Contract,Vehicle,Family,School,5,5,Branch,1
01000080,50,311060,2920324,71,747,74720,23,5,4,1148670,No,Contract,Vehicle,Rented,Graduate,2,10,Branch,0
01000081,45,283800,287155,45,556,44349,2,2,53,832640,No,Salaried,Education,Owned,Graduate,4,3,Agent,0
01000082,26,572016,1324432,1,680,67512,5,1,31,398707,No,Salaried,Education,Rented,Postgraduate,0,1,Branch,1
01000083,54,2972809,1001513,70,620,10481,18,4,47,135125,No,Self-employed,Vehicle,Family,Postgraduate,4,10,Branch,1
01000084,60,2388945,2664426,69,823,54697,17,3,40,244118,No,Salaried,Personal,Family,School,3,10,Online,0
01000085,68,2435587,944186,2,818,6362,23,0,47,797462,Yes,Self-employed,Personal,Owned,School,5,7,Branch,0
01000086,52,1564172,113128,68,488,65292,16,7,63,179706,Yes,Self-employed,Education,Rented,Postgraduate,1,10,Agent,1
01000087,49,952046,3211405,71,633,54404,15,5,80,873626,No,Salaried,Personal,Rented,Postgraduate,4,10,Agent,0
01000088,51,2682172,1528826,23,722,31855,20,2,7,642492,No,Salaried,Home improvement,Rented,Postgraduate,4,8,Branch,0
01000089,37,1245382,1707857,14,660,45590,2,7,38,858344,No,Contract,Personal,Owned,Postgraduate,5,7,Online,0
01000090,49,585969,1366183,42,738,67289,22,2,8,1113656,Yes,Self-employed,Personal,Owned,Postgraduate,4,10,Online,0
01000091,45,2569382,2705232,52,778,42619,11,0,62,1034501,Yes,Contract,Vehicle,Rented,School,5,8,Branch,1
01000092,45,1918614,887675,22,695,50634,3,2,38,485290,No,Salaried,Personal,Family,Postgraduate,3,10,Branch,0
01000093,49,1561486,2847830,19,640,3369,25,2,52,305968,No,Salaried,Education,Rented,School,0,7,Online,0
01000094,41,2139705,1730102,62,629,53864,8,5,17,1001428,Yes,Self-employed,Personal,Family,Graduate,5,7,Agent,1
01000095,69,1977198,604776,54,639,54971,12,2,62,874449,No,Contract,Vehicle,Rented,Postgraduate,5,2,Online,1
01000096,23,1931891,953219,68,825,33662,12,5,62,571192,Yes,Self-employed,Home improvement,Family,Postgraduate,3,8,Agent,1
01000097,34,897495,1856100,29,792,59111,6,4,11,332564,No,Contract,Home improvement,Family,School,3,9,Online,0
01000098,38,2027470,1097800,80,542,13126,16,2,24,1137021,No,Self-employed,Home improvement,Rented,Graduate,2,0,Branch,1
01000099,43,1635383,2138089,11,785,64955,17,3,29,445527,Yes,Self-employed,Home improvement,Family,Postgraduate,2,2,Agent,0
01000100,36,1220892,1667442,5,677,5103,16,7,70,904273,No,Salaried,Education,Family,School,4,3,Online,0
01000101,37,2274477,2677569,71,686,28424,3,5,48,696327,Yes,Contract,Education,Family,Postgraduate,4,2,Branch,1
01000102,51,2104736,2615722,16,660,14475,9,5,65,29477,No,Salaried,Vehicle,Family,School,1,7,Branch,1
01000103,54,1039409,1823296,18,559,66944,1,1,68,684002,No,Salaried,Home improvement,Owned,Graduate,0,10,Online,0
01000104,29,1781303,1819886,7,516,53672,18,1,77,728263,Yes,Salaried,Home improvement,Rented,School,2,6,Online,1
01000105,23,697617,439627,48,766,60951,2,7,27,738810,No,Self-employed,Home improvement,Rented,Postgraduate,2,9,Online,1
01000106,34,1132572,1262248,34,721,38369,23,2,46,610138,Yes,Self-employed,Personal,Owned,School,0,3,Online,1
01000107,29,1841139,3284537,47,818,25606,0,7,59,494989,No,Contract,Vehicle,Rented,School,0,7,Branch,0
01000108,41,2328460,2406041,18,666,57441,22,6,57,666522,No,Self-employed,Education,Owned,School,4,9,Agent,1
01000109,53,1827299,1269751,12,636,9130,11,6,81,1188226,No,Salaried,Personal,Owned,School,2,8,Branch,1
01000110,58,1805538,2741296,7,787,13088,20,5,8,617156,No,Self-employed,Home improvement,Owned,Graduate,4,7,Branch,1
01000111,31,341633,588633,78,499,50277,24,0,9,20913,No,Contract,Personal,Rented,Graduate,2,5,Agent,1
01000112,33,1622826,804766,83,558,74423,8,7,9,1117376,No,Salaried,Education,Rented,Postgraduate,5,7,Agent,1
01000113,68,985717,3260299,74,754,53807,18,6,48,198613,Yes,Salaried,Home improvement,Owned,Postgraduate,1,2,Branch,1
01000114,26,1386719,1197570,60,673,5864,25,2,60,137625,No,Self-employed,Education,Rented,Graduate,2,6,Branch,1
01000115,24,317103,615475,4,609,32565,20,3,58,992118,Yes,Contract,Home improvement,Owned,School,2,1,Online,1
01000116,32,2737248,120726,37,782,57794,25,0,23,540045,No,Self-employed,Home improvement,Family,Postgraduate,3,4,Agent,0
01000117,26,1937527,3004211,77,611,53951,9,4,12,854945,No,Contract,Personal,Owned,School,2,9,Agent,0
01000118,21,1699005,2869514,21,542,15636,21,6,67,532213,No,Contract,Home improvement,Rented,School,1,3,Branch,1
01000119,47,1801032,2984320,84,828,11970,1,1,29,486059,No,Contract,Personal,Owned,Graduate,3,3,Agent,1
01000120,29,1586140,2572206,73,591,21489,4,1,69,991943,No,Salaried,Vehicle,Rented,Postgraduate,2,9,Online,0
01000121,62,1853490,1246715,19,802,54313,2,2,41,869750,Yes,Contract,Education,Owned,Postgraduate,5,1,Online,0
01000122,36,794826,1742092,26,569,67683,22,4,75,565628,No,Contract,Home improvement,Rented,Graduate,3,1,Online,0
01000123,35,955294,1075710,41,776,41727,22,7,65,133048,Yes,Contract,Education,Family,Graduate,3,1,Online,1
01000124,60,2520016,2063906,5,841,70710,19,5,58,605518,No,Self-employed,Vehicle,Rented,Graduate,2,9,Agent,0
01000125,46,494662,2977627,27,481,51131,1,2,91,303582,No,Salaried,Education,Family,School,0,5,Branch,1
01000126,46,1853199,786782,62,650,9106,9,7,64,881610,Yes,Self-employed,Personal,Owned,Graduate,3,1,Branch,1
01000127,27,998872,1834519,13,790,23499,15,5,39,766038,No,Self-employed,Home improvement,Rented,Graduate,5,5,Online,1
01000128,36,1229472,555777,64,676,72024,14,1,4,455947,No,Salaried,Education,Family,Graduate,5,4,Branch,0
01000129,39,2972473,1502286,5,644,11044,19,6,38,944403,Yes,Salaried,Vehicle,Family,Postgraduate,4,0,Branch,1
01000130,56,730937,2295205,48,526,70637,16,2,74,285724,Yes,Contract,Education,Family,Graduate,0,1,Branch,0
01000131,57,1653016,765222,31,629,50611,14,2,40,160726,No,Contract,Vehicle,Owned,Postgraduate,2,6,Branch,1
01000132,32,748066,279765,40,490,4940,25,5,4,734387,Yes,Salaried,Education,Rented,Postgraduate,0,4,Branch,1
01000133,50,308537,1197012,32,757,49137,12,6,66,91120,No,Self-employed,Personal,Owned,Graduate,2,10,Branch,1
01000134,25,1502396,3027514,18,730,29028,23,3,45,447328,Yes,Contract,Personal,Rented,Graduate,2,8,Online,0
01000135,37,1306159,2622711,31,621,4732,7,7,88,655509,Yes,Contract,Vehicle,Owned,Graduate,3,6,Online,1
01000136,22,2332807,2544179,56,807,30984,21,0,10,454927,No,Self-employed,Vehicle,Rented,School,3,7,Branch,1
01000137,27,664813,1479847,14,694,23946,16,1,23,402227,Yes,Self-employed,Vehicle,Family,Graduate,4,10,Branch,1
01000138,21,571966,1800976,84,496,29778,11,5,29,668189,No,Self-employed,Education,Family,Postgraduate,5,7,Branch,0
01000139,25,1566583,3112097,17,654,27804,9,2,15,962979,Yes,Contract,Personal,Rented,School,4,4,Branch,0
01000140,42,1213692,2856111,63,749,23104,17,4,59,1060160,No,Contract,Vehicle,Rented,School,3,10,Branch,1
01000141,25,345212,1066946,17,836,22580,10,0,48,1161936,No,Self-employed,Home improvement,Family,School,3,9,Online,0
01000142,63,444126,2833233,19,661,42761,23,2,41,17875,No,Self-employed,Personal,Family,Graduate,1,6,Online,1
01000143,23,2197502,2134637,53,574,11490,21,1,9,115495,Yes,Self-employed,Home improvement,Owned,Postgraduate,3,9,Branch,1
01000144,22,2635537,1574519,44,840,53515,11,6,53,780931,Yes,Contract,Education,Owned,Graduate,2,6,Branch,0
01000145,36,658666,3253834,55,673,24969,0,1,82,1014542,Yes,Contract,Vehicle,Rented,School,3,2,Branch,1
01000146,23,1634219,2355287,56,701,13510,11,1,11,919419,No,Contract,Home improvement,Owned,School,5,6,Online,0
01000147,30,910124,2857843,41,485,70284,17,1,42,269008,No,Salaried,Vehicle,Rented,Graduate,5,9,Online,0
01000148,54,252474,1578449,83,632,25810,1,7,65,757152,No,Self-employed,Education,Rented,School,4,1,Online,0
01000149,60,586847,1237823,50,742,72839,0,2,30,1118749,Yes,Salaried,Home improvement,Rented,Postgraduate,0,4,Branch,0
01000150,60,2240627,393407,70,840,50123,19,1,10,1099850,Yes,Contract,Vehicle,Owned,School,5,10,Branch,0
01000151,31,2172496,1939185,22,500,54583,11,2,11,551409,Yes,Self-employed,Education,Family,School,2,8,Agent,1
01000152,34,581454,1306102,55,842,27314,22,4,62,936460,Yes,Self-employed,Vehicle,Rented,Postgraduate,3,3,Branch,1
01000153,51,1801101,210971,47,629,50683,4,6,14,837327,Yes,Contract,Vehicle,Family,Postgraduate,0,5,Online,0
01000154,35,1827925,3328790,34,623,18789,7,5,12,996810,Yes,Salaried,Vehicle,Owned,Graduate,2,5,Agent,0
01000155,29,2661233,3415493,30,742,32074,24,0,77,778496,Yes,Contract,Home improvement,Rented,Postgraduate,2,0,Agent,0
01000156,40,1656514,641000,7,629,7398,13,4,49,541439,No,Salaried,Vehicle,Owned,Postgraduate,4,5,Agent,0
01000157,52,1401861,2220447,8,527,59199,21,4,8,773704,No,Salaried,Personal,Rented,School,3,0,Branch,1
01000158,29,2264259,1875342,14,596,69764,25,2,58,481400,No,Salaried,Education,Owned,Postgraduate,4,6,Agent,1
01000159,46,1785870,1928011,53,780,21972,2,6,68,984106,Yes,Salaried,Home improvement,Owned,Graduate,5,9,Branch,0
01000160,42,894941,2262382,38,789,28982,22,7,39,859664,No,Self-employed,Vehicle,Rented,Graduate,5,7,Branch,1
01000161,53,283149,819259,21,671,57161,24,1,29,274162,No,Contract,Home improvement,Family,Postgraduate,5,9,Online,0
01000162,30,1102458,1608318,82,658,38168,25,3,59,955379,No,Salaried,Vehicle,Rented,Postgraduate,1,9,Branch,1
01000163,32,2546398,3420181,21,490,21374,17,6,18,754482,Yes,Self-employed,Home improvement,Family,School,3,5,Branch,1
01000164,31,1784626,3269589,22,785,5945,12,0,38,1016596,Yes,Contract,Vehicle,Rented,Postgraduate,1,4,Branch,0
01000165,42,1600204,2724412,54,486,4864,24,0,59,211857,Yes,Salaried,Education,Owned,School,0,5,Online,1
01000166,41,1414331,2839868,41,523,44377,22,3,6,1082708,Yes,Self-employed,Education,Family,Postgraduate,0,8,Online,0
01000167,32,2677390,1403943,6,606,6373,0,5,95,95249,Yes,Salaried,Education,Owned,Graduate,3,4,Agent,0
01000168,61,2955234,579239,24,824,48498,22,7,61,438544,No,Contract,Education,Owned,School,0,0,Branch,0
01000169,61,2182441,2493558,69,812,70275,1,0,8,234985,No,Self-employed,Education,Owned,School,4,8,Online,0
01000170,62,688400,2556797,17,774,49337,23,1,42,889971,Yes,Salaried,Home improvement,Rented,Postgraduate,2,0,Online,0
01000171,46,716924,737141,12,656,40881,17,5,51,487479,Yes,Salaried,Home improvement,Family,Graduate,4,5,Branch,1
01000172,59,284502,3119645,28,669,42178,17,6,50,888229,Yes,Contract,Education,Family,School,5,1,Online,1
01000173,39,1706197,747308,14,608,35970,22,3,87,148312,Yes,Contract,Home improvement,Rented,Postgraduate,4,0,Branch,1
01000174,39,380783,2692237,6,571,55963,4,2,55,805018,Yes,Salaried,Vehicle,Family,Postgraduate,0,3,Branch,0
01000175,28,2723809,553477,67,790,24496,25,3,35,171236,Yes,Self-employed,Home improvement,Rented,School,1,4,Online,1
01000176,21,1365342,1190697,30,728,17307,18,0,13,712931,Yes,Self-employed,Vehicle,Family,Graduate,5,0,Agent,1
01000177,44,2871940,1814186,47,630,3819,23,2,45,208595,No,Self-employed,Education,Owned,Graduate,2,3,Branch,0
01000178,54,2074451,3388376,43,493,42416,9,6,94,1142661,Yes,Salaried,Vehicle,Owned,School,2,8,Branch,0
01000179,68,679613,2138027,17,626,32007,12,5,42,913050,Yes,Salaried,Education,Family,School,2,0,Agent,0
01000180,62,379832,1977746,18,527,41058,25,4,25,1062861,Yes,Contract,Personal,Owned,Postgraduate,1,2,Online,0
01000181,28,2242881,1297170,45,849,27473,25,5,55,1154964,Yes,Contract,Home improvement,Family,Postgraduate,5,9,Branch,1
01000182,64,673675,2454865,22,564,44236,8,5,70,315389,Yes,Contract,Home improvement,Family,Postgraduate,4,3,Branch,1
01000183,45,1084330,2245228,79,769,36066,25,3,26,351488,Yes,Contract,Home improvement,Rented,School,4,4,Branch,0
01000184,63,2961061,1875936,70,623,11337,4,2,30,742448,Yes,Contract,Education,Family,Graduate,0,8,Agent,1
01000185,27,1262223,1015224,20,676,43707,5,7,45,914084,No,Contract,Vehicle,Owned,School,5,8,Online,1
01000186,45,2990219,893185,2,689,42486,24,5,38,179858,Yes,Contract,Home improvement,Family,Postgraduate,4,5,Online,0
01000187,30,251954,551660,14,649,57898,24,5,8,259797,Yes,Self-employed,Personal,Family,Postgraduate,5,6,Online,1
01000188,42,1142864,3397858,63,715,50468,16,3,91,919778,No,Self-employed,Personal,Rented,Graduate,2,9,Agent,0
01000189,48,2648847,988322,84,810,9752,9,3,6,705892,Yes,Self-employed,Education,Family,Postgraduate,1,4,Agent,1
01000190,57,1268110,1112277,29,589,53872,22,6,8,511092,Yes,Self-employed,Vehicle,Owned,Graduate,5,2,Agent,1
01000191,23,1621220,2121591,21,521,970,14,4,43,128579,Yes,Contract,Home improvement,Owned,Postgraduate,0,8,Agent,0
01000192,41,1385592,3236769,35,749,64536,22,2,10,761086,No,Contract,Vehicle,Rented,School,3,4,Online,1
01000193,35,2047916,1446797,9,774,52918,16,1,48,568833,Yes,Self-employed,Personal,Owned,School,3,8,Online,0
01000194,22,1320841,673371,49,536,62766,20,6,94,674625,Yes,Self-employed,Personal,Family,School,1,5,Agent,1
01000195,67,2664853,2708608,4,531,5498,2,3,15,655062,No,Contract,Home improvement,Family,Postgraduate,1,4,Online,0
01000196,40,806285,706801,35,667,13293,18,7,20,785895,Yes,Contract,Personal,Family,School,3,0,Branch,1
01000197,46,1419331,708188,77,647,17615,11,4,72,127021,Yes,Contract,Personal,Owned,School,3,4,Agent,1
01000198,34,1897280,1583551,9,559,956,7,3,13,316412,No,Salaried,Personal,Rented,Graduate,4,7,Agent,1
01000199,41,1947419,671600,12,567,31550,11,0,49,784040,Yes,Salaried,Personal,Family,Graduate,5,2,Agent,0
01000200,28,1314635,2069261,83,727,66982,16,7,78,509855,Yes,Self-employed,Home improvement,Owned,School,0,2,Branch,0
01000201,22,261246,2880977,13,622,73454,9,7,86,61114,No,Self-employed,Vehicle,Owned,School,3,5,Online,1
01000202,37,874952,2268445,78,674,5298,16,0,89,297184,Yes,Salaried,Home improvement,Rented,Postgraduate,2,8,Branch,1
01000203,64,2943487,2864472,62,611,4711,9,6,34,33813,No,Contract,Vehicle,Family,School,0,9,Agent,0
01000204,43,878628,1598576,76,531,44195,8,0,8,486703,No,Salaried,Education,Owned,School,3,1,Agent,0
01000205,27,640602,3030424,66,788,21228,25,7,38,785325,Yes,Contract,Home improvement,Family,School,1,6,Branch,1
01000206,31,1647216,2189714,74,514,62760,11,5,17,185973,No,Salaried,Personal,Family,Postgraduate,4,3,Branch,1
01000207,54,287929,1076134,23,710,12622,13,0,57,546752,No,Contract,Personal,Rented,Graduate,3,2,Online,1
01000208,25,1382403,2177446,40,612,17921,6,1,19,712708,No,Contract,Vehicle,Family,School,2,9,Online,0
01000209,56,511927,794067,18,765,33305,10,2,86,749880,No,Self-employed,Education,Owned,Postgraduate,4,0,Online,1
01000210,58,2986946,2810560,14,514,28579,12,1,24,407541,Yes,Contract,Personal,Owned,Postgraduate,2,3,Agent,0
01000211,48,2200275,983555,34,766,48002,20,0,65,170936,Yes,Self-employed,Vehicle,Rented,Postgraduate,0,7,Branch,1
01000212,54,2330210,2781694,25,826,14391,18,3,58,434333,Yes,Self-employed,Personal,Family,School,2,9,Online,0
01000213,51,2884303,1560083,74,780,18336,15,4,90,321292,No,Self-employed,Vehicle,Family,Postgraduate,4,8,Agent,1
01000214,45,1075714,3377771,11,796,53888,5,3,80,506868,No,Salaried,Vehicle,Rented,Graduate,1,4,Online,1
01000215,33,2843623,1792904,20,736,47387,13,4,20,104053,Yes,Salaried,Home improvement,Family,School,3,0,Agent,0
01000216,51,1425897,1450364,78,635,28817,2,1,19,1060070,No,Self-employed,Education,Family,School,2,5,Agent,0
01000217,63,2687561,408550,47,584,13812,9,1,40,835110,Yes,Contract,Education,Rented,Postgraduate,4,5,Branch,0
01000218,41,1654735,532997,29,570,73125,19,2,49,807841,Yes,Salaried,Vehicle,Family,Postgraduate,4,6,Online,0
01000219,44,2163813,405134,84,782,23763,20,1,20,616867,Yes,Self-employed,Personal,Owned,School,3,1,Branch,1
01000220,40,2931689,2675697,3,606,20423,1,7,53,841409,No,Self-employed,Personal,Family,Postgraduate,4,2,Online,0
01000221,35,825408,934686,13,734,39665,1,5,50,922599,No,Contract,Education,Rented,Graduate,2,8,Agent,0
01000222,50,1076554,424635,23,608,48278,1,4,46,532072,Yes,Contract,Education,Rented,Postgraduate,5,2,Branch,1
01000223,67,1811879,2901697,44,584,25757,2,5,84,633597,No,Self-employed,Home improvement,Rented,School,2,7,Online,0
01000224,21,1736039,988067,45,623,15056,23,4,33,905361,No,Contract,Home improvement,Owned,Graduate,1,0,Branch,1
01000225,66,756135,2956582,49,516,7033,19,3,16,907419,No,Contract,Education,Owned,School,4,10,Branch,0
01000226,26,1833308,2807162,26,734,45665,11,2,27,473898,No,Salaried,Home improvement,Owned,Graduate,5,10,Branch,1
01000227,51,2898205,441084,36,586,45639,3,5,49,1199237,Yes,Contract,Education,Family,Postgraduate,1,0,Online,0
