offer_id,customer_age,monthly_income_inr,bank_tenure_years,dependents,monthly_spend_inr,life_cover_existing_inr,savings_balance_inr,products_held,last_offer_response_score,home_owner,marital_status,occupation_group,contact_channel,policy_type,risk_appetite,branch_visits_6m,app_sessions_30d,recent_life_event,accepted_offer
06000053,32,554895,19,1,17613,3678048,645933,2,34,Yes,Married,Salaried,Email,Accident,Medium,2,2,Yes,1
06000054,43,2041147,12,2,121546,3402218,666506,1,88,Yes,Single,Salaried,Email,Accident,High,10,35,Yes,0
06000055,42,2767537,2,2,59155,1733557,188699,6,62,Yes,Married,Business,Phone,Life,High,0,17,No,1
06000056,46,893221,6,0,48565,40657,632676,3,69,No,Married,Business,Phone,Health,Low,5,26,No,1
06000057,58,1615635,14,5,29946,668290,450148,5,92,No,Single,Professional,Phone,Health,High,6,9,Yes,1
06000058,51,344129,24,1,155343,1804685,1016656,4,56,Yes,Married,Professional,Phone,Life,Low,10,54,Yes,1
06000059,64,2812072,17,3,61687,4331181,797384,1,21,Yes,Single,Salaried,Email,Life,Low,2,7,No,0
06000060,44,2381071,11,3,11426,850031,1131721,3,62,Yes,Other,Professional,Email,Health,Low,4,4,Yes,0
06000061,47,380534,24,4,50576,1575995,920012,5,81,Yes,Other,Business,Phone,Life,High,10,35,No,1
06000062,69,2965512,21,3,40817,1776253,964490,2,36,Yes,Single,Professional,Email,Life,Medium,6,2,No,1
06000063,54,2191858,9,0,132265,1152516,613476,1,32,No,Married,Salaried,Phone,Health,High,7,8,No,0
06000064,44,2407665,14,3,7585,3368233,512707,5,88,Yes,Single,Business,Email,Health,High,9,36,Yes,1
06000065,32,786456,16,4,124511,4094390,551208,4,95,Yes,Married,Professional,App,Health,Low,9,0,No,1
06000066,67,538098,23,5,178876,1473740,308420,6,74,No,Married,Professional,App,Accident,Medium,10,48,Yes,1
06000067,56,2509050,20,5,128426,2444703,12047,4,55,Yes,Single,Professional,Email,Life,Low,8,1,Yes,1
06000068,53,725338,4,2,57142,2839605,192358,5,77,Yes,Married,Professional,App,Life,Medium,6,17,Yes,1
06000069,29,2839858,23,2,99043,2832431,487157,3,77,Yes,Married,Business,Phone,Health,High,3,54,Yes,0
06000070,55,341629,2,3,56720,1833237,278626,2,86,Yes,Married,Professional,App,Accident,Medium,1,28,Yes,1
06000071,64,781442,2,0,56334,334588,149511,3,80,Yes,Other,Salaried,Phone,Accident,Medium,8,33,Yes,1
06000072,38,801645,14,0,150967,2153237,189494,4,39,No,Married,Business,Email,Health,Low,4,33,No,0
06000073,23,883867,24,1,115607,4416777,196250,5,51,No,Single,Salaried,Email,Life,Medium,8,35,Yes,0
06000074,32,1329634,21,0,148090,2008522,1055256,4,73,No,Married,Salaried,Email,Life,Medium,11,11,No,0
06000075,61,1236355,3,3,120582,4111629,948081,5,73,Yes,Single,Professional,Email,Life,Low,11,39,No,0
06000076,24,752777,14,2,55305,1918569,986335,1,77,No,Other,Professional,Phone,Life,Medium,12,31,No,0
06000077,64,2362922,24,5,96945,2358219,818406,2,26,Yes,Married,Business,Phone,Accident,Medium,6,50,Yes,0
06000078,49,1180820,12,3,123824,2816702,747723,6,51,Yes,Other,Professional,Phone,Accident,High,0,54,No,1
06000079,46,459003,14,3,79267,2336987,119967,1,44,Yes,Single,Salaried,Email,Accident,Medium,5,0,Yes,0
06000080,37,547112,8,2,7744,1688325,669414,3,32,Yes,Other,Business,App,Health,Medium,6,14,No,0
06000081,21,1926658,5,5,80387,3012161,584476,4,38,Yes,Other,Salaried,App,Life,Low,3,10,Yes,1
06000082,49,2314496,21,2,66556,3461332,1070019,1,40,Yes,Married,Professional,App,Accident,High,1,48,No,0
06000083,61,1564952,18,4,51539,1167336,219688,5,23,No,Married,Business,App,Accident,Low,10,46,Yes,1
06000084,21,2898443,10,3,102103,2780416,1044040,5,57,Yes,Married,Salaried,App,Life,Medium,2,25,No,0
06000085,39,1649490,16,4,83009,3722110,858766,1,22,No,Married,Salaried,Email,Life,Low,8,12,Yes,0
06000086,59,495391,14,3,113448,610380,609087,4,71,Yes,Single,Salaried,App,Accident,High,10,3,No,1
06000087,28,2944811,3,1,10917,1737220,992146,1,94,No,Single,Salaried,Email,Health,High,12,44,Yes,1
06000088,68,2076206,12,4,80916,666475,1071001,6,28,No,Married,Business,App,Life,High,5,51,No,0
06000089,44,2986513,9,2,89145,2868626,915934,2,84,Yes,Other,Professional,App,Health,Medium,4,43,Yes,1
06000090,56,2256490,19,0,5015,619490,958887,5,95,Yes,Other,Salaried,Phone,Health,Low,0,46,Yes,1
06000091,26,1335110,23,3,7576,2087680,638457,3,93,No,Married,Salaried,App,Accident,High,10,54,No,0
06000092,41,1683769,13,4,124984,714951,325956,3,77,Yes,Married,Professional,Phone,Health,High,3,34,Yes,1
06000093,41,608618,13,1,168803,2383512,797966,3,21,Yes,Other,Salaried,Phone,Accident,Low,8,13,No,0
06000094,43,948602,18,0,168690,522435,959441,4,27,Yes,Other,Professional,Email,Life,Medium,12,21,No,0
06000095,41,1786149,16,0,156772,526288,1105245,6,81,No,Single,Business,App,Accident,High,8,35,No,1
06000096,59,2883975,16,2,55518,1497410,1127754,5,46,Yes,Married,Professional,Email,Health,Medium,10,22,Yes,1
06000097,35,305142,3,4,74188,3266185,206747,5,59,Yes,Single,Professional,App,Life,Low,0,16,No,0
06000098,64,869022,25,4,48014,2199658,385771,1,30,Yes,Single,Professional,Phone,Accident,Low,9,7,No,0
06000099,54,1753277,19,3,65379,4417991,477689,6,71,No,Other,Business,Phone,Accident,High,0,55,Yes,1
06000100,49,1295641,11,3,24329,3850372,1102348,2,75,Yes,Other,Salaried,Email,Accident,High,8,34,No,1
06000101,42,1951010,11,2,34574,1605776,1095990,5,70,Yes,Married,Salaried,Email,Accident,Low,10,51,Yes,1
06000102,50,2776340,11,0,60033,1416327,431191,5,46,No,Other,Business,Phone,Health,Medium,6,25,No,0
06000103,23,1147798,14,0,155258,2579706,275569,3,24,Yes,Single,Professional,Phone,Life,High,9,33,Yes,1
06000104,51,692562,1,3,85695,1455242,430041,1,83,Yes,Single,Professional,Email,Health,High,4,37,No,0
06000105,23,2556188,4,1,147605,432884,523036,3,28,Yes,Married,Salaried,Phone,Health,Low,5,21,No,0
06000106,57,2541024,12,5,167651,1921509,152756,5,48,Yes,Single,Business,App,Accident,Medium,9,38,Yes,0
06000107,46,584587,0,3,175971,766858,490491,1,83,Yes,Single,Professional,Email,Accident,Medium,4,3,No,0
06000108,57,1761790,3,4,105010,935241,893731,3,50,Yes,Single,Professional,Email,Health,Medium,7,50,No,1
06000109,23,1556314,18,3,6468,1297394,731539,3,75,Yes,Other,Salaried,App,Health,High,11,46,No,1
06000110,51,2165656,3,4,58939,163896,866532,3,84,No,Married,Professional,Email,Life,Medium,8,22,No,0
06000111,33,705709,20,5,90860,4201073,1141874,4,35,Yes,Married,Salaried,Email,Accident,High,10,15,Yes,0
06000112,57,2987612,10,3,158233,2592766,242897,5,68,Yes,Other,Business,Email,Accident,High,11,18,Yes,1
06000113,52,1242942,18,0,51095,2066766,750524,4,77,Yes,Other,Salaried,Phone,Life,High,6,32,Yes,1
06000114,35,2544488,11,0,67788,4293361,11352,5,65,No,Other,Professional,Phone,Health,Low,7,5,No,0
06000115,55,2796742,14,3,146585,794548,1041365,2,95,Yes,Other,Business,Phone,Health,Low,10,5,No,0
06000116,25,420401,18,0,100398,2844904,52646,5,44,No,Married,Business,App,Life,High,7,29,Yes,1
06000117,30,816780,9,0,156381,116339,607021,3,66,No,Married,Professional,App,Accident,Medium,5,38,No,0
06000118,58,2754996,8,1,178138,2771943,1024414,5,69,Yes,Single,Business,Phone,Life,Medium,5,35,No,1
06000119,55,1015960,22,2,35459,2900513,374088,3,92,Yes,Single,Business,Email,Accident,High,10,25,Yes,1
06000120,60,388277,11,3,122690,3784111,751643,2,78,No,Other,Business,Email,Accident,Low,8,42,Yes,1
06000121,27,2554405,7,1,132285,2164246,325944,5,63,No,Married,Professional,Email,Life,High,5,14,Yes,1
06000122,66,2725103,19,0,67786,2268444,197457,3,22,Yes,Single,Business,Email,Health,Medium,5,30,Yes,0
06000123,40,1345874,23,3,134720,2683469,209047,2,47,Yes,Other,Business,App,Health,Medium,8,15,No,1
06000124,23,306863,5,1,94379,1207307,229686,3,29,No,Married,Salaried,Email,Accident,High,0,39,Yes,0
06000125,24,567854,6,4,155437,2905108,903312,4,22,Yes,Married,Business,App,Life,Medium,11,43,No,0
06000126,29,784564,22,2,88380,1265218,584770,5,48,Yes,Single,Business,Email,Accident,High,8,44,No,0
06000127,51,2150483,18,3,128398,4196213,1100522,6,45,No,Other,Business,Phone,Accident,Medium,11,30,No,0
06000128,42,1353589,16,1,133039,945725,192181,1,31,No,Married,Business,Email,Life,Low,5,4,Yes,0
06000129,47,1737472,5,0,144375,1124874,242142,5,91,Yes,Other,Salaried,App,Health,Low,4,2,No,1
06000130,41,1632925,20,0,9778,721970,1193882,3,26,No,Married,Professional,Phone,Health,Low,2,47,No,0
06000131,40,2670031,19,4,55584,4334568,1060803,4,73,No,Other,Salaried,Phone,Health,Low,2,24,Yes,1
06000132,45,1433098,21,1,34181,421998,251075,1,59,Yes,Single,Salaried,Phone,Life,Low,10,7,No,0
06000133,45,254468,13,3,125796,1073227,394081,6,92,Yes,Single,Business,Phone,Life,High,9,36,No,1
06000134,54,2512839,3,3,147810,107520,945109,2,42,Yes,Married,Professional,Email,Health,Low,11,14,No,0
06000135,26,462628,19,2,170073,3875855,345405,3,89,No,Other,Salaried,App,Accident,High,0,17,No,1
06000136,25,1408691,0,4,98690,4171303,915489,2,64,No,Married,Salaried,Email,Life,Medium,0,9,No,0
06000137,36,1729937,17,0,5268,312377,768223,3,43,Yes,Other,Salaried,Phone,Accident,Medium,2,45,Yes,1
06000138,27,1759747,15,3,103384,3401926,413249,4,93,No,Single,Business,Phone,Health,Low,11,49,No,1
06000139,25,328002,7,3,50719,3076626,1098050,5,88,Yes,Married,Professional,Phone,Health,Medium,8,1,Yes,1
06000140,35,713266,16,3,114678,1013358,39030,3,32,Yes,Single,Professional,Email,Accident,Medium,7,34,No,0
06000141,62,2279514,1,4,148236,1599465,401249,6,69,No,Married,Business,Phone,Life,Low,5,31,No,1
06000142,68,1639115,3,3,46003,1594225,811787,2,63,No,Other,Business,Phone,Health,Medium,9,20,No,0
06000143,55,526177,13,2,138482,4126251,1090984,3,74,Yes,Single,Professional,Phone,Health,High,5,15,Yes,1
06000144,53,492060,7,5,55963,3626823,103536,6,55,No,Other,Salaried,Email,Health,Medium,10,9,Yes,1
06000145,39,1266008,18,5,81942,747450,322419,5,66,No,Other,Professional,App,Life,Medium,5,53,No,1
06000146,49,2865262,17,4,69060,3017667,1097827,2,34,Yes,Single,Professional,Email,Life,High,11,55,No,1
06000147,51,879613,6,2,60218,3010091,835838,5,84,Yes,Other,Salaried,App,Health,Medium,3,29,Yes,1
06000148,24,2930770,25,4,95296,2963054,651636,5,37,Yes,Single,Professional,Phone,Accident,High,0,2,Yes,0
06000149,47,1208219,1,0,110602,1804818,180351,5,55,No,Single,Salaried,Phone,Life,Medium,4,30,Yes,0
06000150,57,352992,19,5,18184,1002146,769628,2,95,No,Married,Business,Email,Health,Low,12,22,No,1
06000151,61,2114930,24,4,23683,557530,765859,2,52,Yes,Single,Professional,Phone,Health,Low,0,46,Yes,0
06000152,27,1240884,16,4,41866,1325248,1055358,4,79,Yes,Other,Professional,App,Life,Medium,0,1,No,0
06000153,39,372374,14,5,88274,230323,180938,2,39,No,Single,Professional,Email,Life,Medium,9,26,No,1
06000154,67,1200843,5,3,77655,2245105,744180,3,82,No,Married,Business,Email,Accident,High,12,3,Yes,0
06000155,55,1680056,6,4,11466,520329,605528,3,72,Yes,Married,Salaried,App,Life,Medium,4,24,Yes,1
06000156,47,2319859,2,2,78474,1207244,809203,2,54,Yes,Other,Business,Email,Accident,Low,3,20,Yes,0
06000157,45,488859,20,0,113613,2203591,615511,1,58,No,Married,Professional,App,Life,High,3,19,No,0
06000158,25,1802733,4,1,109296,3750603,857763,5,71,No,Other,Salaried,App,Health,High,12,13,Yes,0
06000159,45,2469440,22,3,148242,4354911,907825,5,48,Yes,Married,Professional,Email,Life,Medium,3,26,No,1
06000160,26,509268,18,3,123193,4332801,482676,1,38,No,Single,Business,Email,Life,Medium,8,41,Yes,1
06000161,34,1526396,21,5,135296,2072968,1113368,4,32,Yes,Married,Professional,App,Health,High,7,28,Yes,1
06000162,32,1650115,7,3,140527,3711321,771844,5,61,Yes,Married,Business,Email,Life,High,3,33,No,0
06000163,25,706510,14,5,161236,3155682,554786,3,89,Yes,Married,Salaried,Email,Accident,High,1,38,No,1
06000164,32,1485753,23,2,167759,1696126,265829,4,48,Yes,Other,Salaried,Email,Health,High,0,29,No,1
06000165,40,2324041,25,2,103569,2151797,781591,3,87,No,Single,Salaried,App,Life,Low,5,41,Yes,1
06000166,29,2295469,23,0,91095,41406,569813,4,27,Yes,Single,Business,App,Life,High,10,0,Yes,1
06000167,36,1408261,23,3,159208,2368100,327654,1,39,Yes,Single,Salaried,Phone,Accident,Low,12,32,No,0
06000168,25,960727,11,4,143659,3383024,712128,2,61,No,Single,Professional,App,Health,High,11,26,Yes,1
06000169,33,1744474,1,4,16902,440072,39815,4,93,No,Other,Salaried,App,Health,Medium,10,10,No,0
06000170,43,911858,1,2,22779,4293627,500785,1,75,Yes,Other,Salaried,App,Life,Medium,11,20,Yes,0
06000171,30,786765,7,0,114329,662445,167646,2,31,Yes,Other,Business,Phone,Life,High,1,48,Yes,0
06000172,27,1002801,7,1,84107,4126812,195618,4,81,Yes,Other,Salaried,Phone,Health,Low,3,46,Yes,0
06000173,66,2488340,9,0,40634,3877661,262583,1,65,No,Married,Salaried,Phone,Health,Medium,8,40,No,0
06000174,22,498953,5,0,11829,679986,1143871,6,72,No,Other,Salaried,App,Life,Low,6,36,No,1
06000175,24,748574,13,2,158972,902476,802204,4,49,No,Single,Professional,Email,Life,Low,12,23,Yes,1
06000176,47,928002,13,5,69727,3920809,1107464,1,29,No,Single,Professional,Phone,Life,Medium,12,32,Yes,0
06000177,67,2232352,20,0,148246,3734362,936626,2,91,Yes,Single,Salaried,Email,Health,Medium,4,26,Yes,1
06000178,57,744959,5,0,68276,3177280,691821,2,81,Yes,Single,Salaried,Email,Life,Medium,8,6,Yes,0
06000179,50,1165399,0,4,25495,444890,187403,4,40,No,Married,Professional,Phone,Health,Medium,6,41,No,0
06000180,63,1180775,21,5,109535,1118473,822963,5,57,Yes,Single,Salaried,Email,Health,Medium,7,26,No,1
06000181,49,2473896,3,3,70540,1824147,1113975,1,68,No,Single,Professional,Email,Accident,Low,8,7,No,0
06000182,67,1485201,23,3,46620,938198,979349,5,55,Yes,Married,Business,Email,Accident,Medium,12,47,Yes,1
06000183,39,1105168,17,5,7751,1244864,957528,1,84,Yes,Married,Business,Phone,Life,Low,11,50,Yes,1
06000184,48,1144896,13,4,92247,4159748,83374,3,51,Yes,Other,Business,Email,Health,High,0,52,Yes,1
06000185,50,1429930,14,1,52145,131743,501708,4,75,Yes,Married,Business,Email,Life,Medium,12,54,No,0
06000186,46,2857365,16,1,158819,2141407,979771,6,30,No,Single,Salaried,App,Life,Low,7,21,Yes,1
06000187,61,2622049,3,3,106478,3214517,671278,6,80,No,Married,Salaried,App,Life,Low,1,4,Yes,1
06000188,48,1093923,8,1,139236,1206078,837186,3,56,No,Married,Professional,Email,Life,Low,1,20,No,0
06000189,32,1787529,14,3,17599,1950877,592538,4,88,No,Married,Salaried,App,Life,High,12,51,No,1
06000190,54,2278362,0,5,31627,4248769,132217,2,78,No,Other,Salaried,Phone,Life,Medium,8,24,Yes,0
06000191,33,523317,15,2,172975,3976908,582014,1,51,Yes,Married,Business,App,Health,Low,4,7,No,0
06000192,62,2721154,5,2,38046,346938,775386,1,22,Yes,Single,Business,Email,Health,Medium,8,14,No,0
06000193,36,361685,4,0,108649,1519126,775747,3,53,Yes,Other,Salaried,Email,Accident,Low,10,10,Yes,1
06000194,29,2888449,6,0,75730,558101,341748,5,27,Yes,Single,Professional,Email,Accident,Medium,10,50,No,0
06000195,25,795722,22,4,167372,1496019,908065,4,50,No,Single,Professional,App,Life,Low,8,7,Yes,1
06000196,67,1958236,5,0,70976,2202164,709322,2,39,Yes,Other,Professional,Phone,Life,High,4,11,Yes,0
06000197,33,1415598,22,0,122736,3311321,631539,4,53,No,Single,Salaried,Phone,Accident,Low,9,11,Yes,1
06000198,43,1480185,7,0,111834,3031399,12040,3,82,Yes,Married,Salaried,Email,Life,Medium,4,11,Yes,1
06000199,34,402246,15,1,75080,945702,659800,5,70,Yes,Single,Salaried,Phone,Health,High,4,2,Yes,1
06000200,52,1294002,19,1,151079,4250977,680606,2,42,No,Single,Salaried,Email,Accident,High,8,20,No,0
06000201,55,1602034,7,2,22494,3799234,287122,4,66,No,Single,Business,Email,Accident,Medium,10,2,No,0
06000202,66,267483,20,4,48396,2177251,126531,1,35,Yes,Married,Business,Email,Accident,Medium,7,42,No,0
06000203,42,1228605,18,1,142021,4190166,383784,4,58,Yes,Single,Professional,Phone,Life,High,4,2,No,0
06000204,34,2636255,23,0,165306,3238994,827484,6,69,No,Other,Business,App,Life,Medium,12,37,No,0
06000205,34,936883,11,2,155550,3436817,327017,6,88,No,Other,Professional,App,Health,Medium,0,55,Yes,1
06000206,24,1139160,23,5,29669,4443290,341654,2,88,Yes,Other,Business,Email,Accident,High,1,5,No,0
06000207,21,1088131,12,0,9281,3442672,911454,2,63,No,Married,Professional,App,Health,Low,9,37,Yes,0
06000208,43,969218,20,5,53152,3634534,245288,4,88,Yes,Married,Salaried,App,Life,Medium,8,12,Yes,0
06000209,66,2626757,24,2,7649,707500,739800,5,84,Yes,Other,Professional,App,Health,Medium,4,2,No,0
06000210,49,2458849,4,1,38704,158943,1053010,5,50,Yes,Single,Professional,Phone,Life,Low,6,45,No,0
06000211,69,1047450,0,3,63050,1289032,180514,4,90,No,Married,Business,App,Life,Low,5,51,Yes,1
06000212,26,2178674,9,2,128180,4299081,537744,3,89,No,Single,Business,Email,Accident,High,4,1,Yes,1
06000213,33,1059578,18,5,54348,1605627,385264,5,68,No,Married,Business,Phone,Health,High,8,34,No,0
06000214,57,522428,21,5,66843,847002,442374,6,21,Yes,Single,Professional,Phone,Life,High,0,11,No,0
06000215,34,1632284,22,5,90821,340856,798409,3,73,No,Other,Salaried,App,Life,High,10,50,Yes,0
06000216,54,614096,17,1,56121,473274,12495,4,92,Yes,Married,Salaried,Email,Accident,High,4,28,No,0
06000217,25,2623033,10,0,133887,249757,909160,2,43,Yes,Single,Salaried,Email,Accident,Low,9,34,No,1
06000218,64,749688,13,3,6331,1297396,307544,2,45,No,Married,Salaried,Phone,Health,High,11,27,No,0
06000219,46,1265042,12,5,114507,2569243,81368,5,76,No,Single,Salaried,Email,Life,Medium,2,25,Yes,1
06000220,40,1612960,1,3,82614,1960172,442536,3,78,No,Married,Business,App,Life,Medium,8,19,No,1
06000221,52,422815,19,2,153978,3924082,295757,2,82,No,Single,Professional,Email,Health,Medium,3,17,Yes,1
06000222,64,1771281,10,3,25648,3790744,430582,6,87,No,Married,Professional,Phone,Accident,Low,8,33,No,1
06000223,47,1889322,12,2,156197,1823798,598404,2,35,Yes,Married,Business,Phone,Health,Medium,2,20,Yes,1
06000224,32,1325157,17,1,21690,1758485,1034439,3,77,Yes,Married,Business,Email,Life,High,4,5,Yes,0
06000225,24,1147482,9,1,149408,3444093,286772,4,84,Yes,Single,Professional,Phone,Accident,Low,7,37,No,1
06000226,42,1635237,15,5,91645,1323845,199534,1,38,No,Other,Business,Phone,Accident,High,8,0,No,0
06000227,59,1378549,4,2,141149,2366238,1169590,1,92,Yes,Other,Professional,Phone,Accident,Medium,2,10,Yes,0
06000228,24,2300852,15,0,178970,2864793,750605,1,43,No,Other,Salaried,Phone,Health,Low,9,34,Yes,0
06000229,61,616191,10,4,130086,2675257,213979,2,91,Yes,Married,Salaried,Phone,Life,Medium,0,30,Yes,1
06000230,44,2160013,12,2,98232,1883931,488510,1,45,No,Single,Professional,App,Accident,Medium,1,31,Yes,1
06000231,55,1281374,10,1,12230,3439673,1145635,2,28,No,Other,Professional,Phone,Health,High,0,30,No,0
06000232,24,1983660,5,0,114582,2314959,333033,4,25,No,Married,Professional,Email,Accident,High,0,53,No,1
06000233,47,1910679,5,4,79709,1649770,17443,4,87,Yes,Other,Professional,Email,Life,Medium,3,24,Yes,1
06000234,21,2882843,15,4,97666,4456491,423682,4,44,Yes,Other,Professional,Email,Accident,High,6,45,Yes,0
06000235,44,727646,9,0,51707,138651,1095990,3,26,Yes,Single,Salaried,Email,Life,High,6,20,Yes,0
06000236,56,1743009,18,2,77621,863419,866209,1,22,Yes,Single,Business,Email,Accident,High,10,32,No,0
06000237,45,2762751,8,3,119609,4225353,472268,1,89,Yes,Other,Business,Phone,Life,High,3,31,No,0
06000238,38,1728713,12,1,34239,1586621,649901,4,95,Yes,Other,Professional,Phone,Health,Medium,3,19,No,0
06000239,52,2740909,17,3,146531,2793681,275792,5,21,No,Single,Salaried,Email,Accident,Low,4,48,Yes,1
06000240,40,581069,24,4,131733,1850086,1186065,3,48,Yes,Single,Professional,App,Life,Medium,5,41,No,0
06000241,30,1330859,5,5,63123,2976300,872466,1,36,Yes,Other,Salaried,App,Life,Medium,4,45,No,1
06000242,58,2452331,11,3,10339,2692135,115466,1,23,Yes,Married,Professional,Email,Life,Low,0,21,No,0
06000243,51,1155667,10,0,28751,4011857,1130598,3,42,No,Other,Professional,Email,Accident,High,1,40,No,0
06000244,62,668984,25,0,5346,4330589,9241,1,72,No,Other,Professional,Email,Life,High,8,7,Yes,0
