mortgage_application_id,applicant_age,gross_income_inr,property_value_inr,down_payment_inr,requested_mortgage_inr,credit_score,debt_to_income_pct,employment_years,recent_delinquencies,property_type,employment_category,coapplicant,property_city_tier,existing_mortgage,documentation_complete,savings_inr,loan_term_years,property_usage,preapproved
05000080,64,2030631,14753787,594024,37,734,28,11,6,Plot,Business,No,Tier 3,Yes,No,562550,5,Self occupied,0
05000081,27,1983376,12469597,5987627,29,619,42,10,2,Plot,Salaried,Yes,Tier 3,Yes,Yes,1012670,22,Investment,0
05000082,67,267552,5253178,5019003,34,506,73,20,2,Plot,Business,Yes,Tier 1,Yes,No,1746539,5,Investment,0
05000083,50,391069,10091808,3269181,54,500,64,23,0,Independent house,Business,Yes,Tier 3,Yes,No,1041384,8,Investment,1
05000084,25,2590809,3087982,5671279,65,688,55,21,4,Plot,Business,Yes,Tier 3,No,No,1713941,20,Investment,1
05000085,59,1159866,17779295,5293967,49,693,82,0,7,Independent house,Self-employed,No,Tier 3,Yes,Yes,1263207,14,Investment,0
05000086,61,834589,7091177,3281857,45,506,63,24,5,Plot,Self-employed,Yes,Tier 2,Yes,Yes,610366,22,Investment,0
05000087,61,1341734,16676568,5020180,68,682,22,13,10,Plot,Self-employed,No,Tier 1,No,Yes,433852,10,Investment,0
05000088,43,275701,3952202,3631667,51,713,74,7,4,Apartment,Business,Yes,Tier 2,Yes,Yes,729970,0,Investment,0
05000089,39,2524859,4213869,5719437,23,531,21,7,7,Plot,Self-employed,Yes,Tier 1,Yes,Yes,618435,22,Investment,1
05000090,67,395642,9012021,4021540,23,763,42,17,1,Independent house,Salaried,Yes,Tier 3,Yes,Yes,1601078,13,Investment,1
05000091,50,2430697,4117165,4658175,66,687,34,9,4,Plot,Business,No,Tier 1,Yes,No,1391370,7,Investment,0
05000092,31,1376586,4307054,3579261,45,607,41,3,4,Apartment,Self-employed,No,Tier 2,No,Yes,1372785,15,Self occupied,1
05000093,39,1394660,5283909,2991310,37,683,41,15,5,Plot,Salaried,No,Tier 2,Yes,No,1161085,25,Self occupied,1
05000094,42,981888,8885199,1642795,39,825,27,16,1,Independent house,Self-employed,Yes,Tier 3,No,No,507383,1,Self occupied,0
05000095,53,507834,3973352,5302937,31,709,74,8,6,Apartment,Business,No,Tier 3,No,No,286557,0,Self occupied,1
05000096,64,1900933,1540865,2457541,55,744,65,20,1,Apartment,Business,Yes,Tier 2,No,No,239777,18,Investment,1
05000097,44,1687721,15365021,3713760,25,550,94,10,2,Independent house,Business,Yes,Tier 3,No,No,693221,9,Self occupied,1
05000098,43,2795813,6696122,4182704,27,828,88,25,10,Apartment,Salaried,Yes,Tier 1,Yes,No,969432,24,Self occupied,1
05000099,37,1560104,15844854,1689821,61,694,35,15,10,Plot,Salaried,Yes,Tier 3,No,Yes,485818,23,Investment,0
05000100,61,1447735,15309059,800456,27,772,39,25,4,Plot,Business,Yes,Tier 1,Yes,Yes,862733,6,Self occupied,1
05000101,31,2755678,5186607,1008067,33,663,89,18,8,Plot,Self-employed,No,Tier 1,Yes,No,1205866,19,Self occupied,1
05000102,47,1779493,3938517,410536,29,480,22,22,4,Plot,Business,No,Tier 2,Yes,Yes,770229,7,Investment,1
05000103,39,492210,5163321,999012,55,523,84,14,8,Apartment,Salaried,No,Tier 1,No,No,691750,17,Investment,0
05000104,31,2520215,17803384,1865901,26,694,13,14,0,Apartment,Business,No,Tier 3,No,No,1677191,3,Investment,0
05000105,65,343263,14493939,4122964,62,586,41,13,8,Plot,Self-employed,No,Tier 3,Yes,Yes,272278,19,Self occupied,0
05000106,22,1952870,4404358,4026890,27,777,49,8,2,Independent house,Self-employed,Yes,Tier 3,Yes,No,673585,22,Self occupied,1
05000107,25,2943604,2582268,4616751,51,764,81,3,10,Apartment,Business,Yes,Tier 2,No,Yes,1179113,12,Investment,0
05000108,69,520416,10878066,3501913,48,618,4,20,9,Plot,Salaried,No,Tier 1,Yes,Yes,1252897,15,Investment,1
05000109,36,2898967,11555057,1996373,52,691,33,10,8,Plot,Self-employed,Yes,Tier 2,Yes,No,771849,12,Self occupied,0
05000110,69,2650365,9481158,3418057,22,805,68,4,0,Apartment,Business,Yes,Tier 3,No,Yes,1437248,19,Self occupied,0
05000111,34,1725900,13964364,743697,57,775,20,0,5,Apartment,Self-employed,No,Tier 1,Yes,Yes,317288,8,Investment,0
05000112,54,1190913,8232312,2913282,24,607,60,12,1,Apartment,Self-employed,Yes,Tier 2,Yes,No,1179093,9,Investment,0
05000113,22,1092842,1665055,5557065,59,747,82,9,5,Plot,Business,No,Tier 3,Yes,No,931411,11,Investment,0
05000114,37,261645,2377966,4695752,29,848,21,17,6,Apartment,Self-employed,Yes,Tier 1,Yes,Yes,999277,2,Investment,0
05000115,67,373467,17511911,3642201,37,603,27,18,8,Independent house,Salaried,No,Tier 3,Yes,No,1163038,2,Investment,0
05000116,66,1244732,4564403,5796683,27,707,64,18,10,Plot,Self-employed,Yes,Tier 3,No,No,1676198,8,Investment,1
05000117,25,459332,16460366,2405242,49,515,62,13,5,Independent house,Salaried,No,Tier 3,Yes,No,1192915,2,Self occupied,1
05000118,68,852468,4014826,4720604,23,738,56,10,1,Plot,Salaried,No,Tier 1,Yes,Yes,886440,14,Investment,0
05000119,21,316792,4560430,1637067,64,612,60,18,6,Apartment,Business,No,Tier 1,Yes,Yes,522077,16,Self occupied,1
05000120,30,2294460,7449143,1882646,66,684,79,20,0,Apartment,Salaried,Yes,Tier 2,Yes,No,1532951,12,Self occupied,0
05000121,37,2278160,10500401,5664297,65,617,83,20,10,Apartment,Salaried,No,Tier 1,No,Yes,680475,10,Self occupied,0
05000122,25,1163259,10870721,269652,56,766,56,16,4,Plot,Salaried,No,Tier 2,Yes,No,1005822,17,Investment,0
05000123,24,566482,5344947,5530545,63,481,65,8,10,Plot,Salaried,Yes,Tier 1,No,No,670648,14,Investment,1
05000124,46,695425,8268318,5932437,47,725,50,10,3,Apartment,Self-employed,Yes,Tier 1,Yes,Yes,1360509,19,Self occupied,1
05000125,37,955340,4104200,4408146,30,777,19,14,5,Apartment,Salaried,No,Tier 1,Yes,Yes,1414594,24,Investment,0
05000126,46,2307564,4799266,2025726,30,586,65,0,2,Apartment,Salaried,Yes,Tier 3,Yes,No,1677479,12,Self occupied,1
05000127,24,1334142,8902945,2978571,45,635,71,2,2,Apartment,Salaried,No,Tier 2,Yes,Yes,436789,20,Self occupied,0
05000128,24,1434366,7835791,629675,67,637,45,1,3,Plot,Self-employed,No,Tier 1,No,No,1175297,10,Self occupied,0
05000129,30,745156,10842977,3648704,66,613,93,13,6,Independent house,Salaried,Yes,Tier 3,No,Yes,1244009,9,Self occupied,1
05000130,59,1199656,8724017,977464,67,585,29,12,10,Apartment,Business,Yes,Tier 3,No,No,975516,10,Investment,1
05000131,25,550062,5074204,4615898,52,841,22,11,7,Apartment,Self-employed,Yes,Tier 3,No,Yes,883917,21,Investment,1
05000132,53,1587476,2309530,3049306,30,808,56,25,10,Independent house,Business,Yes,Tier 2,No,No,298213,24,Self occupied,1
05000133,62,420354,2437960,2289865,69,630,47,16,1,Plot,Salaried,Yes,Tier 3,Yes,No,1355020,13,Self occupied,0
05000134,23,436507,8867009,1301202,34,506,21,20,0,Independent house,Business,No,Tier 3,No,Yes,738161,22,Self occupied,0
05000135,62,2929486,8994134,973876,61,570,54,5,0,Independent house,Business,Yes,Tier 2,Yes,No,1003290,13,Self occupied,0
05000136,21,801276,4618203,709955,34,791,81,4,5,Apartment,Self-employed,Yes,Tier 3,No,Yes,678359,23,Self occupied,0
05000137,43,1568318,14495569,5879528,51,490,36,6,5,Plot,Business,Yes,Tier 1,Yes,No,962150,2,Self occupied,0
05000138,68,2355838,10531001,2860492,57,757,19,24,5,Plot,Self-employed,No,Tier 1,Yes,No,1089059,6,Investment,1
05000139,67,2797030,17635100,3200082,24,674,8,12,7,Plot,Self-employed,Yes,Tier 1,Yes,Yes,245598,18,Self occupied,0
05000140,27,2871307,12615579,321496,36,514,91,4,10,Independent house,Salaried,No,Tier 3,No,No,939058,0,Investment,0
05000141,53,1523404,4023321,1884623,65,800,69,6,5,Apartment,Business,No,Tier 2,Yes,Yes,1085231,21,Self occupied,0
05000142,58,1039935,4509924,5663739,50,572,87,12,1,Independent house,Self-employed,No,Tier 2,No,Yes,922435,6,Investment,0
05000143,31,2385165,4916920,3214135,64,788,42,15,0,Independent house,Business,Yes,Tier 2,No,No,435522,13,Self occupied,1
05000144,59,1712465,2722931,901751,38,621,86,4,7,Independent house,Self-employed,Yes,Tier 3,No,No,288056,16,Self occupied,1
05000145,25,2171402,5724885,3340456,48,533,80,17,10,Apartment,Self-employed,Yes,Tier 3,Yes,No,292790,15,Self occupied,1
05000146,41,769799,13936283,3526354,30,605,51,13,4,Plot,Business,Yes,Tier 3,Yes,No,937236,16,Investment,0
05000147,21,829770,13839607,3230732,61,760,29,9,0,Apartment,Business,Yes,Tier 3,Yes,Yes,965625,25,Investment,1
05000148,57,625495,16745816,2282682,58,749,16,9,8,Independent house,Self-employed,Yes,Tier 1,Yes,Yes,39571,7,Investment,1
05000149,43,497843,11548812,4506924,27,709,29,3,5,Apartment,Self-employed,No,Tier 3,No,Yes,952690,23,Self occupied,1
05000150,38,2205141,5963379,1523176,57,515,52,2,3,Independent house,Salaried,Yes,Tier 3,No,Yes,1795389,1,Investment,1
05000151,34,2189171,14861044,5333436,41,700,84,11,5,Plot,Salaried,No,Tier 3,No,Yes,677293,5,Self occupied,1
05000152,25,2649350,16937562,2294060,44,618,16,11,0,Apartment,Business,No,Tier 1,No,Yes,991241,21,Self occupied,1
05000153,42,2142747,16349220,200756,22,679,74,13,0,Plot,Self-employed,Yes,Tier 3,Yes,Yes,951462,20,Self occupied,0
05000154,45,2841806,11173456,1292969,63,539,91,10,10,Plot,Salaried,No,Tier 2,No,No,732156,3,Investment,1
05000155,43,319231,12729545,3829619,22,483,4,2,4,Apartment,Salaried,Yes,Tier 3,No,No,1300471,11,Investment,0
05000156,44,921990,6914513,1135771,61,736,14,17,1,Plot,Salaried,No,Tier 2,No,No,1567676,10,Investment,0
05000157,60,1080529,3468014,3840507,34,829,20,12,7,Independent house,Business,Yes,Tier 2,No,No,1640711,23,Investment,0
05000158,56,2791770,8694972,4810580,31,606,66,5,6,Independent house,Salaried,Yes,Tier 1,No,Yes,727540,25,Investment,0
05000159,50,706475,12049935,5511736,28,574,92,8,6,Plot,Self-employed,No,Tier 1,No,No,1468560,21,Self occupied,1
05000160,65,2184707,1736661,3992985,68,747,83,5,4,Apartment,Salaried,Yes,Tier 2,No,Yes,66111,18,Self occupied,1
05000161,37,1255519,9692910,2004197,41,600,43,7,8,Independent house,Self-employed,Yes,Tier 3,No,No,1568262,15,Investment,1
05000162,61,490276,5410805,5539148,28,608,28,21,3,Independent house,Business,No,Tier 1,No,Yes,1351209,15,Investment,1
05000163,59,2649481,15661684,1113510,59,595,55,21,7,Apartment,Salaried,Yes,Tier 1,No,No,1708465,12,Investment,1
05000164,27,1779874,13048904,5115431,58,681,62,12,6,Plot,Business,No,Tier 1,No,No,203695,23,Self occupied,1
05000165,33,2891399,15690632,5955238,28,535,34,20,9,Plot,Salaried,No,Tier 2,Yes,No,884251,24,Investment,1
05000166,65,1387632,12211889,1736183,39,686,40,16,4,Independent house,Self-employed,Yes,Tier 3,No,No,939965,12,Investment,1
05000167,23,2115789,11208634,2686962,23,660,35,11,10,Plot,Self-employed,No,Tier 3,No,Yes,1429858,7,Investment,1
05000168,34,1942517,1835634,5958795,56,619,10,25,0,Apartment,Self-employed,No,Tier 2,No,Yes,1311933,22,Investment,0
05000169,37,968924,9515391,1251925,50,576,21,12,8,Apartment,Business,No,Tier 1,No,No,494532,16,Investment,1
05000170,34,2495867,15833283,5781962,38,549,49,5,8,Independent house,Business,No,Tier 3,No,No,985809,3,Investment,1
05000171,24,312106,6042091,4493357,28,578,59,20,8,Apartment,Self-employed,Yes,Tier 1,Yes,No,634971,7,Self occupied,1
05000172,54,460519,3320447,4565215,36,557,60,4,8,Plot,Salaried,Yes,Tier 2,Yes,Yes,95017,18,Investment,1
05000173,37,2171707,5356411,4609814,63,582,76,0,5,Independent house,Business,Yes,Tier 3,No,No,1730560,24,Self occupied,0
05000174,29,1812866,5540034,2532104,54,484,63,6,3,Apartment,Business,Yes,Tier 1,No,Yes,1041260,22,Investment,1
05000175,21,1485605,7841679,4068869,68,849,5,0,9,Apartment,Business,Yes,Tier 2,Yes,Yes,760705,12,Self occupied,0
05000176,49,2766071,17146756,2014557,31,797,13,22,1,Independent house,Business,Yes,Tier 3,No,No,1700784,4,Investment,0
05000177,44,2202885,2226878,3754210,32,795,55,4,9,Independent house,Business,Yes,Tier 2,No,Yes,1654429,21,Investment,0
05000178,65,1105628,14366895,4976388,61,804,95,6,6,Independent house,Business,Yes,Tier 3,No,No,193388,13,Investment,1
05000179,32,2527600,7474057,2755890,42,584,72,22,5,Independent house,Self-employed,No,Tier 2,No,No,199160,16,Investment,0
05000180,21,2639227,2299290,1592704,36,538,84,4,2,Independent house,Business,Yes,Tier 2,Yes,Yes,1510237,17,Self occupied,1
05000181,58,2219798,10085287,3415330,33,616,69,5,8,Independent house,Salaried,Yes,Tier 2,Yes,No,395296,8,Investment,1
05000182,35,302419,9958450,5504812,59,481,64,1,4,Independent house,Salaried,Yes,Tier 3,No,Yes,1649799,1,Self occupied,0
05000183,37,395547,4439598,2387592,65,632,31,2,3,Apartment,Salaried,Yes,Tier 1,Yes,Yes,63729,8,Investment,0
05000184,40,1644097,11510503,5550700,23,626,77,0,8,Plot,Self-employed,Yes,Tier 3,No,Yes,749211,18,Self occupied,1
05000185,27,2843937,11651257,5422385,69,719,72,6,1,Apartment,Self-employed,Yes,Tier 1,Yes,No,268182,3,Self occupied,1
05000186,53,2284790,15914642,4794764,48,632,20,3,9,Plot,Business,Yes,Tier 3,Yes,No,916116,7,Self occupied,0
05000187,55,519547,10199791,2264930,53,545,23,19,3,Plot,Business,Yes,Tier 2,Yes,Yes,949159,9,Self occupied,1
05000188,33,2931522,4828872,4761172,30,485,48,22,2,Apartment,Self-employed,Yes,Tier 3,Yes,Yes,277946,13,Self occupied,1
05000189,29,2145149,4003654,3162953,64,604,72,15,3,Plot,Salaried,Yes,Tier 2,Yes,No,542243,14,Investment,0
05000190,26,367556,9351731,3355495,41,546,84,1,2,Apartment,Salaried,Yes,Tier 2,Yes,No,304436,19,Self occupied,1
05000191,69,340186,16872308,3351029,27,677,63,13,4,Apartment,Self-employed,No,Tier 2,No,Yes,1072370,6,Self occupied,0
05000192,37,1589978,8535657,3379145,52,647,7,8,0,Plot,Business,Yes,Tier 2,No,Yes,1286702,15,Investment,0
05000193,43,2683668,9455777,1806374,23,570,93,3,1,Apartment,Salaried,No,Tier 2,No,Yes,1077619,19,Self occupied,0
05000194,44,1803895,4042196,4380892,34,824,52,14,3,Apartment,Salaried,Yes,Tier 2,No,Yes,1563084,6,Self occupied,1
05000195,27,2861839,14148431,4115002,25,687,75,19,2,Apartment,Salaried,Yes,Tier 1,Yes,No,261395,18,Investment,0
05000196,32,959609,14631153,1979950,63,535,29,20,9,Independent house,Business,No,Tier 3,Yes,No,1211839,5,Self occupied,0
05000197,28,1254537,8451279,1732106,26,549,95,5,3,Independent house,Business,No,Tier 1,No,No,1387809,10,Investment,0
05000198,45,2166622,12473005,4718928,53,689,74,15,4,Apartment,Salaried,No,Tier 3,Yes,Yes,1000727,14,Self occupied,0
05000199,32,1351739,14851431,3844436,55,835,66,21,1,Apartment,Salaried,No,Tier 3,No,Yes,457544,23,Investment,1
05000200,32,1986196,12902818,4858253,30,685,64,24,7,Independent house,Business,No,Tier 3,Yes,No,600054,22,Self occupied,1
05000201,61,435615,4417445,5164771,39,687,43,23,6,Apartment,Salaried,No,Tier 1,Yes,No,1167917,15,Investment,1
05000202,48,873450,10045662,4206974,23,550,93,1,8,Apartment,Salaried,No,Tier 3,Yes,No,465426,10,Self occupied,1
05000203,38,659103,13761579,2121265,63,617,14,24,7,Independent house,Salaried,Yes,Tier 3,Yes,Yes,947931,7,Self occupied,1
05000204,64,2554751,15578746,964304,52,568,24,25,6,Apartment,Self-employed,No,Tier 2,Yes,Yes,1273245,2,Investment,1
05000205,66,578423,8603681,4465977,49,832,65,24,1,Independent house,Business,No,Tier 1,No,No,588008,19,Investment,0
05000206,55,978539,9736050,5526291,42,786,11,6,9,Plot,Salaried,No,Tier 3,No,No,1061149,23,Investment,0
05000207,26,886603,6098156,1806556,47,820,85,15,0,Apartment,Self-employed,Yes,Tier 1,No,No,519724,23,Self occupied,1
05000208,41,1015265,10266980,1981340,37,776,31,19,8,Plot,Salaried,Yes,Tier 3,Yes,Yes,302371,3,Self occupied,1
05000209,40,2074189,14160209,4272110,41,790,48,18,6,Independent house,Self-employed,Yes,Tier 2,No,Yes,850532,13,Investment,1
05000210,38,706834,7543211,4747949,22,701,24,20,3,Plot,Salaried,No,Tier 1,Yes,Yes,321284,15,Self occupied,1
05000211,63,2593060,17422806,2345384,22,515,71,4,10,Apartment,Salaried,Yes,Tier 3,No,No,792729,1,Investment,1
05000212,69,2953654,6535887,3068077,29,718,68,4,3,Plot,Business,Yes,Tier 3,No,Yes,1373809,4,Self occupied,0
05000213,22,1735512,6009005,2168975,45,497,70,12,3,Plot,Business,Yes,Tier 1,Yes,No,540463,11,Self occupied,0
