business_application_id,business_age_years,annual_revenue_inr,annual_profit_inr,loan_requested_inr,owner_credit_score,existing_business_debt_inr,monthly_cashflow_inr,tax_filing_years,late_payments_12m,industry,business_type,collateral_type,region,employee_count,has_audited_statements,owner_experience_years,bank_relationship_years,exporter,approved
08000059,54,9635725,3641779,7376193,831,2000701,-69271,0,2,Services,Proprietorship,Property,East,6,No,8,23,No,0
08000060,36,29544330,1283336,4992122,547,3652471,605201,18,5,Retail,Partnership,None,West,7,Yes,12,7,No,0
08000061,41,13075611,4869325,2049960,730,2379327,767228,20,6,Manufacturing,Proprietorship,Deposit,West,8,No,16,4,Yes,1
08000062,46,3186672,4362107,2319292,849,2008131,-57694,24,0,Agriculture,Proprietorship,None,North,6,Yes,2,5,Yes,1
08000063,53,24562850,5353939,4692216,793,1847386,349139,18,2,Retail,Partnership,Property,West,1,No,24,13,Yes,1
08000064,43,4914871,2155425,5616119,840,3161091,755654,7,4,Services,Proprietorship,Property,East,8,Yes,22,12,Yes,0
08000065,26,27829999,2395849,4906142,594,435660,639984,19,3,Services,Proprietorship,Property,West,0,No,22,22,Yes,0
08000066,48,10345967,5321141,4933597,654,3667326,834337,17,7,Services,Proprietorship,None,South,1,No,3,9,No,1
08000067,38,13938298,1023446,922427,848,3989145,620765,9,4,Retail,Partnership,Property,South,6,Yes,17,23,Yes,1
08000068,64,25945496,5911586,7823826,755,2143363,767860,23,0,Retail,Partnership,None,West,2,No,9,13,Yes,1
08000069,36,3589655,3680442,6943298,503,3139494,460495,8,7,Agriculture,Proprietorship,Deposit,South,1,No,13,11,No,0
08000070,35,1933632,1009401,7983943,782,3794592,753208,10,7,Services,Partnership,Deposit,East,0,No,13,18,No,0
08000071,45,4646876,1933973,2185107,481,2357540,686136,0,6,Agriculture,Proprietorship,Deposit,East,3,Yes,14,13,No,0
08000072,69,21552958,2434965,5660089,582,3237085,823525,3,6,Retail,Proprietorship,None,West,1,Yes,5,9,No,0
08000073,28,16475283,3781353,7137402,732,1597781,237234,19,3,Agriculture,Private limited,None,North,8,Yes,25,3,Yes,1
08000074,38,2389146,1372566,1870363,633,940544,712934,6,3,Retail,Proprietorship,Deposit,North,2,Yes,2,11,Yes,1
08000075,25,27624476,1733776,1938733,490,2717032,263163,22,5,Agriculture,Partnership,None,West,0,Yes,1,17,Yes,1
08000076,27,27210635,1626963,7249391,735,2107031,526789,20,1,Manufacturing,Private limited,Property,East,0,Yes,15,22,Yes,0
08000077,43,3207928,7061440,1000281,488,2054901,28401,18,3,Retail,Partnership,Deposit,East,1,No,25,17,No,0
08000078,34,32704255,4217309,1634666,550,539665,134277,24,4,Manufacturing,Partnership,Deposit,North,0,Yes,13,5,No,0
08000079,34,27005139,3519415,5398334,536,20404,568683,20,0,Agriculture,Private limited,None,North,4,No,18,22,Yes,0
08000080,32,16050415,5325178,3928793,673,1749337,192779,20,4,Retail,Private limited,Deposit,South,1,Yes,17,24,No,1
08000081,36,32978334,667549,4967125,539,1696969,341598,13,0,Services,Private limited,Property,West,1,No,19,23,Yes,0
08000082,66,29803620,7944637,3382401,501,3388235,-74463,7,7,Manufacturing,Proprietorship,Property,West,8,Yes,0,24,No,1
08000083,41,25704174,5038643,4479428,698,2872307,387993,23,2,Agriculture,Private limited,None,West,2,No,25,9,Yes,0
08000084,33,26063023,5169972,3268815,829,3761053,162230,5,5,Manufacturing,Partnership,None,East,1,No,2,6,No,1
08000085,68,31345437,3104191,7986932,582,2015856,642276,9,2,Manufacturing,Partnership,None,South,5,Yes,23,18,Yes,1
08000086,32,14974008,6300510,4165416,596,1184848,38921,19,6,Services,Proprietorship,None,West,5,No,22,16,No,0
08000087,67,11681072,6155415,3582986,638,1454482,621963,13,3,Manufacturing,Private limited,Property,East,4,No,9,25,Yes,1
08000088,61,9977398,1903062,7237744,594,464135,568866,25,5,Retail,Private limited,Deposit,East,8,No,9,18,Yes,1
08000089,56,8090807,7072986,656904,648,3395674,23928,5,7,Services,Proprietorship,Deposit,South,2,Yes,19,24,Yes,1
08000090,38,6749387,4490505,7649682,599,1564005,134028,8,5,Retail,Partnership,None,North,6,Yes,19,7,No,0
08000091,21,9869026,3861863,520123,808,3525032,733748,10,2,Services,Partnership,Property,West,5,No,24,13,Yes,1
08000092,53,4180945,2953098,1363213,559,546223,826109,3,1,Retail,Partnership,None,South,6,Yes,3,18,Yes,1
08000093,52,27574832,4412255,3453691,512,1790611,704346,23,6,Agriculture,Private limited,None,East,3,No,0,15,No,0
08000094,61,14582666,2629869,230075,800,3803953,784633,6,2,Manufacturing,Private limited,Property,North,8,Yes,15,5,Yes,0
08000095,34,27897902,2583197,638381,519,3358,723778,21,1,Retail,Private limited,None,East,3,Yes,21,18,Yes,0
08000096,32,10501496,1407791,5615401,622,771765,-53519,25,2,Agriculture,Private limited,None,West,0,Yes,6,7,No,0
08000097,51,3669616,5920616,7845245,821,912102,181836,2,6,Manufacturing,Proprietorship,Deposit,West,5,No,9,0,No,1
08000098,63,19857110,393320,322183,522,814382,-66284,20,6,Manufacturing,Private limited,Deposit,North,2,No,25,8,No,0
08000099,24,29651978,4716122,5267009,714,3215571,76818,11,0,Agriculture,Private limited,Deposit,East,6,Yes,3,10,No,1
08000100,51,14350686,4252638,798010,666,1255382,316940,2,5,Manufacturing,Private limited,None,North,3,Yes,4,7,No,1
08000101,35,3918967,2925570,5411794,714,987974,451724,5,0,Manufacturing,Private limited,Property,North,1,No,20,6,No,0
08000102,35,19781094,5222821,4733643,591,1570873,-1569,20,2,Agriculture,Proprietorship,None,West,1,No,9,3,No,1
08000103,44,20015733,7155114,7438554,587,3895938,824210,14,4,Services,Partnership,None,North,5,No,22,23,Yes,0
08000104,44,9517283,4707365,6092735,774,2014676,661994,25,5,Manufacturing,Private limited,None,North,5,No,17,18,Yes,1
08000105,55,33864475,6137499,680154,601,2832914,247580,9,3,Manufacturing,Proprietorship,Deposit,East,4,No,13,14,Yes,0
08000106,34,31553616,4419955,7468319,695,2460223,450270,1,7,Agriculture,Partnership,None,East,3,Yes,17,9,No,0
08000107,28,27472079,5967139,4227465,673,3052046,350688,21,3,Services,Private limited,None,South,1,Yes,3,21,Yes,0
08000108,23,13665245,1550224,5386564,788,1279552,365800,9,3,Services,Partnership,None,North,6,No,24,4,No,1
08000109,44,8502229,2934871,5406868,643,3123046,467924,17,7,Services,Private limited,Property,East,0,Yes,16,1,No,1
08000110,58,34132389,7861918,7269873,743,748367,489997,19,2,Manufacturing,Proprietorship,Deposit,East,4,No,11,21,Yes,1
08000111,35,28993458,4906346,1502201,696,502511,633208,17,0,Services,Partnership,None,East,7,No,8,21,No,0
08000112,38,28113167,6315829,549126,521,1812437,56721,11,4,Agriculture,Proprietorship,Deposit,East,6,Yes,20,18,Yes,0
08000113,61,31526473,187765,4352379,537,625069,849574,11,1,Manufacturing,Private limited,None,North,7,Yes,16,11,Yes,0
08000114,34,1981233,1582204,6385422,623,1915449,594502,17,3,Retail,Partnership,Deposit,East,6,No,8,7,No,0
08000115,45,7118702,7229500,6722231,704,947577,795865,25,5,Services,Private limited,None,South,7,No,19,5,No,1
08000116,67,31283852,7988414,6644065,562,2013434,145689,6,1,Retail,Partnership,None,West,3,No,11,22,No,1
08000117,49,16457937,3041748,3731865,528,1135791,-20616,14,1,Retail,Proprietorship,Deposit,South,5,No,13,5,No,0
08000118,64,10944923,-148425,7889555,767,1151368,531054,19,1,Manufacturing,Proprietorship,None,North,7,No,18,25,No,0
08000119,24,25613709,3020349,7956938,516,2547260,299311,15,7,Services,Private limited,None,East,6,No,23,10,Yes,1
08000120,50,31949857,286013,4261392,774,880369,715150,0,5,Agriculture,Partnership,Property,South,4,No,17,0,Yes,1
08000121,25,12181932,2190070,7305765,664,744399,4413,22,2,Services,Partnership,None,North,3,No,21,25,No,0
08000122,31,16442093,475613,2415026,810,238347,482341,0,1,Retail,Partnership,Deposit,North,3,No,13,23,No,1
08000123,31,7052638,7360405,575010,850,85216,249914,15,7,Services,Partnership,Property,East,7,No,8,0,Yes,1
08000124,35,8035896,7512518,7461391,812,3428644,178825,24,7,Services,Partnership,Property,West,6,No,5,9,Yes,1
08000125,41,34263497,5442949,4428350,703,1557759,58377,25,0,Services,Partnership,Deposit,West,5,Yes,8,8,Yes,1
08000126,49,33712223,7176726,2723375,577,1366631,203036,10,4,Agriculture,Proprietorship,None,South,4,No,9,16,No,1
08000127,62,30824190,1815657,4244940,553,1192767,-7877,5,4,Agriculture,Partnership,None,West,6,No,16,12,Yes,1
08000128,47,10364368,7002071,5840885,846,3287221,496879,25,1,Services,Private limited,Property,North,1,Yes,19,2,Yes,0
08000129,29,12318183,6117044,3718906,672,447435,539871,17,4,Retail,Proprietorship,Deposit,West,4,Yes,5,5,No,1
08000130,63,1772645,-106040,2263780,712,2858890,558842,8,4,Retail,Private limited,Property,East,4,No,17,22,No,1
08000131,30,5665564,2044479,5648523,558,1341132,156227,11,1,Retail,Proprietorship,Deposit,North,6,No,22,19,No,0
08000132,66,12685418,1410490,2161757,680,1960778,683825,18,0,Services,Proprietorship,None,West,2,Yes,11,1,Yes,0
08000133,68,26424530,1853479,5103440,504,1415367,742435,6,6,Services,Proprietorship,Property,North,1,No,5,22,No,1
08000134,48,28153443,4126130,5357770,746,1171402,-25268,10,3,Retail,Proprietorship,Deposit,West,6,No,13,19,No,0
08000135,65,30227324,3683411,6229136,703,978911,6021,10,7,Retail,Partnership,Deposit,East,6,Yes,12,13,No,1
08000136,58,10565923,5500055,4168655,496,660010,171072,5,1,Manufacturing,Proprietorship,Property,North,7,No,16,4,No,1
08000137,53,2992646,1629546,3478248,653,2091589,746307,21,6,Services,Private limited,None,North,3,No,0,9,No,0
08000138,52,1508568,2865733,5638971,843,2146821,836966,20,6,Services,Proprietorship,None,East,8,No,25,18,No,0
08000139,62,25904412,7995174,416704,592,3919766,683124,15,7,Manufacturing,Proprietorship,None,North,4,Yes,9,11,No,1
08000140,41,31411869,1981563,3992955,590,2343311,338925,20,0,Manufacturing,Private limited,Deposit,West,5,No,11,8,Yes,0
08000141,59,26539198,6552970,3787840,744,1780627,536671,1,3,Manufacturing,Proprietorship,Deposit,South,1,Yes,5,7,No,1
08000142,51,17995079,7747387,7747934,613,2426792,188232,24,4,Retail,Partnership,Property,South,1,Yes,15,22,Yes,1
08000143,48,14307114,4647580,896273,721,3090228,722528,8,7,Services,Private limited,None,North,0,Yes,25,5,No,1
08000144,35,33102200,3854805,3963899,786,1492481,523397,25,3,Manufacturing,Private limited,Property,South,2,No,9,13,Yes,1
08000145,59,29504957,7359022,6583796,548,1114154,820726,5,2,Services,Private limited,Deposit,West,1,Yes,12,23,No,0
08000146,43,5312127,2714456,1839714,719,2420967,23210,5,6,Services,Private limited,None,West,4,No,5,3,Yes,1
08000147,55,32151818,6161650,1780384,698,1795989,762439,2,0,Manufacturing,Partnership,Deposit,North,6,Yes,12,11,No,0
08000148,25,26028637,1852238,5191771,612,735657,689634,20,4,Agriculture,Private limited,None,East,8,Yes,9,10,No,0
08000149,54,18893363,3747154,3118648,692,2486500,-27502,5,1,Services,Proprietorship,None,West,5,Yes,0,19,Yes,0
08000150,29,17490872,5568678,5220851,693,2040308,-23101,2,2,Agriculture,Partnership,Property,West,3,No,11,0,Yes,1
08000151,49,25782701,7525811,4351002,621,820428,612015,13,5,Manufacturing,Proprietorship,Deposit,North,7,No,18,7,Yes,1
08000152,36,7716384,1236540,6358589,565,3392174,426404,23,6,Manufacturing,Partnership,Deposit,South,8,Yes,6,24,Yes,0
08000153,22,4184028,-81493,6122610,642,267638,78379,6,4,Agriculture,Partnership,Deposit,North,6,No,17,20,No,0
08000154,36,6875497,4413197,2313232,603,2650270,135692,5,3,Services,Partnership,None,South,3,Yes,15,1,Yes,0
08000155,59,21891599,5839920,1379840,773,1146925,145906,14,6,Agriculture,Private limited,None,West,1,Yes,9,20,Yes,1
08000156,35,12187783,6317524,6115790,686,364469,610623,25,4,Manufacturing,Private limited,None,West,5,No,9,11,No,0
08000157,53,10226817,4880108,627816,612,630816,600713,14,5,Agriculture,Partnership,None,East,6,No,3,2,No,1
08000158,21,31821858,1668565,1864292,714,2256842,-26245,8,3,Agriculture,Proprietorship,Deposit,East,6,No,1,19,Yes,0
08000159,33,7958843,3842033,7409535,535,1635888,407727,5,5,Retail,Private limited,Property,West,8,Yes,8,18,Yes,0
08000160,53,14509347,2029616,338500,748,3689685,6854,22,0,Services,Partnership,Property,West,5,No,8,11,No,0
08000161,69,1254271,2343705,4920603,567,740798,623777,5,2,Retail,Private limited,Deposit,South,2,No,22,6,No,0
08000162,61,20755736,2816032,7870032,561,1590528,-60831,13,5,Services,Partnership,None,East,3,Yes,20,5,No,0
08000163,31,11526217,1691054,6663004,719,3176757,609930,12,0,Manufacturing,Proprietorship,None,West,2,No,15,3,Yes,0
08000164,27,27478059,3905646,4535886,698,2250364,632902,15,5,Agriculture,Partnership,Deposit,South,0,Yes,11,21,Yes,1
08000165,24,17906584,3732431,7310465,796,2504314,39504,17,0,Retail,Partnership,Property,East,8,Yes,23,14,No,0
08000166,68,31870255,5731641,6797829,665,82804,629630,15,0,Retail,Private limited,Property,North,0,No,11,24,No,1
08000167,64,22296281,2717683,5425994,493,3079891,141140,20,5,Manufacturing,Partnership,Deposit,East,7,No,13,9,Yes,0
08000168,40,28973759,7200354,3422982,762,3942923,806139,5,5,Services,Private limited,None,West,5,No,4,13,No,0
08000169,24,27797269,1594446,7559029,797,2898649,66050,13,2,Retail,Private limited,Property,East,0,No,10,8,No,1
08000170,42,12692732,1723558,1012378,644,542716,696485,4,5,Manufacturing,Private limited,Deposit,North,0,Yes,2,0,No,1
08000171,43,9964086,3316506,7299771,785,1028258,230929,21,1,Manufacturing,Private limited,Deposit,South,2,No,15,25,No,0
08000172,32,18563217,4665137,5994512,694,1450964,577555,5,4,Manufacturing,Private limited,Deposit,South,6,No,6,21,Yes,0
08000173,59,2159228,969949,413037,595,3171702,734215,11,2,Retail,Partnership,Property,South,4,No,14,13,Yes,1
08000174,32,19885754,2725268,3396141,532,1362470,337283,20,1,Services,Partnership,None,East,7,No,3,20,No,0
08000175,50,25560664,7447766,6277114,719,1544146,228165,2,1,Retail,Partnership,Deposit,South,3,No,22,9,Yes,1
08000176,29,11031655,3856940,4242361,629,2446437,425506,23,5,Services,Proprietorship,Deposit,South,0,Yes,0,25,No,1
08000177,62,18302219,6012973,3726596,722,2588928,-37174,18,7,Manufacturing,Proprietorship,Deposit,North,8,Yes,14,17,No,1
08000178,55,30979646,5490065,447526,647,2260296,439072,23,2,Agriculture,Private limited,None,South,0,Yes,25,11,No,1
08000179,69,29610211,2491726,7657698,725,1705356,451038,14,0,Services,Private limited,Deposit,South,6,Yes,1,3,No,1
08000180,42,12797822,3910411,7043834,739,2573256,655172,19,2,Agriculture,Private limited,None,South,6,Yes,16,12,No,0
08000181,47,11412829,1380014,7296954,623,3977756,332051,17,4,Agriculture,Partnership,Deposit,South,4,Yes,13,22,No,0
08000182,28,12252299,2573367,3133452,577,3008525,45441,5,2,Services,Partnership,None,South,5,No,23,11,Yes,0
08000183,33,28960475,3851233,3112670,486,278972,440999,15,5,Agriculture,Proprietorship,Property,South,1,No,17,18,Yes,0
08000184,64,12652890,1505790,7066099,591,1201254,806618,16,7,Retail,Partnership,Property,North,0,No,4,11,No,1
08000185,43,12586157,2777111,6405989,705,1705889,744913,3,7,Retail,Private limited,Property,East,5,Yes,20,20,No,1
08000186,38,22882423,5684868,4278928,589,1467355,100461,12,0,Manufacturing,Partnership,Deposit,West,7,Yes,6,7,Yes,0
08000187,23,18151878,1461661,6378090,757,2271131,143777,13,4,Manufacturing,Private limited,Property,East,6,Yes,20,7,No,0
08000188,50,15186443,3014679,7223387,723,3462749,456862,6,2,Manufacturing,Private limited,None,North,1,Yes,1,18,No,0
08000189,30,21991074,3608626,7009564,624,119340,97380,13,7,Services,Proprietorship,Property,East,5,No,5,10,No,1
08000190,60,10867727,6163177,7216046,817,1117024,387654,21,7,Retail,Proprietorship,Deposit,North,3,No,6,12,Yes,1
08000191,38,16851539,3225638,3401823,529,1758550,414969,13,3,Agriculture,Proprietorship,Deposit,East,3,No,19,2,No,0
08000192,39,23294344,7545187,2866252,629,3629888,723555,16,1,Services,Proprietorship,Deposit,West,1,Yes,23,2,Yes,1
08000193,46,20994255,4112321,806119,828,3434827,210682,17,5,Manufacturing,Private limited,Property,North,4,Yes,5,16,No,1
08000194,41,1324435,2617339,2680851,815,279234,235562,10,1,Agriculture,Partnership,None,East,3,Yes,11,9,No,1
08000195,30,23180227,5705376,1287485,502,3127407,169913,13,6,Agriculture,Private limited,Deposit,North,2,Yes,19,17,Yes,0
08000196,28,18010692,1325328,3500540,649,2678309,790836,22,3,Manufacturing,Private limited,Property,East,0,No,19,1,Yes,1
08000197,44,30024391,481054,7730018,500,3973201,595495,20,1,Services,Proprietorship,None,North,1,Yes,4,14,Yes,0
08000198,38,4083253,6642207,2448481,548,1273525,639174,9,0,Retail,Partnership,Deposit,South,0,No,24,0,No,0
08000199,37,2940341,4499300,6087414,721,3459878,544318,9,4,Retail,Proprietorship,Deposit,South,6,No,11,18,Yes,0
08000200,37,30403520,7128268,5854917,736,684260,-50349,10,7,Retail,Partnership,Property,North,3,No,15,10,No,0
08000201,52,22229197,4166561,4479524,629,295719,430707,21,5,Services,Partnership,Deposit,East,7,Yes,21,7,No,1
08000202,56,31994519,2904098,3619506,664,3673837,415768,14,5,Retail,Partnership,Property,East,6,No,18,20,Yes,0
08000203,60,32477985,6778063,3055032,819,3496313,229484,4,5,Manufacturing,Partnership,Property,West,7,Yes,25,15,No,1
08000204,31,28612299,4309035,4264630,757,3330597,232432,23,1,Manufacturing,Partnership,Deposit,West,1,No,5,3,Yes,1
08000205,40,6905534,2363017,5943247,621,189753,195210,12,0,Agriculture,Private limited,Deposit,North,0,No,5,20,Yes,0
08000206,38,8944781,6808967,1878163,708,1577360,191772,14,3,Retail,Proprietorship,Deposit,North,2,No,10,8,Yes,1
08000207,68,32992721,775501,243240,535,1918382,545820,23,6,Agriculture,Proprietorship,None,North,2,No,11,5,Yes,1
08000208,52,27134859,6710930,6465949,594,2811638,136722,4,0,Retail,Partnership,Property,West,7,Yes,8,13,No,1
08000209,49,31268520,833183,2158829,668,372811,49752,10,6,Manufacturing,Partnership,Deposit,North,7,No,0,0,No,0
08000210,28,15878515,1626960,3685636,605,1564606,98864,5,1,Retail,Private limited,Deposit,North,7,Yes,5,22,No,0
08000211,63,6885239,2707054,1869603,803,2012372,84045,9,1,Manufacturing,Partnership,Deposit,West,6,Yes,7,17,No,0
08000212,45,34741885,3286167,356258,500,2823612,532612,12,5,Services,Proprietorship,Property,East,5,No,14,16,No,0
08000213,41,16554941,4064753,1628716,836,2904497,528553,8,3,Agriculture,Private limited,None,East,7,Yes,21,7,No,1
08000214,32,19734091,4778658,3919255,589,1501724,818822,4,3,Services,Private limited,Deposit,West,5,Yes,18,19,No,1
08000215,39,2983010,1916340,5821715,721,1135088,151166,7,2,Services,Proprietorship,Deposit,West,2,No,19,20,Yes,1
08000216,55,33287571,6538931,4339545,577,2097307,207801,0,6,Services,Proprietorship,Deposit,South,5,Yes,11,20,Yes,1
08000217,39,22139088,2514322,5382767,672,805892,797581,20,2,Agriculture,Partnership,Deposit,East,4,No,0,16,No,0
08000218,69,32592869,3256809,5873896,694,3127938,328238,9,0,Retail,Partnership,Property,East,0,No,15,15,No,0
08000219,67,21347429,2748591,7274132,662,2162358,687375,19,7,Agriculture,Proprietorship,Property,East,6,Yes,3,1,Yes,0
08000220,40,15332205,7833456,586783,796,1720188,158518,7,7,Retail,Private limited,None,West,0,No,19,2,No,1
08000221,47,2889230,5253311,5329591,546,2267821,697033,24,1,Retail,Partnership,Property,North,0,Yes,6,5,No,0
08000222,67,22988363,1077412,2627481,571,3639126,34778,9,3,Services,Partnership,None,South,7,Yes,8,25,No,0
08000223,47,20009060,4632990,4657186,708,213353,249460,22,4,Agriculture,Private limited,None,North,4,Yes,13,25,No,0
08000224,21,16439198,2028459,7165414,805,2041710,691383,22,3,Manufacturing,Private limited,None,West,5,No,25,5,Yes,0
08000225,46,24941611,5805084,7562095,755,3221019,186664,1,5,Services,Partnership,Property,West,3,Yes,19,16,Yes,1
08000226,60,20849556,1718662,4874877,763,3373453,727881,0,5,Manufacturing,Partnership,Deposit,South,5,Yes,2,5,No,1
08000227,64,16815650,3966881,1876597,637,47930,527852,8,0,Retail,Private limited,Deposit,South,2,Yes,18,5,Yes,0
