customer_id,age,tenure_months,average_balance_inr,products_held,monthly_transactions,complaints_6m,mobile_logins_30d,fee_charges_6m,days_since_last_login,salary_credit,has_credit_card,account_type,service_rating,branch_region,preferred_channel,relationship_tier,missed_calls_3m,autopay_enabled,churned
04000018,58,33,30,2,29,7,13,3,29,Yes,No,Salary,2,Metro,Branch,Standard,8,No,0
04000019,60,26,55,2,66,8,25,5,109,No,No,Salary,1,Rural,Phone,Gold,2,Yes,0
04000020,55,14,50,6,35,3,16,5,147,No,Yes,Salary,5,Rural,Branch,Standard,7,No,1
04000021,60,66,44,1,43,0,3,8,139,Yes,Yes,Current,5,Rural,Phone,Platinum,5,Yes,0
04000022,34,24,41,1,73,6,27,9,40,Yes,No,Current,4,Rural,Phone,Platinum,6,Yes,1
04000023,38,17,53,2,36,0,5,1,146,Yes,Yes,Current,5,Metro,Branch,Platinum,8,Yes,1
04000024,56,66,31,6,28,8,42,1,125,No,No,Savings,5,Metro,Phone,Standard,9,No,1
04000025,62,40,54,5,65,4,31,9,115,Yes,No,Savings,2,Rural,Branch,Gold,8,No,1
04000026,63,53,27,4,81,2,44,3,67,Yes,Yes,Current,5,Urban,App,Platinum,8,No,1
04000027,46,14,49,1,52,7,32,2,54,No,Yes,Salary,2,Metro,Branch,Platinum,8,Yes,0
04000028,47,3,61,2,54,7,15,6,174,Yes,No,Savings,4,Metro,Phone,Gold,5,No,1
04000029,28,50,37,1,70,8,2,4,180,No,Yes,Current,4,Metro,Phone,Standard,1,No,1
04000030,32,79,39,5,31,6,44,2,143,No,Yes,Current,1,Rural,App,Platinum,6,Yes,1
04000031,31,57,62,3,17,1,5,0,58,Yes,Yes,Current,5,Urban,Phone,Standard,2,No,0
04000032,28,52,34,5,32,6,16,9,120,Yes,Yes,Salary,5,Rural,Branch,Gold,2,No,1
04000033,25,5,34,3,68,8,1,4,125,No,No,Salary,4,Metro,Phone,Platinum,2,No,0
04000034,44,49,49,4,37,6,16,4,96,No,Yes,Savings,2,Urban,Phone,Platinum,7,Yes,0
04000035,24,39,24,6,83,6,23,0,104,Yes,No,Current,5,Urban,Branch,Standard,9,No,1
04000036,38,79,40,5,18,0,1,1,154,Yes,No,Savings,1,Urban,App,Platinum,2,No,1
04000037,27,32,45,5,65,6,15,4,147,No,Yes,Current,5,Urban,Phone,Gold,6,Yes,0
04000038,26,68,54,2,81,4,26,7,129,Yes,No,Savings,3,Rural,Branch,Gold,9,No,0
04000039,45,34,22,6,15,7,40,5,148,No,No,Savings,4,Rural,Branch,Platinum,3,Yes,1
04000040,57,57,66,1,9,1,0,7,29,Yes,No,Current,5,Metro,Phone,Gold,9,No,0
04000041,42,42,43,3,59,6,24,6,18,No,No,Salary,4,Rural,Branch,Standard,0,Yes,0
04000042,29,8,56,3,3,1,47,2,144,Yes,Yes,Current,3,Metro,Phone,Gold,6,No,1
04000043,55,6,21,2,48,8,49,0,16,Yes,No,Savings,3,Metro,Branch,Gold,2,No,0
04000044,34,23,63,2,43,3,49,10,29,No,No,Savings,5,Metro,Branch,Gold,3,Yes,1
04000045,21,49,31,1,61,2,39,7,132,No,Yes,Salary,5,Rural,Phone,Gold,5,No,1
04000046,52,51,23,1,61,6,33,5,108,Yes,No,Current,3,Rural,App,Gold,5,Yes,1
04000047,59,29,38,6,61,3,13,3,179,Yes,No,Salary,3,Urban,Phone,Gold,0,No,0
04000048,46,22,47,3,81,6,2,7,155,No,Yes,Savings,3,Rural,App,Gold,5,Yes,1
04000049,67,10,21,5,74,8,27,7,20,No,Yes,Current,2,Metro,Branch,Platinum,1,No,1
04000050,67,70,45,4,67,8,51,3,157,No,Yes,Salary,3,Rural,Phone,Standard,9,Yes,0
04000051,65,68,63,2,34,1,38,1,40,Yes,No,Savings,5,Rural,App,Platinum,0,Yes,1
04000052,67,28,36,5,82,0,38,5,20,No,No,Savings,2,Rural,Phone,Gold,8,No,0
04000053,64,28,39,3,70,7,29,5,165,No,Yes,Savings,3,Metro,Phone,Platinum,0,No,0
04000054,38,10,41,1,78,5,48,8,122,Yes,No,Salary,1,Metro,Phone,Standard,7,Yes,1
04000055,66,6,32,3,5,1,36,8,88,Yes,Yes,Current,5,Urban,Branch,Standard,8,Yes,0
04000056,21,57,54,2,63,4,16,10,109,Yes,No,Salary,4,Metro,Phone,Platinum,1,No,0
04000057,42,14,62,1,77,2,50,5,101,Yes,No,Savings,1,Urban,App,Standard,9,Yes,0
04000058,26,21,24,1,5,6,38,4,173,Yes,Yes,Salary,1,Rural,Phone,Gold,6,Yes,1
04000059,61,28,37,3,19,1,36,9,94,No,Yes,Salary,2,Metro,Branch,Platinum,0,No,0
04000060,24,13,54,1,70,7,51,1,27,Yes,No,Current,5,Rural,App,Platinum,7,No,0
04000061,36,22,36,4,45,1,32,7,35,No,Yes,Savings,5,Urban,Phone,Gold,9,No,0
04000062,30,20,31,4,63,4,13,3,54,Yes,No,Current,1,Metro,Branch,Gold,4,No,0
04000063,40,5,51,2,22,2,36,10,84,No,Yes,Savings,4,Urban,Phone,Standard,7,No,0
04000064,56,69,67,4,15,5,55,0,162,No,Yes,Current,1,Rural,Branch,Gold,10,Yes,0
04000065,49,14,61,1,41,5,29,4,102,No,Yes,Savings,2,Urban,App,Standard,8,No,0
04000066,37,62,61,2,10,3,17,5,97,Yes,No,Current,1,Rural,Branch,Gold,6,Yes,0
04000067,44,0,21,2,35,6,11,0,38,Yes,Yes,Current,1,Urban,App,Gold,9,Yes,0
04000068,40,76,22,1,8,5,36,5,171,Yes,Yes,Savings,1,Urban,App,Standard,4,No,1
04000069,28,4,29,6,75,3,33,9,28,Yes,No,Current,5,Rural,App,Standard,10,No,1
04000070,50,80,54,1,42,3,28,5,21,Yes,Yes,Savings,4,Urban,Phone,Platinum,5,No,0
04000071,64,62,57,1,34,8,44,5,172,Yes,Yes,Current,2,Rural,App,Gold,0,Yes,1
04000072,45,20,40,1,69,3,21,7,110,Yes,Yes,Savings,2,Rural,Branch,Platinum,1,Yes,1
04000073,48,83,30,2,9,7,1,0,59,Yes,No,Savings,2,Metro,Phone,Gold,6,Yes,0
04000074,60,77,55,3,71,1,50,7,53,No,Yes,Salary,2,Rural,Branch,Gold,10,Yes,1
04000075,54,42,51,1,29,4,22,2,125,Yes,Yes,Savings,4,Rural,Phone,Platinum,0,No,0
04000076,66,19,39,2,21,4,12,5,155,Yes,No,Salary,2,Urban,Branch,Platinum,10,Yes,1
04000077,54,80,60,6,57,6,40,4,118,Yes,Yes,Salary,4,Rural,App,Platinum,2,No,0
04000078,41,73,21,1,13,8,23,1,4,Yes,Yes,Current,1,Metro,Branch,Standard,9,No,0
04000079,37,68,59,6,9,2,40,5,175,Yes,No,Savings,2,Rural,Phone,Platinum,8,No,1
04000080,28,18,48,5,80,7,24,1,42,Yes,Yes,Salary,3,Rural,Branch,Gold,4,No,1
04000081,27,9,50,5,5,7,47,7,15,No,No,Current,2,Metro,Phone,Gold,8,Yes,1
04000082,38,12,30,4,55,4,24,0,59,Yes,No,Current,3,Urban,Phone,Gold,2,No,1
04000083,42,56,45,2,79,1,3,10,10,No,No,Salary,4,Metro,App,Standard,1,No,0
04000084,55,18,42,4,37,4,2,0,78,Yes,Yes,Salary,3,Metro,App,Gold,10,No,1
04000085,31,22,50,3,39,7,0,0,9,No,No,Salary,1,Metro,App,Standard,0,Yes,0
04000086,60,12,21,3,43,2,55,7,123,Yes,No,Current,5,Urban,Branch,Gold,9,No,1
04000087,61,13,23,2,3,2,36,5,77,No,No,Current,2,Rural,App,Gold,4,No,1
04000088,45,81,35,2,54,3,43,7,176,Yes,No,Salary,2,Metro,App,Gold,5,No,0
04000089,41,37,47,2,1,8,49,3,56,Yes,No,Current,2,Rural,App,Platinum,2,Yes,1
04000090,46,79,38,3,5,1,24,10,91,No,No,Savings,3,Rural,Branch,Gold,10,No,1
04000091,29,8,61,4,39,6,48,7,173,Yes,No,Salary,5,Rural,Branch,Gold,1,Yes,1
04000092,45,33,29,5,52,4,7,1,148,Yes,No,Current,2,Rural,Phone,Standard,5,Yes,1
04000093,30,43,65,4,21,4,9,2,46,No,Yes,Current,3,Urban,Phone,Standard,6,No,1
04000094,44,7,60,1,22,2,50,10,124,No,No,Current,1,Rural,App,Platinum,0,Yes,0
04000095,45,79,63,4,65,5,25,2,58,No,No,Salary,1,Rural,Branch,Standard,3,Yes,0
04000096,43,32,44,6,66,0,35,7,78,Yes,No,Current,3,Urban,Phone,Platinum,8,No,0
04000097,30,22,46,4,26,8,48,8,10,No,Yes,Salary,5,Urban,App,Platinum,6,No,1
04000098,59,10,68,4,61,7,4,6,141,Yes,No,Salary,3,Urban,Branch,Platinum,6,No,0
04000099,37,22,68,5,76,3,48,9,93,Yes,No,Savings,1,Metro,App,Gold,10,Yes,1
04000100,47,6,50,1,21,6,2,6,122,Yes,No,Salary,3,Metro,Branch,Platinum,10,Yes,1
04000101,25,40,23,4,0,8,45,2,142,Yes,Yes,Current,2,Metro,Branch,Gold,9,No,1
04000102,31,57,25,5,80,4,38,8,0,No,Yes,Salary,4,Metro,Branch,Gold,8,No,1
04000103,29,26,63,1,11,6,51,8,5,Yes,No,Savings,1,Urban,Branch,Gold,4,No,1
04000104,42,1,26,4,20,0,9,9,73,Yes,No,Savings,5,Rural,App,Gold,10,Yes,1
04000105,41,11,51,2,68,5,30,7,133,No,Yes,Salary,2,Metro,Branch,Standard,1,No,1
04000106,21,58,64,6,13,4,40,9,32,Yes,No,Savings,3,Metro,Phone,Standard,7,No,0
04000107,27,76,68,2,12,8,44,5,17,No,No,Current,2,Urban,App,Gold,5,No,0
04000108,59,14,31,3,12,5,24,6,170,No,No,Salary,4,Urban,App,Platinum,7,Yes,1
04000109,66,25,46,5,9,6,36,6,66,Yes,No,Salary,2,Metro,App,Platinum,3,Yes,0
04000110,37,28,42,5,68,3,44,8,177,No,Yes,Current,3,Rural,Branch,Gold,8,Yes,1
04000111,21,50,51,6,64,6,54,2,87,No,Yes,Salary,4,Rural,Branch,Platinum,9,No,0
04000112,62,8,67,2,84,3,47,3,84,No,No,Savings,1,Urban,Branch,Standard,2,No,0
04000113,67,9,65,4,35,4,17,2,157,Yes,No,Salary,5,Rural,App,Gold,8,Yes,0
04000114,28,14,36,3,84,3,55,10,50,No,No,Salary,1,Urban,Phone,Gold,7,No,1
04000115,36,17,44,5,28,1,4,7,54,No,Yes,Savings,3,Metro,Branch,Gold,9,No,0
04000116,42,66,33,1,62,3,33,3,155,Yes,No,Current,3,Urban,Phone,Standard,7,No,0
04000117,21,30,37,6,61,0,44,9,69,Yes,No,Savings,1,Urban,App,Standard,8,No,1
04000118,45,63,65,1,55,7,24,7,14,Yes,Yes,Current,5,Urban,App,Standard,6,No,0
04000119,47,58,23,5,14,1,34,2,59,Yes,Yes,Salary,2,Rural,Branch,Platinum,3,No,0
04000120,32,30,66,1,21,6,7,1,126,Yes,Yes,Current,1,Rural,Phone,Platinum,2,No,0
04000121,48,75,57,6,74,1,25,2,111,Yes,No,Savings,2,Metro,Branch,Platinum,2,No,1
04000122,24,19,49,1,9,6,50,3,11,Yes,No,Savings,1,Metro,App,Gold,2,No,0
04000123,52,3,67,2,78,5,54,2,141,No,No,Salary,1,Metro,App,Standard,10,No,1
04000124,43,16,26,4,33,3,16,5,89,No,No,Salary,1,Rural,Phone,Gold,2,Yes,1
04000125,69,63,46,5,17,7,37,8,115,Yes,Yes,Salary,2,Metro,Branch,Platinum,6,Yes,0
04000126,52,34,41,2,28,4,3,0,2,Yes,No,Current,3,Rural,Branch,Standard,3,Yes,0
04000127,56,67,25,3,47,0,22,9,99,Yes,Yes,Current,3,Metro,Phone,Standard,3,Yes,0
04000128,22,47,58,5,5,4,6,0,50,Yes,No,Current,3,Rural,Branch,Platinum,3,Yes,1
04000129,62,77,47,6,25,8,47,9,138,No,No,Savings,2,Metro,Branch,Platinum,9,Yes,1
04000130,55,55,54,5,46,6,38,0,71,Yes,No,Current,2,Metro,Branch,Standard,2,Yes,0
04000131,28,36,49,5,12,8,23,7,110,No,No,Savings,2,Rural,App,Gold,0,No,1
04000132,32,82,50,1,80,7,14,6,176,Yes,No,Salary,3,Metro,App,Platinum,9,Yes,1
04000133,60,19,62,5,42,4,32,6,64,Yes,No,Savings,5,Metro,Branch,Standard,1,No,0
04000134,55,63,30,3,43,0,13,2,1,No,Yes,Salary,1,Rural,Phone,Standard,1,No,0
04000135,33,53,59,4,84,2,48,6,65,Yes,No,Savings,5,Urban,Branch,Gold,8,No,0
04000136,61,20,63,3,12,2,34,3,144,Yes,No,Salary,1,Rural,Branch,Gold,9,No,1
04000137,29,81,40,1,43,1,3,3,59,Yes,Yes,Current,5,Urban,Branch,Platinum,10,No,0
04000138,23,26,24,5,47,6,35,5,125,No,Yes,Salary,1,Metro,Phone,Standard,6,No,1
04000139,34,67,27,4,81,0,41,3,55,Yes,Yes,Salary,2,Urban,Branch,Platinum,6,No,0
04000140,47,80,42,2,40,2,22,10,60,No,No,Salary,2,Metro,Phone,Platinum,0,Yes,0
04000141,60,52,28,4,79,0,24,8,100,Yes,Yes,Savings,5,Metro,Branch,Platinum,5,No,1
04000142,48,68,36,4,3,8,7,6,155,No,No,Salary,1,Urban,Branch,Gold,2,No,1
04000143,29,50,21,5,56,1,51,3,145,No,Yes,Savings,5,Rural,App,Standard,0,No,1
04000144,27,63,46,3,53,4,26,8,49,No,Yes,Salary,3,Urban,Branch,Standard,10,Yes,1
04000145,49,83,27,1,70,5,34,2,106,Yes,No,Salary,1,Metro,Phone,Gold,7,Yes,0
04000146,31,32,38,3,2,0,16,7,116,Yes,Yes,Salary,3,Urban,App,Platinum,6,Yes,0
04000147,29,23,52,2,70,2,22,4,79,No,No,Savings,4,Rural,Branch,Gold,4,Yes,0
04000148,48,61,51,3,12,1,55,1,116,No,Yes,Savings,2,Metro,Branch,Gold,1,No,0
04000149,45,26,55,1,26,5,23,8,121,Yes,No,Current,3,Rural,App,Standard,0,Yes,1
04000150,23,22,54,1,74,5,5,6,87,Yes,Yes,Salary,5,Metro,App,Standard,10,Yes,1
04000151,68,45,26,5,38,7,20,8,141,Yes,No,Salary,2,Urban,Phone,Gold,2,No,1
04000152,40,56,37,5,49,0,5,9,154,Yes,No,Current,4,Rural,Branch,Standard,9,Yes,1
04000153,21,31,40,3,17,3,26,5,96,No,Yes,Salary,3,Rural,Branch,Platinum,0,No,1
04000154,53,38,41,3,69,4,28,7,161,Yes,Yes,Savings,1,Rural,App,Gold,10,Yes,0
04000155,48,0,42,1,32,0,55,0,34,Yes,No,Salary,4,Urban,Branch,Gold,9,Yes,0
04000156,46,40,38,6,24,0,18,8,160,No,Yes,Savings,2,Metro,Branch,Gold,4,No,1
04000157,40,69,34,1,35,6,43,1,128,Yes,Yes,Salary,2,Metro,Branch,Standard,7,No,1
04000158,37,20,66,5,78,0,50,9,26,No,Yes,Savings,2,Urban,App,Platinum,3,No,1
04000159,54,34,54,6,0,0,53,8,84,No,Yes,Salary,5,Metro,Branch,Gold,5,Yes,0
04000160,35,7,57,1,10,1,52,6,123,Yes,Yes,Salary,3,Rural,Phone,Platinum,2,Yes,0
04000161,33,41,38,6,62,5,0,2,109,Yes,Yes,Current,4,Urban,Phone,Gold,8,Yes,1
04000162,29,37,47,1,50,3,39,6,144,Yes,No,Savings,5,Rural,Phone,Platinum,0,Yes,0
04000163,37,9,65,1,71,7,31,7,19,No,Yes,Savings,1,Rural,App,Gold,10,No,0
04000164,33,50,25,5,0,4,2,10,178,Yes,Yes,Current,1,Urban,App,Platinum,4,No,1
04000165,23,21,69,1,22,4,18,0,10,No,Yes,Current,2,Urban,Phone,Platinum,1,Yes,0
04000166,64,8,32,1,83,1,4,7,84,Yes,Yes,Current,3,Metro,Phone,Gold,0,Yes,0
04000167,48,59,41,1,22,6,9,5,30,Yes,No,Salary,1,Urban,Branch,Gold,5,No,0
04000168,26,84,23,6,67,3,2,1,81,No,Yes,Salary,1,Urban,Phone,Standard,0,Yes,0
04000169,26,73,49,1,32,6,54,9,54,Yes,Yes,Current,4,Metro,Branch,Platinum,4,Yes,0
04000170,26,6,40,3,75,2,7,4,58,No,Yes,Current,1,Rural,App,Standard,5,Yes,1
04000171,59,75,43,2,57,1,4,1,39,Yes,Yes,Savings,5,Urban,Phone,Gold,3,Yes,0
04000172,49,51,37,1,6,3,35,0,57,No,No,Current,2,Urban,Branch,Standard,7,Yes,0
04000173,44,62,48,6,30,3,33,1,32,No,No,Savings,3,Metro,Branch,Gold,8,No,1
04000174,67,23,54,1,32,1,22,8,95,No,Yes,Current,5,Metro,App,Standard,5,Yes,0
04000175,40,12,23,6,37,4,13,0,32,Yes,No,Salary,3,Urban,Branch,Platinum,10,No,1
04000176,30,3,51,2,72,4,40,3,169,Yes,Yes,Current,3,Urban,Branch,Gold,2,Yes,0
04000177,42,3,51,5,11,5,20,1,27,No,No,Salary,3,Urban,Phone,Platinum,3,Yes,1
04000178,67,35,62,4,31,2,55,0,30,No,Yes,Current,4,Urban,App,Standard,5,Yes,0
04000179,56,16,54,3,40,6,44,1,94,No,Yes,Salary,2,Metro,Branch,Gold,4,No,0
04000180,36,48,35,2,7,8,18,2,64,Yes,No,Savings,5,Metro,Branch,Gold,2,Yes,1
04000181,58,72,31,5,31,4,2,4,79,Yes,No,Current,4,Urban,Branch,Standard,8,No,0
04000182,31,83,35,5,1,4,10,9,16,Yes,No,Savings,4,Rural,Branch,Standard,0,Yes,1
04000183,33,4,21,1,41,6,51,10,3,No,Yes,Salary,1,Rural,Phone,Platinum,6,Yes,1
04000184,46,6,34,3,22,2,30,3,43,Yes,Yes,Current,5,Urban,App,Standard,8,No,1
04000185,65,34,60,3,30,2,32,5,16,No,Yes,Savings,4,Urban,App,Platinum,4,Yes,0
04000186,63,35,44,6,28,4,16,2,24,Yes,No,Salary,4,Urban,App,Platinum,4,No,1
04000187,59,49,58,4,75,8,27,9,180,Yes,Yes,Savings,3,Urban,Branch,Platinum,7,No,1
04000188,55,33,67,1,33,8,35,2,156,No,No,Salary,2,Metro,Branch,Gold,8,No,1
04000189,24,30,26,2,49,0,11,10,81,No,No,Savings,4,Urban,Branch,Gold,6,Yes,0
04000190,28,79,36,2,83,6,11,3,19,No,Yes,Salary,5,Metro,Phone,Standard,9,Yes,0
04000191,44,52,22,3,1,2,18,0,127,Yes,No,Savings,1,Urban,Phone,Gold,2,No,0
04000192,62,9,39,3,25,5,13,2,175,No,No,Savings,1,Metro,Phone,Platinum,5,No,1
04000193,32,59,66,6,82,1,20,8,126,Yes,Yes,Current,3,Metro,Branch,Platinum,8,Yes,0
04000194,62,66,40,5,30,1,12,1,81,Yes,Yes,Salary,2,Metro,App,Gold,2,Yes,0
04000195,27,75,26,4,59,5,55,7,150,Yes,No,Savings,2,Metro,Phone,Standard,2,Yes,1
04000196,45,27,21,3,77,0,41,3,142,Yes,Yes,Salary,4,Metro,Phone,Standard,5,No,0
04000197,64,2,50,2,60,1,53,0,163,Yes,Yes,Salary,2,Urban,App,Platinum,2,Yes,1
04000198,32,52,22,3,15,1,34,1,119,Yes,Yes,Salary,3,Urban,App,Standard,8,Yes,1
04000199,30,25,66,4,60,4,9,10,107,Yes,No,Current,5,Rural,Branch,Standard,5,Yes,0
04000200,47,14,54,1,78,8,16,0,69,Yes,Yes,Savings,4,Metro,Phone,Standard,0,Yes,0
04000201,42,40,50,1,59,0,41,6,35,No,Yes,Savings,4,Rural,App,Platinum,9,Yes,0
04000202,57,77,50,2,73,5,25,1,92,Yes,No,Savings,3,Rural,App,Platinum,0,Yes,1
04000203,32,20,65,6,43,6,35,0,6,Yes,No,Savings,5,Rural,Branch,Platinum,4,Yes,0
04000204,28,42,63,1,36,6,15,6,8,No,No,Current,2,Metro,Branch,Standard,7,Yes,1
04000205,65,0,66,1,0,3,55,0,6,Yes,Yes,Salary,5,Metro,Branch,Platinum,2,Yes,1
04000206,41,16,57,2,10,5,44,3,173,Yes,Yes,Salary,1,Metro,Branch,Platinum,3,Yes,1
04000207,29,33,32,3,50,4,17,4,171,No,Yes,Savings,5,Rural,Phone,Standard,3,Yes,0
04000208,49,32,59,2,25,4,10,2,22,No,Yes,Salary,5,Urban,Branch,Gold,4,Yes,0
04000209,33,2,51,3,5,6,39,1,132,Yes,No,Current,5,Metro,Branch,Platinum,0,No,1
04000210,67,39,61,6,32,5,1,0,117,No,Yes,Salary,3,Urban,Phone,Standard,1,No,0
04000211,39,33,25,1,44,3,24,6,114,No,No,Savings,4,Metro,Branch,Gold,5,Yes,1
04000212,60,73,66,6,76,5,52,3,118,Yes,Yes,Savings,3,Rural,App,Gold,0,No,1
04000213,46,16,35,6,65,5,28,8,162,Yes,Yes,Current,4,Metro,Phone,Standard,5,No,1
04000214,58,80,23,2,74,1,38,5,173,Yes,Yes,Current,5,Rural,Branch,Platinum,6,Yes,1
04000215,28,69,27,3,24,8,1,9,131,Yes,No,Salary,5,Metro,App,Platinum,7,Yes,1
04000216,25,56,67,4,8,7,1,1,49,No,No,Savings,4,Urban,Branch,Gold,6,Yes,1
04000217,45,62,45,5,15,3,31,9,140,No,Yes,Current,4,Rural,App,Standard,1,No,1
04000218,48,3,50,1,35,3,8,5,14,No,Yes,Savings,5,Metro,App,Standard,3,No,0
04000219,59,42,52,2,34,0,54,0,110,No,No,Current,1,Metro,Branch,Gold,8,Yes,0
04000220,45,62,28,5,27,6,31,2,109,Yes,No,Current,1,Rural,App,Platinum,1,No,1
04000221,45,10,33,4,13,0,12,5,21,Yes,No,Savings,3,Rural,Branch,Gold,7,Yes,1
04000222,24,62,55,4,72,5,21,1,59,No,Yes,Current,2,Urban,Phone,Gold,7,No,0
04000223,27,4,54,2,69,8,30,4,167,No,No,Current,3,Urban,Phone,Gold,2,Yes,1
04000224,31,22,44,3,29,2,10,9,19,Yes,No,Current,2,Rural,App,Standard,4,No,0
04000225,65,17,54,6,46,3,51,0,44,No,Yes,Salary,2,Metro,Phone,Standard,2,Yes,1
04000226,51,31,55,3,66,5,3,10,112,Yes,Yes,Salary,5,Urban,Phone,Platinum,9,Yes,1
04000227,23,67,40,1,73,6,19,9,123,No,Yes,Savings,4,Rural,Phone,Gold,0,Yes,0
04000228,44,81,63,1,50,0,26,4,61,Yes,Yes,Savings,1,Urban,Phone,Platinum,9,Yes,0
04000229,23,45,25,1,77,7,30,10,61,Yes,Yes,Salary,3,Metro,App,Gold,6,No,1
04000230,57,20,53,2,78,1,22,1,81,No,Yes,Salary,3,Metro,App,Gold,5,Yes,1
04000231,46,8,41,1,12,3,9,10,86,No,No,Savings,2,Urban,Phone,Platinum,4,No,1
04000232,38,76,54,2,39,8,52,10,128,No,Yes,Savings,5,Urban,Branch,Platinum,0,Yes,1
04000233,29,22,37,3,83,3,28,8,146,Yes,Yes,Savings,4,Rural,Phone,Gold,9,Yes,1
04000234,64,25,29,1,67,8,24,1,98,Yes,Yes,Salary,3,Urban,App,Platinum,4,No,1
04000235,63,69,38,4,64,4,37,6,30,Yes,Yes,Salary,4,Rural,Branch,Platinum,9,No,1
04000236,51,71,25,4,22,6,3,2,71,Yes,No,Savings,3,Urban,Phone,Standard,3,Yes,0
04000237,68,1,32,2,27,4,14,2,135,Yes,Yes,Current,1,Metro,Branch,Gold,9,No,1
04000238,27,11,27,3,42,5,39,5,91,Yes,No,Savings,1,Urban,Branch,Platinum,5,Yes,0
04000239,56,32,31,6,28,6,17,10,62,Yes,No,Savings,2,Urban,App,Standard,10,No,0
04000240,64,50,69,2,48,0,24,10,18,No,No,Savings,2,Rural,Branch,Gold,7,No,0
04000241,43,45,50,1,51,1,50,10,30,Yes,No,Savings,3,Metro,Phone,Gold,10,Yes,1
04000242,26,19,64,4,71,4,24,6,62,Yes,No,Current,4,Rural,Branch,Standard,5,No,0
04000243,39,28,34,4,1,5,34,0,167,Yes,No,Salary,1,Rural,Phone,Gold,1,Yes,1
04000244,47,38,40,1,79,7,45,5,169,Yes,No,Salary,1,Rural,Branch,Platinum,4,Yes,0
04000245,45,7,65,2,60,2,6,9,61,Yes,Yes,Salary,2,Rural,App,Platinum,4,Yes,0
04000246,61,33,53,4,21,2,49,2,140,Yes,No,Savings,5,Metro,App,Gold,5,No,1
04000247,47,83,65,5,84,8,15,9,147,No,Yes,Savings,3,Rural,Branch,Gold,3,Yes,0
04000248,63,35,29,5,42,5,49,4,26,No,No,Current,4,Rural,App,Platinum,8,Yes,1
04000249,69,84,55,2,52,7,37,4,91,No,Yes,Salary,5,Metro,App,Platinum,8,No,1
04000250,53,62,68,3,74,0,23,5,36,Yes,No,Salary,2,Urban,Branch,Platinum,7,Yes,0
04000251,30,39,21,2,53,7,13,10,61,Yes,No,Current,5,Rural,Branch,Gold,4,Yes,0
04000252,66,34,46,1,22,2,23,0,34,Yes,No,Salary,4,Rural,App,Platinum,0,No,1
04000253,65,62,32,5,19,7,34,5,157,No,Yes,Savings,5,Urban,Branch,Standard,7,No,1
04000254,53,58,46,4,23,7,35,4,42,No,Yes,Savings,3,Rural,App,Gold,2,Yes,0
04000255,47,84,35,4,18,5,44,7,108,No,Yes,Current,1,Urban,App,Standard,4,Yes,1
04000256,31,19,53,2,22,4,51,8,54,Yes,No,Salary,2,Urban,Branch,Gold,5,No,1
04000257,55,12,38,5,35,3,14,2,57,Yes,No,Savings,5,Metro,App,Gold,6,Yes,1
04000258,53,80,44,1,72,1,14,10,136,Yes,Yes,Current,1,Rural,Branch,Gold,6,Yes,0
04000259,49,52,36,5,37,7,17,4,176,No,Yes,Current,2,Metro,Branch,Standard,6,No,1
04000260,47,24,43,3,54,4,29,3,75,No,Yes,Salary,5,Metro,Phone,Standard,7,Yes,1
