Customer_ID,Age,Monthly_Income_INR,Existing_EMI_INR,Monthly_Expenses_INR,Credit_Score,Savings_Balance_INR,Loan_Amount_INR,Loan_Tenure_Months,Interest_Rate_Percent,Employment_Years,Previous_Late_Payments,Loan_Purpose,Monthly_Disposable_Income_INR,Loan_Default_Risk
CUST0036,24,45800,1900,18900,669,122800,708000,24,15.0,1,2,Home renovation,3800,High Risk
CUST0037,55,142500,17200,50600,529,560700,2345000,48,15.0,6,2,Education,63700,High Risk
CUST0038,54,102700,23800,33400,810,270400,1108000,48,11.7,4,0,Home renovation,31000,Low Risk
CUST0039,32,56700,13700,27800,649,120100,559000,48,13.9,11,4,Home renovation,1000,High Risk
CUST0040,46,108700,8000,38500,693,341400,1213000,36,13.8,7,1,Home renovation,52600,Low Risk
CUST0041,28,55300,12500,25100,787,202000,469000,60,12.7,6,1,Home renovation,28300,Low Risk
CUST0042,51,138500,9400,49100,560,414700,2768000,36,14.8,6,3,Business,79600,High Risk
CUST0043,49,100300,13400,31700,587,387900,1056000,24,16.2,8,3,Home renovation,65500,High Risk
CUST0044,35,90300,25300,42600,560,290300,1353000,24,15.9,9,3,Education,25700,High Risk
CUST0045,24,78100,6700,23300,623,274900,1458000,48,13.0,3,2,Medical,54400,High Risk
CUST0046,59,128400,9900,41800,719,104100,2381000,24,11.5,2,0,Business,69500,Low Risk
CUST0047,39,87400,12400,38400,726,265400,1137000,36,13.3,11,1,Business,40800,Low Risk
CUST0048,56,45400,8600,22600,707,90100,618000,60,13.4,5,0,Home renovation,20000,Low Risk
CUST0049,48,50100,13200,16000,575,119800,1098000,12,15.5,1,3,Business,16300,High Risk
CUST0050,52,179200,49400,63300,505,493700,3009000,12,16.6,9,4,Medical,71000,High Risk
CUST0051,51,171000,9700,83800,689,665400,3255000,60,14.1,9,1,Home renovation,82000,Low Risk
CUST0052,29,139100,10200,79100,648,548700,2843000,36,15.5,0,1,Vehicle,45400,Low Risk
CUST0053,36,72700,16700,23400,721,104500,1352000,24,12.3,8,1,Business,23600,Low Risk
CUST0054,40,180300,18900,55400,740,548400,1616000,60,12.0,10,0,Education,96500,Low Risk
CUST0055,41,151100,38100,41800,696,468400,2266000,60,12.7,8,2,Home renovation,71900,High Risk
CUST0056,23,141700,28200,48100,744,233400,1081000,36,13.4,5,0,Business,68000,Low Risk
CUST0057,43,100800,6700,30000,703,85300,1658000,48,14.9,1,1,Business,57800,High Risk
CUST0058,28,73700,17700,29500,726,40300,1569000,24,12.9,8,0,Business,26700,Low Risk
CUST0059,50,46700,3800,15000,630,149400,663000,12,12.3,5,0,Business,32500,Low Risk
CUST0060,48,170100,24100,74400,671,367900,2199000,36,12.5,5,3,Business,76500,High Risk
CUST0061,57,101700,17500,43400,700,401500,669000,24,12.9,10,2,Vehicle,53200,Low Risk
CUST0062,51,63000,10100,29400,749,130700,1345000,48,12.5,13,0,Home renovation,33700,Low Risk
CUST0063,36,78800,16100,24900,654,308900,603000,48,14.0,14,0,Medical,29800,Low Risk
CUST0064,59,120600,23700,59600,726,226900,803000,12,13.4,12,0,Education,50800,Low Risk
CUST0065,38,59000,16400,25100,664,192200,586000,36,14.0,6,1,Vehicle,13300,Low Risk
CUST0066,34,163100,45600,76900,676,115000,1150000,24,15.2,8,4,Medical,49000,High Risk
CUST0067,57,148100,24300,48700,750,355400,1967000,60,12.3,10,1,Business,75600,Low Risk
CUST0068,36,142100,8900,44700,530,467100,2026000,24,15.4,7,2,Education,85200,High Risk
CUST0069,24,98100,21100,56300,584,365800,1079000,48,16.0,6,3,Education,6200,High Risk
CUST0070,40,128000,35100,51800,569,430200,872000,36,14.2,10,1,Medical,39700,High Risk
CUST0071,53,121400,14100,44100,503,64700,945000,36,17.1,6,3,Home renovation,50700,High Risk
CUST0072,29,131400,19800,57800,632,228900,1597000,48,14.9,4,2,Vehicle,61500,High Risk
CUST0073,40,44900,6400,21600,743,25800,313000,48,13.0,5,0,Medical,29000,Low Risk
CUST0074,27,95600,5000,53500,663,75900,1642000,36,15.9,9,2,Vehicle,30700,Low Risk
CUST0075,48,38400,7700,12700,700,108700,358000,48,13.1,7,1,Education,20400,Low Risk
CUST0076,40,107600,13400,57100,770,319300,1166000,60,14.8,8,1,Business,31300,Low Risk
CUST0077,34,82500,18900,21100,789,262800,1015000,36,12.2,10,0,Education,37500,Low Risk
CUST0078,30,54100,13000,25500,680,190200,685000,36,12.8,5,2,Medical,21800,High Risk
CUST0079,44,47800,11300,18400,791,146400,288000,12,12.5,10,1,Vehicle,17800,Low Risk
CUST0080,48,121900,17100,38500,692,400200,950000,48,12.8,8,0,Home renovation,80200,Low Risk
CUST0081,58,58100,6800,17500,620,33500,1151000,36,14.2,2,1,Vehicle,29900,High Risk
CUST0082,39,173500,38100,70100,639,215900,1044000,36,15.1,13,3,Home renovation,73300,High Risk
CUST0083,28,120900,28100,67200,570,319000,1708000,12,16.3,5,2,Business,26400,High Risk
CUST0084,54,85100,13400,41700,616,296900,1177000,60,14.4,0,3,Medical,36400,High Risk
CUST0085,46,122400,31100,66900,657,50900,1387000,36,15.4,2,1,Education,20800,High Risk
CUST0086,49,35500,2600,13700,748,80000,458000,48,14.2,2,2,Vehicle,18800,Low Risk
CUST0087,25,178700,44800,71500,819,507200,3304000,24,13.4,7,0,Medical,61500,Low Risk
CUST0088,34,105800,6700,48900,577,53600,2059000,60,16.1,6,3,Education,43500,High Risk
CUST0089,51,151800,11700,40400,716,280100,1543000,24,14.9,5,2,Education,105000,Low Risk
CUST0090,54,44700,7500,17200,604,162000,499000,24,13.3,9,2,Vehicle,25200,High Risk
CUST0091,38,106500,6000,55100,722,300100,1052000,60,13.1,8,0,Education,50100,Low Risk
CUST0092,53,107100,5600,51100,675,134500,1465000,60,13.3,8,1,Medical,62700,Low Risk
CUST0093,54,175500,7000,56300,542,609000,2972000,24,16.2,8,3,Home renovation,123800,High Risk
CUST0094,37,119500,17300,50100,757,197500,1153000,36,12.3,9,0,Business,49100,Low Risk
CUST0095,57,104400,23600,42900,638,362500,1179000,48,14.5,0,2,Education,40900,Low Risk
CUST0096,33,72800,3500,35700,643,107500,1521000,60,16.5,5,1,Vehicle,28600,High Risk
CUST0097,31,82700,16300,37100,602,208800,560000,36,15.1,0,3,Home renovation,29500,High Risk
CUST0098,48,111700,26500,46000,634,204300,1494000,36,15.2,7,0,Education,34400,High Risk
CUST0099,46,99200,8000,38700,718,137800,1725000,48,13.2,7,0,Medical,65500,Low Risk
CUST0100,27,35300,2700,9000,670,126800,297000,48,14.3,9,0,Education,26500,Low Risk
