age,monthly_income_inr,employment_type,years_employed,education_level,marital_status,dependents,residence_type,years_at_address,loan_amount_inr,loan_term_months,loan_purpose,existing_loans,monthly_debt_payments_inr,credit_score,late_payments_last_12m,savings_balance_inr,account_tenure_years,has_guarantor,loan_default
25,42000,Self-employed,3,Graduate,Single,0,Owned,0,140000,24,Personal,0,8000,498,1,155000,5,No,0
45,42000,Self-employed,10,Graduate,Married,0,Rented,12,1950000,36,Personal,2,15000,747,2,220000,4,No,1
32,99000,Contract,1,High school,Single,2,Rented,2,370000,60,Vehicle,1,47000,531,0,495000,0,No,1
26,81000,Salaried,2,Postgraduate,Single,2,Owned,8,1860000,24,Home improvement,1,38000,676,0,250000,0,No,1
60,110000,Contract,18,Graduate,Married,2,Owned,19,1350000,60,Medical,2,62000,483,2,545000,15,No,0
44,40000,Self-employed,9,Graduate,Single,4,Family,18,1480000,12,Vehicle,0,7000,669,4,45000,6,No,1
59,72000,Salaried,20,Graduate,Married,3,Family,8,550000,36,Medical,2,38000,659,0,235000,12,No,0
24,51000,Contract,3,Graduate,Single,0,Owned,6,1650000,60,Medical,0,6000,687,0,155000,0,No,0
42,58000,Contract,12,High school,Single,3,Rented,6,1330000,48,Vehicle,0,6000,687,2,45000,19,No,1
43,49000,Salaried,10,Graduate,Married,3,Rented,6,1580000,24,Home improvement,0,5000,659,2,135000,0,No,1
28,48000,Self-employed,0,Postgraduate,Married,2,Owned,10,710000,24,Home improvement,1,13000,656,3,235000,10,No,0
61,53000,Self-employed,15,High school,Married,0,Owned,8,440000,36,Education,1,22000,719,0,140000,0,Yes,0
26,133000,Self-employed,5,Postgraduate,Single,4,Owned,8,830000,60,Vehicle,0,38000,668,3,110000,8,Yes,1
44,41000,Salaried,6,Graduate,Single,4,Rented,19,200000,36,Business,0,12000,802,3,100000,16,Yes,0
42,148000,Salaried,11,High school,Single,2,Rented,16,1790000,24,Personal,3,69000,635,1,240000,19,No,1
58,66000,Contract,27,Graduate,Single,1,Rented,21,800000,24,Personal,1,29000,735,0,180000,8,Yes,0
32,51000,Contract,7,Graduate,Married,1,Family,2,460000,24,Education,0,10000,580,2,25000,14,No,1
29,41000,Contract,2,Graduate,Married,0,Rented,11,1200000,48,Home improvement,1,10000,520,4,50000,11,No,1
36,62000,Self-employed,12,Graduate,Single,0,Family,1,970000,12,Business,2,34000,686,1,165000,2,No,0
43,99000,Salaried,11,Graduate,Single,2,Family,17,770000,48,Home improvement,0,11000,626,2,35000,11,No,0
22,49000,Salaried,0,High school,Married,4,Family,4,860000,36,Vehicle,0,17000,539,1,100000,1,Yes,0
33,40000,Salaried,6,Graduate,Single,1,Rented,7,670000,60,Home improvement,0,9000,596,4,40000,15,No,1
30,21000,Salaried,0,Graduate,Single,2,Rented,12,1390000,60,Home improvement,2,9000,773,1,45000,12,Yes,0
60,78000,Self-employed,13,Postgraduate,Married,0,Rented,19,1880000,24,Vehicle,0,13000,694,0,420000,3,No,0
51,79000,Salaried,21,Graduate,Married,2,Rented,13,120000,60,Home improvement,0,26000,645,1,370000,2,Yes,0
40,39000,Salaried,3,Graduate,Single,2,Owned,15,1100000,60,Personal,1,14000,677,4,60000,10,Yes,1
34,37000,Contract,0,Graduate,Single,2,Family,13,580000,36,Personal,1,10000,580,2,65000,13,No,1
43,50000,Salaried,0,Graduate,Single,0,Rented,5,1760000,36,Personal,1,17000,690,0,170000,12,Yes,0
54,119000,Salaried,20,High school,Married,1,Rented,15,300000,36,Business,0,32000,699,2,265000,17,No,0
43,70000,Self-employed,11,High school,Single,2,Rented,21,1220000,48,Business,0,20000,590,2,20000,1,Yes,1
31,64000,Salaried,6,Graduate,Single,0,Rented,13,190000,12,Business,2,25000,666,3,230000,7,No,0
48,43000,Salaried,14,Graduate,Married,2,Rented,14,1870000,24,Personal,0,15000,609,2,115000,13,No,1
33,42000,Salaried,7,Graduate,Married,1,Rented,14,1660000,24,Personal,1,19000,719,2,25000,5,No,1
30,106000,Salaried,2,High school,Single,1,Owned,12,1720000,12,Vehicle,2,47000,566,3,230000,2,No,1
23,53000,Salaried,1,Graduate,Single,1,Owned,5,1210000,36,Vehicle,1,17000,572,3,205000,5,No,1
47,27000,Contract,17,Graduate,Single,1,Family,10,1680000,60,Personal,0,5000,647,0,135000,17,Yes,0
41,28000,Salaried,3,High school,Single,1,Family,23,1430000,12,Personal,0,3000,632,2,90000,18,Yes,1
24,56000,Salaried,0,Graduate,Single,0,Owned,6,670000,36,Personal,2,34000,633,0,260000,6,Yes,0
31,104000,Contract,6,Graduate,Single,1,Family,13,1650000,12,Business,2,41000,566,4,450000,13,Yes,1
41,52000,Salaried,6,High school,Married,2,Owned,19,810000,36,Education,2,25000,740,0,60000,17,No,0
57,81000,Salaried,15,High school,Single,1,Rented,11,1430000,60,Home improvement,0,11000,781,1,285000,15,Yes,0
39,90000,Salaried,12,Graduate,Married,2,Rented,18,230000,12,Education,2,33000,723,1,210000,11,No,0
43,104000,Self-employed,14,Graduate,Single,2,Rented,14,950000,60,Business,1,39000,782,0,225000,13,Yes,0
40,78000,Contract,7,Graduate,Single,1,Family,18,380000,60,Education,0,19000,741,0,215000,11,Yes,0
36,91000,Salaried,13,Graduate,Married,0,Family,18,1770000,48,Medical,2,49000,538,2,385000,17,No,0
37,114000,Contract,8,Graduate,Single,1,Owned,4,1130000,24,Personal,0,19000,733,0,310000,7,No,0
32,44000,Self-employed,6,Postgraduate,Single,2,Owned,14,700000,24,Home improvement,1,19000,700,0,20000,11,Yes,0
47,86000,Contract,6,High school,Married,0,Owned,16,270000,24,Business,0,11000,727,0,290000,10,No,0
57,42000,Salaried,18,High school,Married,2,Owned,9,1160000,12,Personal,0,13000,557,4,200000,14,Yes,1
39,57000,Self-employed,8,Graduate,Single,0,Owned,14,1090000,12,Vehicle,0,9000,833,1,145000,9,No,0
30,60000,Contract,0,High school,Single,4,Rented,12,1530000,36,Vehicle,0,18000,655,0,275000,7,No,0
22,50000,Salaried,3,Graduate,Single,1,Rented,4,1430000,60,Medical,0,14000,689,3,245000,4,Yes,1
53,43000,Self-employed,16,Graduate,Married,3,Rented,2,660000,24,Home improvement,1,14000,705,1,10000,11,Yes,0
45,35000,Self-employed,6,High school,Single,1,Rented,4,1130000,48,Medical,1,16000,645,0,25000,0,No,0
59,46000,Salaried,26,Postgraduate,Married,3,Rented,20,1890000,12,Business,1,15000,727,0,85000,18,Yes,0
40,36000,Salaried,9,Graduate,Single,1,Owned,22,480000,60,Business,1,16000,582,4,5000,14,No,1
58,134000,Self-employed,26,Graduate,Single,1,Owned,1,280000,12,Business,2,69000,545,1,180000,8,No,1
36,47000,Contract,7,Graduate,Single,3,Owned,4,290000,24,Personal,0,15000,811,1,10000,12,No,0
57,95000,Contract,13,Graduate,Single,3,Family,13,260000,48,Home improvement,2,55000,651,1,25000,18,No,0
59,86000,Salaried,5,Graduate,Married,2,Family,14,660000,36,Home improvement,0,17000,760,0,95000,11,No,0
45,68000,Salaried,9,Postgraduate,Single,3,Rented,15,620000,24,Business,1,31000,639,3,35000,14,Yes,0
56,40000,Salaried,22,Postgraduate,Single,0,Rented,25,690000,24,Medical,0,5000,554,2,165000,12,Yes,0
55,51000,Salaried,13,Graduate,Married,2,Owned,13,1880000,60,Vehicle,0,8000,737,1,180000,6,No,0
40,47000,Self-employed,9,High school,Single,2,Owned,1,870000,12,Home improvement,1,19000,651,1,80000,14,No,0
40,47000,Contract,9,Graduate,Single,2,Owned,14,450000,36,Medical,2,16000,743,0,255000,2,No,0
54,74000,Self-employed,7,Graduate,Married,0,Owned,17,190000,48,Business,1,24000,729,0,285000,1,No,0
52,111000,Salaried,8,High school,Single,2,Rented,13,1900000,36,Education,0,29000,635,1,0,14,No,0
42,60000,Self-employed,6,High school,Single,1,Family,21,1570000,60,Vehicle,1,23000,532,2,100000,4,Yes,1
57,35000,Contract,20,Postgraduate,Married,1,Owned,22,580000,48,Medical,3,24000,674,1,15000,5,Yes,0
23,51000,Salaried,3,Graduate,Single,1,Rented,5,700000,12,Medical,2,25000,650,1,25000,0,No,0
51,105000,Salaried,8,Graduate,Single,1,Rented,18,460000,24,Business,2,63000,623,0,510000,13,No,1
40,84000,Contract,6,Graduate,Single,2,Rented,4,1750000,24,Home improvement,0,24000,679,3,435000,10,No,1
31,95000,Salaried,8,High school,Single,0,Family,11,1320000,24,Business,1,41000,714,1,30000,5,Yes,0
51,113000,Salaried,6,Graduate,Single,2,Owned,15,80000,36,Education,0,14000,768,3,410000,11,Yes,0
30,52000,Contract,3,Graduate,Married,3,Rented,12,130000,60,Vehicle,0,14000,736,0,75000,6,Yes,1
26,74000,Salaried,5,Graduate,Single,0,Rented,6,1660000,36,Home improvement,1,31000,657,3,155000,8,No,1
28,52000,Salaried,2,Postgraduate,Single,1,Owned,10,1100000,12,Home improvement,1,15000,584,0,130000,10,No,0
35,154000,Salaried,5,Graduate,Single,1,Rented,4,1920000,24,Business,0,42000,705,0,730000,17,No,0
59,60000,Contract,16,Graduate,Single,1,Rented,4,1860000,24,Medical,0,20000,666,1,135000,6,Yes,0
22,60000,Salaried,2,Graduate,Single,0,Owned,4,1680000,24,Business,0,9000,802,0,315000,4,No,0
49,71000,Self-employed,9,High school,Married,0,Family,2,510000,12,Medical,0,24000,728,1,290000,1,Yes,0
24,69000,Self-employed,0,Postgraduate,Single,1,Owned,0,640000,60,Business,0,21000,649,0,270000,2,No,0
36,75000,Self-employed,3,High school,Married,2,Owned,1,300000,12,Vehicle,0,21000,794,0,300000,12,Yes,0
39,104000,Contract,4,Graduate,Married,2,Family,10,170000,60,Vehicle,1,43000,511,3,500000,19,No,1
40,43000,Contract,2,Graduate,Single,4,Rented,2,580000,60,Medical,3,20000,495,2,155000,18,No,1
59,27000,Salaried,10,Postgraduate,Single,2,Rented,20,1610000,36,Home improvement,3,17000,746,0,70000,8,Yes,1
29,78000,Salaried,2,Graduate,Married,0,Owned,11,1110000,48,Personal,0,10000,635,0,325000,7,No,0
30,69000,Self-employed,4,Graduate,Single,0,Rented,12,630000,60,Home improvement,0,16000,789,0,100000,6,No,0
51,93000,Self-employed,6,Postgraduate,Married,4,Owned,11,1550000,36,Medical,0,32000,657,2,355000,3,Yes,0
35,36000,Self-employed,2,High school,Single,4,Rented,5,590000,24,Personal,2,14000,686,1,65000,17,Yes,0
33,39000,Contract,8,Graduate,Single,0,Rented,14,1360000,12,Personal,1,10000,609,3,105000,15,Yes,1
27,95000,Salaried,0,Graduate,Single,1,Family,9,1070000,36,Education,0,29000,718,0,325000,7,No,0
40,52000,Salaried,11,Graduate,Single,2,Family,17,650000,12,Personal,2,23000,703,1,60000,13,No,1
56,48000,Salaried,21,Postgraduate,Married,4,Rented,9,420000,36,Education,1,22000,603,0,80000,6,No,0
57,62000,Salaried,22,Postgraduate,Single,2,Owned,23,390000,60,Personal,1,27000,553,4,245000,1,No,0
34,114000,Salaried,7,High school,Single,4,Family,16,700000,12,Home improvement,1,28000,597,1,25000,2,No,0
30,51000,Contract,7,High school,Single,3,Family,12,1550000,60,Personal,0,6000,712,0,260000,8,No,0
45,87000,Contract,3,Postgraduate,Single,2,Owned,16,1610000,24,Home improvement,1,25000,706,0,395000,16,No,0
32,64000,Salaried,4,High school,Single,1,Rented,14,750000,60,Vehicle,1,19000,749,0,155000,3,No,0
42,84000,Contract,6,Graduate,Married,2,Rented,0,340000,12,Medical,0,16000,687,0,10000,8,Yes,0
48,104000,Self-employed,12,High school,Married,3,Owned,22,1170000,24,Home improvement,1,27000,483,1,515000,10,No,0
41,42000,Contract,2,High school,Single,0,Owned,8,140000,12,Personal,0,15000,770,0,35000,14,No,0
24,53000,Contract,1,High school,Single,2,Owned,6,840000,24,Business,0,18000,703,1,45000,6,No,0
22,32000,Contract,3,Postgraduate,Single,1,Owned,1,500000,48,Business,0,7000,785,0,90000,4,No,0
32,100000,Contract,6,High school,Single,1,Rented,14,1310000,24,Personal,1,45000,577,3,450000,6,No,1
27,154000,Salaried,2,Graduate,Married,2,Owned,9,800000,48,Medical,0,41000,576,4,170000,9,No,1
59,48000,Salaried,20,Graduate,Single,1,Rented,2,110000,12,Personal,2,19000,689,0,220000,17,No,0
34,45000,Salaried,7,Graduate,Married,0,Rented,16,1260000,12,Medical,0,11000,613,0,5000,6,Yes,1
36,52000,Self-employed,4,Graduate,Single,2,Rented,18,1730000,12,Education,0,15000,815,0,40000,4,No,0
61,47000,Self-employed,18,High school,Single,2,Rented,17,1460000,24,Personal,0,13000,684,0,220000,0,Yes,0
55,50000,Salaried,12,Graduate,Married,1,Owned,6,360000,12,Vehicle,1,19000,584,2,125000,11,No,1
34,45000,Salaried,3,Postgraduate,Single,1,Owned,16,1170000,24,Education,2,19000,715,1,35000,16,No,1
39,43000,Contract,14,Graduate,Married,2,Owned,11,460000,12,Personal,0,6000,718,1,110000,0,Yes,0
38,126000,Salaried,13,Postgraduate,Married,1,Owned,5,1350000,60,Home improvement,2,68000,668,2,215000,9,No,1
37,154000,Contract,9,Graduate,Married,1,Family,7,1890000,24,Vehicle,0,38000,741,0,55000,13,No,0
32,67000,Self-employed,4,Graduate,Single,2,Rented,14,1110000,60,Vehicle,1,25000,681,2,135000,2,No,0
36,58000,Self-employed,12,Graduate,Single,2,Rented,2,1210000,60,Education,1,18000,719,3,75000,8,No,1
27,83000,Salaried,1,High school,Single,0,Rented,4,1060000,36,Personal,1,35000,678,1,240000,7,No,0
40,62000,Salaried,11,Postgraduate,Married,0,Rented,18,1540000,24,Vehicle,0,14000,760,1,160000,16,No,0
26,64000,Salaried,0,Postgraduate,Married,0,Family,6,280000,60,Education,0,18000,675,1,155000,8,Yes,0
22,76000,Contract,2,High school,Single,3,Family,4,1380000,60,Education,1,22000,617,1,225000,3,Yes,1
36,22000,Salaried,8,High school,Married,0,Rented,9,870000,12,Home improvement,2,9000,655,2,15000,16,No,1
32,56000,Self-employed,8,Postgraduate,Married,3,Rented,14,1470000,36,Vehicle,1,20000,483,1,45000,4,No,1
59,43000,Contract,18,Graduate,Single,0,Family,3,1400000,36,Personal,0,4000,629,2,75000,16,No,1
57,84000,Salaried,18,Graduate,Married,0,Rented,24,1870000,48,Business,0,17000,556,3,135000,6,No,1
59,101000,Salaried,10,Graduate,Married,0,Rented,17,1690000,36,Vehicle,1,44000,759,0,205000,3,No,0
43,50000,Salaried,7,Postgraduate,Single,2,Rented,12,90000,36,Medical,0,6000,727,1,250000,10,Yes,0
48,55000,Salaried,6,High school,Married,4,Owned,20,1300000,48,Medical,0,11000,644,3,60000,14,Yes,1
24,50000,Salaried,5,High school,Married,1,Rented,6,1160000,48,Personal,0,12000,673,0,160000,6,Yes,0
54,55000,Salaried,15,Postgraduate,Married,1,Rented,19,430000,60,Education,1,21000,602,1,155000,14,No,0
55,68000,Salaried,19,Postgraduate,Married,1,Owned,3,400000,36,Home improvement,0,23000,645,1,230000,16,No,0
22,99000,Contract,3,Postgraduate,Single,1,Family,2,100000,48,Education,2,54000,519,1,315000,4,No,1
30,120000,Salaried,7,Postgraduate,Single,2,Owned,10,1600000,60,Business,1,38000,705,0,85000,4,No,0
35,26000,Salaried,8,Postgraduate,Single,2,Rented,10,560000,24,Education,1,10000,541,4,15000,1,No,1
33,79000,Contract,10,Postgraduate,Single,3,Owned,0,1650000,36,Personal,1,28000,522,4,225000,4,No,1
47,127000,Salaried,11,Graduate,Single,1,Owned,20,1150000,36,Personal,1,43000,771,0,390000,14,No,0
29,80000,Contract,0,Graduate,Single,1,Owned,4,1280000,12,Medical,2,44000,580,2,125000,5,No,1
28,62000,Salaried,4,Graduate,Single,3,Rented,10,1500000,24,Vehicle,0,13000,789,1,165000,10,No,0
41,34000,Salaried,5,Postgraduate,Single,2,Family,22,1620000,12,Vehicle,3,16000,673,0,65000,17,Yes,1
46,34000,Salaried,19,High school,Single,0,Family,16,1000000,24,Business,1,13000,736,0,80000,14,Yes,0
56,76000,Self-employed,3,Graduate,Married,4,Rented,2,230000,12,Business,1,21000,688,2,80000,7,No,0
36,82000,Salaried,0,Graduate,Single,0,Family,18,1920000,36,Home improvement,1,39000,773,0,435000,6,Yes,1
56,62000,Salaried,22,High school,Married,2,Owned,10,1640000,12,Education,1,25000,811,2,55000,13,Yes,1
60,103000,Salaried,22,Graduate,Single,1,Rented,11,1200000,60,Vehicle,0,35000,664,1,240000,14,No,0
54,154000,Salaried,21,Postgraduate,Single,2,Rented,22,370000,24,Education,1,43000,604,1,605000,14,Yes,0
38,28000,Contract,10,High school,Single,2,Owned,0,1860000,36,Personal,2,10000,729,0,70000,2,Yes,0
24,52000,Salaried,1,High school,Single,0,Family,4,220000,60,Business,1,13000,622,0,0,6,Yes,0
37,131000,Self-employed,11,High school,Married,1,Rented,13,1250000,24,Business,2,68000,751,1,305000,19,No,0
59,25000,Contract,7,Graduate,Single,3,Family,21,190000,48,Medical,0,9000,732,0,115000,11,Yes,0
44,103000,Salaried,6,Postgraduate,Single,1,Rented,2,740000,48,Medical,1,38000,726,1,295000,19,No,0
29,49000,Contract,9,High school,Single,3,Owned,10,150000,12,Vehicle,2,21000,760,1,215000,9,Yes,0
33,88000,Salaried,6,Graduate,Married,0,Owned,6,1000000,60,Vehicle,1,24000,704,3,325000,3,No,0
56,62000,Contract,9,Graduate,Married,4,Rented,10,750000,12,Medical,0,6000,723,3,160000,13,Yes,0
34,79000,Salaried,6,Postgraduate,Single,0,Rented,2,870000,24,Vehicle,1,30000,755,0,415000,15,Yes,0
28,154000,Salaried,0,High school,Single,0,Family,10,1120000,36,Business,1,33000,634,0,555000,10,No,0
37,114000,Salaried,9,High school,Single,0,Rented,10,1410000,12,Home improvement,2,64000,720,0,175000,4,No,0
32,29000,Salaried,1,Graduate,Single,3,Owned,14,1140000,12,Education,0,5000,616,0,80000,11,No,1
28,55000,Salaried,1,Graduate,Single,0,Rented,6,1280000,12,Personal,0,10000,650,3,245000,10,No,1
57,94000,Salaried,19,Graduate,Married,2,Owned,12,1110000,12,Education,0,28000,649,2,15000,11,No,0
48,72000,Salaried,5,Graduate,Single,2,Family,1,230000,60,Education,0,21000,625,3,65000,3,No,0
24,50000,Contract,0,Graduate,Single,2,Family,0,420000,12,Home improvement,1,16000,540,3,140000,6,No,1
42,35000,Self-employed,1,Graduate,Single,0,Owned,0,710000,60,Home improvement,2,15000,619,2,45000,7,No,1
55,72000,Self-employed,6,High school,Married,4,Family,23,780000,12,Home improvement,0,13000,637,2,205000,17,No,0
53,94000,Contract,3,Postgraduate,Married,0,Owned,6,600000,60,Personal,0,23000,754,0,95000,5,Yes,0
59,100000,Salaried,3,Graduate,Married,0,Rented,18,410000,12,Vehicle,1,39000,624,0,130000,0,No,0
48,58000,Self-employed,14,Postgraduate,Single,2,Owned,14,1710000,24,Personal,1,19000,692,0,165000,5,No,0
23,154000,Salaried,0,Graduate,Single,0,Family,5,880000,48,Education,1,37000,641,1,580000,2,Yes,0
35,31000,Self-employed,5,Postgraduate,Married,4,Rented,14,1210000,36,Home improvement,3,14000,597,3,15000,15,No,0
35,39000,Self-employed,6,Postgraduate,Single,2,Rented,9,1370000,48,Vehicle,0,13000,628,1,155000,2,Yes,0
36,84000,Self-employed,5,High school,Single,0,Family,18,1450000,48,Medical,1,29000,728,0,260000,18,No,0
26,68000,Salaried,7,Graduate,Married,1,Owned,8,210000,36,Medical,2,27000,740,1,130000,8,No,0
32,110000,Salaried,9,High school,Single,1,Rented,9,1000000,36,Business,0,23000,811,2,470000,3,Yes,0
59,106000,Salaried,15,Graduate,Single,1,Family,3,1530000,60,Business,2,49000,689,3,170000,1,No,1
32,101000,Contract,2,Graduate,Single,2,Rented,14,1400000,12,Home improvement,1,21000,680,2,380000,14,No,0
51,59000,Salaried,11,Graduate,Single,0,Owned,10,780000,36,Vehicle,2,28000,664,1,250000,19,No,0
59,81000,Contract,24,High school,Married,2,Family,16,990000,48,Personal,1,21000,789,1,195000,5,Yes,0
30,77000,Self-employed,1,High school,Married,2,Owned,12,1250000,36,Business,0,11000,707,1,10000,5,Yes,0
51,42000,Salaried,10,Postgraduate,Married,0,Rented,13,180000,60,Personal,0,8000,588,4,35000,17,Yes,1
27,67000,Salaried,6,High school,Single,2,Rented,9,610000,60,Education,2,37000,662,3,235000,4,Yes,1
48,62000,Self-employed,8,Graduate,Married,1,Rented,15,110000,48,Education,2,23000,673,4,75000,6,No,0
32,74000,Salaried,10,Graduate,Single,4,Family,14,140000,60,Vehicle,0,9000,712,0,405000,1,No,0
47,72000,Contract,10,Postgraduate,Married,0,Family,10,540000,48,Home improvement,2,32000,734,0,280000,8,No,0
37,58000,Salaried,8,Postgraduate,Single,3,Rented,19,1110000,24,Home improvement,1,16000,640,1,115000,15,No,0
48,96000,Salaried,14,Graduate,Married,1,Rented,8,1040000,36,Business,2,52000,663,3,335000,3,No,0
30,42000,Salaried,2,Graduate,Single,2,Rented,12,330000,24,Home improvement,2,20000,602,0,115000,12,No,1
41,79000,Self-employed,9,Postgraduate,Married,2,Owned,11,610000,48,Education,2,28000,717,0,305000,18,No,0
28,59000,Salaried,5,Postgraduate,Married,1,Rented,5,720000,36,Business,2,22000,615,3,90000,10,No,1
31,60000,Salaried,4,Postgraduate,Single,1,Rented,12,780000,12,Education,0,19000,686,0,215000,13,No,0
26,49000,Contract,1,High school,Single,3,Owned,8,360000,60,Medical,0,16000,645,2,245000,8,No,0
51,119000,Contract,12,High school,Single,2,Owned,17,330000,24,Business,1,25000,705,0,420000,14,Yes,0
33,92000,Self-employed,4,Graduate,Single,0,Owned,15,400000,60,Medical,0,15000,678,0,380000,15,No,0
38,44000,Salaried,4,Postgraduate,Married,3,Owned,4,950000,12,Vehicle,0,12000,669,1,70000,8,Yes,0
61,59000,Self-employed,17,Graduate,Married,4,Rented,17,600000,60,Medical,3,35000,663,0,60000,15,No,0
26,46000,Salaried,6,High school,Single,0,Owned,8,200000,48,Business,1,20000,545,2,100000,4,No,0
49,106000,Self-employed,10,Postgraduate,Single,3,Rented,2,940000,12,Vehicle,1,23000,694,0,265000,2,Yes,0
54,87000,Contract,23,Postgraduate,Married,3,Rented,1,1450000,36,Home improvement,0,27000,705,1,310000,2,No,0
27,68000,Contract,5,High school,Married,4,Rented,9,1410000,12,Personal,0,17000,613,0,295000,6,No,0
46,45000,Salaried,5,High school,Single,1,Family,4,1280000,36,Personal,2,22000,751,1,90000,3,No,1
50,58000,Salaried,4,Graduate,Single,0,Family,8,580000,60,Home improvement,2,20000,592,4,270000,1,Yes,1
58,60000,Salaried,20,Graduate,Married,3,Rented,17,580000,60,Personal,3,32000,549,3,135000,2,No,1
49,35000,Salaried,11,High school,Married,0,Rented,5,1400000,60,Medical,1,14000,533,3,45000,15,No,1
43,100000,Salaried,13,High school,Single,0,Rented,18,1610000,36,Personal,1,38000,758,0,320000,1,Yes,0
46,46000,Salaried,7,Graduate,Married,1,Rented,22,520000,24,Business,1,20000,605,0,185000,9,Yes,1
22,86000,Salaried,0,Postgraduate,Single,2,Owned,0,800000,60,Medical,0,18000,762,0,430000,4,Yes,0
60,52000,Contract,8,Graduate,Married,0,Rented,17,1080000,48,Home improvement,0,11000,582,1,220000,1,No,1
55,76000,Salaried,0,Postgraduate,Married,0,Owned,14,290000,36,Home improvement,0,7000,766,1,160000,3,No,0
59,52000,Contract,5,Postgraduate,Married,3,Family,18,1740000,24,Vehicle,0,7000,724,0,235000,5,Yes,0
43,54000,Contract,9,Graduate,Single,1,Family,20,570000,60,Home improvement,0,14000,627,3,220000,12,No,0
31,40000,Self-employed,9,Graduate,Single,0,Rented,13,1140000,12,Medical,0,9000,739,0,170000,5,No,0
56,83000,Contract,21,Postgraduate,Single,1,Rented,23,1060000,36,Home improvement,2,36000,577,1,300000,7,No,0
25,64000,Salaried,1,Postgraduate,Single,3,Rented,7,1300000,24,Medical,1,20000,713,1,125000,4,No,0
34,125000,Contract,8,Graduate,Married,4,Owned,16,700000,48,Education,1,31000,545,2,245000,12,No,1
52,65000,Salaried,0,High school,Married,2,Owned,1,930000,60,Medical,1,21000,762,0,280000,15,No,0
29,78000,Self-employed,1,Postgraduate,Married,1,Family,11,1430000,12,Vehicle,0,11000,530,2,100000,5,Yes,1
25,83000,Salaried,0,High school,Single,1,Owned,2,1820000,60,Business,1,25000,724,0,240000,3,No,0
46,60000,Salaried,2,Graduate,Single,2,Rented,24,1190000,24,Personal,1,28000,656,2,225000,4,No,1
39,49000,Salaried,7,Graduate,Single,3,Rented,19,640000,24,Business,1,23000,675,4,120000,11,Yes,1
31,51000,Salaried,7,High school,Married,0,Rented,3,1830000,48,Medical,0,12000,820,1,215000,5,No,0
45,34000,Salaried,2,High school,Single,2,Rented,5,1650000,12,Medical,2,19000,702,0,25000,3,No,1
61,52000,Salaried,15,Graduate,Single,1,Owned,2,620000,24,Vehicle,3,25000,686,1,140000,5,Yes,0
29,25000,Self-employed,0,Graduate,Single,0,Rented,0,580000,48,Personal,0,8000,733,2,15000,11,No,1
25,66000,Salaried,1,Postgraduate,Single,0,Rented,7,400000,48,Business,0,13000,728,0,85000,7,Yes,0
40,31000,Salaried,11,Graduate,Single,1,Owned,22,1370000,60,Education,1,10000,659,2,155000,11,No,1
55,47000,Salaried,8,High school,Single,2,Owned,15,300000,24,Education,1,21000,652,1,185000,7,Yes,0
35,81000,Salaried,3,Graduate,Single,0,Owned,16,1150000,12,Education,0,20000,616,3,410000,0,Yes,1
47,42000,Salaried,11,High school,Married,1,Family,23,1010000,60,Business,0,7000,514,2,20000,13,No,1
26,144000,Salaried,2,Graduate,Single,0,Owned,8,1760000,36,Education,0,39000,701,1,60000,8,No,0
