age,annual_income_inr,account_balance_inr,tenure_years,credit_score,credit_utilization,missed_payments_12m,existing_loans,monthly_transactions,employment_type,account_type,region,risk_category
47,87678,118056,14,535,0.64,4,2,41,Business owner,Savings,South,Very High Risk
37,90486,933702,6,549,0.8,2,2,5,Salaried,Current,South,High Risk
27,129425,521116,12,787,0.36,4,1,38,Salaried,Current,North,Very Low Risk
61,105147,565033,0,825,0.92,2,4,36,Business owner,Current,West,Moderate Risk
28,26530,710055,3,636,0.16,2,4,46,Salaried,Current,North,High Risk
64,74475,260345,4,838,0.66,0,1,29,Business owner,Salary,East,Low Risk
62,51737,496795,10,787,0.36,1,1,48,Business owner,Salary,East,Low Risk
31,118215,392818,14,691,0.64,1,4,36,Self-employed,Savings,South,Low Risk
41,118194,2472,4,659,0.73,4,1,45,Business owner,Current,East,Very High Risk
28,142069,233632,11,832,0.68,2,3,47,Salaried,Salary,West,Very Low Risk
48,116907,896151,8,799,0.33,0,1,4,Salaried,Salary,East,Very Low Risk
63,37002,25882,7,561,0.7,0,4,22,Business owner,Savings,South,Very High Risk
47,95250,450715,13,781,0.76,3,1,53,Salaried,Current,North,Low Risk
28,113284,424461,13,810,0.15,1,4,29,Salaried,Salary,West,Very Low Risk
51,46954,895793,14,603,0.76,3,4,40,Business owner,Salary,North,High Risk
58,35051,563157,4,510,0.81,4,0,23,Business owner,Current,West,Very High Risk
58,137164,119010,16,533,0.6,1,4,39,Self-employed,Current,West,Very High Risk
68,142359,126340,1,513,0.47,1,0,14,Salaried,Salary,South,High Risk
64,34383,548457,7,730,0.73,3,4,35,Self-employed,Current,South,Very High Risk
24,72390,139596,6,540,0.56,2,3,48,Business owner,Salary,West,Very High Risk
35,154705,949554,13,570,0.14,2,0,18,Business owner,Salary,North,Very Low Risk
48,134358,842819,6,838,0.11,3,1,39,Business owner,Current,East,Very Low Risk
28,97237,92653,15,759,0.32,0,4,19,Self-employed,Salary,South,Very Low Risk
37,146881,673109,0,752,0.86,3,2,12,Business owner,Current,South,Moderate Risk
61,142524,877828,17,759,0.11,1,4,8,Salaried,Savings,West,Very Low Risk
55,97197,299109,15,564,0.14,0,0,52,Salaried,Savings,West,Low Risk
55,74198,452515,15,482,0.56,2,0,11,Business owner,Salary,East,High Risk
63,97955,904062,8,562,0.36,0,3,31,Self-employed,Current,West,Low Risk
36,87945,901383,17,566,0.11,1,1,45,Business owner,Current,East,Very Low Risk
36,118373,197495,18,758,0.28,1,1,39,Self-employed,Salary,South,Very Low Risk
67,67559,517887,16,755,0.26,2,0,7,Salaried,Current,North,Very Low Risk
36,124646,535943,5,524,0.91,2,3,44,Salaried,Savings,East,High Risk
55,75310,612953,7,602,0.15,0,4,16,Salaried,Savings,South,Low Risk
33,62560,611504,19,677,0.33,2,2,18,Salaried,Current,North,Low Risk
38,99263,342459,8,535,0.8,2,4,11,Self-employed,Salary,South,Very High Risk
61,125773,335214,0,477,0.09,2,2,7,Self-employed,Current,North,Very High Risk
66,134718,674316,0,557,0.51,0,4,54,Salaried,Salary,East,Moderate Risk
57,88523,75720,19,775,0.91,0,0,20,Salaried,Savings,West,Very Low Risk
55,154567,579575,17,500,0.08,0,1,17,Self-employed,Salary,South,Low Risk
62,90771,17486,12,577,0.1,1,3,16,Salaried,Current,North,Moderate Risk
28,158459,596379,13,479,0.91,1,0,37,Salaried,Current,South,Moderate Risk
47,79470,809501,19,632,0.26,0,3,42,Business owner,Salary,West,Very Low Risk
39,49124,799457,16,731,0.84,0,4,41,Self-employed,Salary,East,Very Low Risk
63,75575,372873,7,472,0.23,0,3,38,Salaried,Current,West,High Risk
30,52476,991443,10,485,0.83,3,0,46,Salaried,Current,South,Very High Risk
27,112463,576601,3,499,0.92,1,0,32,Self-employed,Savings,West,High Risk
68,82607,832631,0,691,0.41,2,0,13,Self-employed,Salary,South,Low Risk
63,86298,384876,6,513,0.7,3,0,53,Business owner,Savings,East,Very High Risk
29,134274,942932,10,801,0.17,1,0,23,Business owner,Salary,North,Very Low Risk
38,137483,590927,12,501,0.65,2,3,42,Business owner,Salary,South,High Risk
28,112248,203038,19,815,0.13,0,3,8,Salaried,Current,North,Very Low Risk
40,44410,823877,16,571,0.76,3,3,45,Business owner,Savings,South,High Risk
22,71206,182537,18,533,0.54,3,1,29,Business owner,Salary,East,Very High Risk
60,46514,791901,18,718,0.88,2,4,35,Salaried,Current,East,Moderate Risk
54,41449,915193,6,582,0.14,1,3,49,Self-employed,Salary,West,High Risk
55,149789,944574,3,769,0.68,3,2,33,Self-employed,Salary,West,Very Low Risk
64,58401,931964,17,734,0.5,0,3,54,Business owner,Salary,East,Very Low Risk
23,95992,397439,5,647,0.47,1,1,3,Self-employed,Current,North,Moderate Risk
33,87370,11135,6,787,0.65,4,3,31,Business owner,Current,East,High Risk
33,116285,388295,14,544,0.64,3,2,10,Salaried,Salary,West,Very High Risk
27,107588,964485,3,817,0.33,4,0,49,Self-employed,Salary,West,Very Low Risk
65,125288,445148,9,632,0.09,3,3,37,Business owner,Salary,East,Moderate Risk
45,35044,846014,2,658,0.37,2,2,6,Salaried,Salary,West,Moderate Risk
26,158031,521096,12,641,0.08,3,3,24,Business owner,Savings,East,Very Low Risk
51,131190,305415,6,502,0.78,4,2,4,Salaried,Salary,West,Very High Risk
55,80111,317811,1,818,0.39,0,4,39,Business owner,Current,East,Very Low Risk
21,84054,710356,14,593,0.51,1,2,8,Self-employed,Current,West,Moderate Risk
34,38034,578238,2,566,0.07,0,4,29,Business owner,Salary,East,Moderate Risk
29,59378,659556,6,518,0.38,0,0,10,Business owner,Salary,West,Moderate Risk
39,149575,943964,14,569,0.39,0,3,9,Salaried,Savings,West,Very Low Risk
34,23602,395717,10,821,0.18,4,3,33,Self-employed,Savings,North,High Risk
60,155173,719288,19,709,0.32,1,4,36,Salaried,Salary,North,Very Low Risk
27,50926,204562,12,636,0.1,0,0,27,Self-employed,Salary,East,Low Risk
59,111500,786465,12,626,0.71,1,4,40,Business owner,Salary,West,Low Risk
29,137034,723504,2,734,0.29,0,2,31,Self-employed,Salary,South,Very Low Risk
23,121639,178823,3,813,0.34,1,2,20,Salaried,Savings,East,Low Risk
25,71785,389640,10,647,0.24,3,0,27,Salaried,Savings,East,Low Risk
63,58722,24125,13,714,0.56,0,4,13,Salaried,Salary,West,High Risk
21,52317,726367,7,739,0.24,0,2,21,Business owner,Savings,West,Very Low Risk
22,106375,688849,19,492,0.56,0,4,5,Business owner,Savings,East,Moderate Risk
57,72683,52057,6,609,0.47,1,0,20,Business owner,Salary,South,High Risk
50,99221,276286,13,553,0.42,4,3,6,Business owner,Current,West,Very High Risk
25,26488,393243,17,838,0.76,3,3,42,Business owner,Salary,East,Moderate Risk
47,39344,994516,11,550,0.17,2,3,27,Business owner,Current,East,Moderate Risk
61,73589,847143,4,650,0.63,0,4,27,Business owner,Current,South,Moderate Risk
25,85311,820178,2,501,0.72,0,1,19,Salaried,Savings,South,High Risk
63,61051,581198,15,750,0.09,4,0,49,Self-employed,Savings,South,Low Risk
67,99829,841631,13,701,0.84,1,1,31,Self-employed,Salary,North,Very Low Risk
58,53982,410364,16,794,0.09,3,3,50,Salaried,Current,North,Low Risk
51,149662,208413,14,777,0.37,1,3,19,Business owner,Savings,West,Very Low Risk
52,48549,489818,13,770,0.84,0,4,51,Business owner,Current,North,Very Low Risk
66,84435,940318,15,521,0.62,2,3,39,Salaried,Salary,West,Moderate Risk
60,52561,430262,12,720,0.1,3,0,54,Salaried,Savings,North,Low Risk
54,36426,604740,12,693,0.76,3,1,50,Salaried,Salary,North,High Risk
59,44461,141552,13,697,0.4,2,3,20,Self-employed,Savings,East,High Risk
52,100781,290573,18,702,0.81,0,3,40,Salaried,Savings,North,Low Risk
49,119368,992317,0,483,0.48,3,4,51,Self-employed,Savings,West,High Risk
27,106562,298885,6,504,0.47,0,2,21,Business owner,Savings,South,High Risk
65,24639,585535,17,638,0.37,2,2,45,Salaried,Salary,North,High Risk
40,156901,119362,6,710,0.36,3,0,39,Business owner,Current,North,Moderate Risk
56,154731,294047,8,764,0.62,4,2,29,Self-employed,Salary,South,Moderate Risk
48,63596,667617,19,503,0.18,0,1,32,Salaried,Savings,North,Low Risk
50,96840,641703,4,525,0.49,2,2,15,Self-employed,Current,East,Very High Risk
24,98439,568068,14,654,0.1,4,4,25,Business owner,Salary,North,Moderate Risk
27,138237,610277,12,688,0.75,4,4,30,Business owner,Savings,North,Moderate Risk
27,37667,523860,17,512,0.29,0,2,30,Business owner,Current,South,High Risk
47,72094,822896,11,714,0.46,2,1,35,Business owner,Current,West,Low Risk
52,90044,979303,8,646,0.31,0,3,27,Business owner,Savings,East,Very Low Risk
54,41067,372901,10,478,0.8,0,2,52,Business owner,Salary,East,Very High Risk
49,144150,794757,14,531,0.61,1,0,28,Business owner,Current,East,Moderate Risk
26,128514,368070,4,748,0.63,0,3,15,Self-employed,Current,South,Low Risk
43,42437,876480,0,747,0.79,3,2,19,Salaried,Current,East,High Risk
52,108419,684646,6,475,0.83,4,4,32,Salaried,Savings,North,Very High Risk
62,81323,273029,20,479,0.35,2,3,31,Business owner,Salary,South,Very High Risk
45,49424,432539,11,796,0.14,2,1,39,Business owner,Savings,North,Very Low Risk
45,30616,757686,13,587,0.29,4,4,43,Business owner,Salary,West,High Risk
68,97768,435067,4,674,0.89,3,2,18,Salaried,Salary,North,Very High Risk
55,62567,245743,15,639,0.52,4,2,15,Self-employed,Current,East,Very High Risk
41,56293,394956,12,607,0.56,0,4,30,Salaried,Savings,West,High Risk
29,102389,425623,12,560,0.64,4,3,22,Salaried,Salary,South,Very High Risk
29,63624,61728,7,558,0.91,2,2,51,Salaried,Current,East,Very High Risk
57,64366,122143,3,580,0.33,4,1,53,Salaried,Salary,South,Very High Risk
27,153657,268137,18,818,0.46,3,2,42,Self-employed,Savings,South,Very Low Risk
67,158514,106894,0,706,0.3,2,1,14,Self-employed,Savings,South,High Risk
24,32495,1926,4,580,0.65,3,0,50,Self-employed,Savings,East,Very High Risk
51,43958,773881,20,684,0.83,0,3,48,Business owner,Current,East,Low Risk
33,89886,498244,17,508,0.72,3,3,35,Salaried,Savings,West,High Risk
42,104292,391171,16,797,0.61,3,2,38,Business owner,Current,South,Very Low Risk
40,134873,736449,0,584,0.15,4,3,48,Salaried,Current,South,High Risk
55,136850,318634,20,773,0.38,4,0,15,Business owner,Salary,West,Very Low Risk
39,37853,320739,10,549,0.88,2,0,40,Salaried,Savings,North,Very High Risk
24,150332,624510,19,502,0.39,3,1,3,Business owner,Salary,South,Low Risk
54,130373,125803,0,795,0.16,2,4,45,Salaried,Salary,South,Low Risk
60,86347,888532,7,822,0.9,0,0,17,Business owner,Current,East,Very Low Risk
35,78688,290837,13,525,0.2,2,2,17,Self-employed,Current,North,High Risk
44,30268,943630,3,576,0.54,1,4,48,Self-employed,Savings,North,High Risk
58,112084,697288,12,486,0.69,3,4,9,Self-employed,Salary,East,Very High Risk
38,36464,483277,12,781,0.4,2,3,19,Salaried,Current,North,Moderate Risk
51,57982,745693,15,666,0.1,0,4,46,Salaried,Current,South,Low Risk
45,156318,790763,20,601,0.7,0,1,3,Business owner,Salary,West,Very Low Risk
39,34142,276426,5,539,0.26,0,0,40,Self-employed,Salary,South,Very High Risk
31,112684,930556,3,659,0.37,0,1,44,Business owner,Current,North,Very Low Risk
42,95793,402520,16,476,0.49,0,1,38,Business owner,Current,East,Moderate Risk
32,132204,769182,14,544,0.47,2,2,26,Self-employed,Salary,East,Low Risk
63,108688,761027,11,562,0.05,1,3,31,Salaried,Salary,West,Low Risk
58,46875,722860,5,509,0.57,1,0,8,Self-employed,Current,East,Very High Risk
52,153777,999242,8,797,0.56,2,1,54,Salaried,Savings,North,Very Low Risk
41,126778,305331,7,478,0.14,0,4,46,Salaried,Savings,East,High Risk
34,111298,852706,3,478,0.87,2,3,14,Salaried,Current,South,Very High Risk
60,122793,476993,13,751,0.33,1,0,37,Salaried,Salary,West,Very Low Risk
53,129592,235107,15,794,0.3,2,0,47,Self-employed,Savings,East,Very Low Risk
68,36524,522263,4,546,0.26,1,2,51,Salaried,Current,East,High Risk
57,96457,962053,18,471,0.47,1,0,16,Salaried,Savings,North,Moderate Risk
56,95174,839446,4,742,0.52,1,2,38,Self-employed,Current,South,Very Low Risk
62,68214,155891,17,594,0.53,1,0,36,Business owner,Current,South,Moderate Risk
29,91138,7807,20,497,0.09,0,3,53,Salaried,Current,West,Moderate Risk
53,34907,403999,19,801,0.15,0,3,15,Self-employed,Current,South,Very Low Risk
61,111769,702639,18,829,0.36,2,3,36,Business owner,Savings,North,Very Low Risk
38,47682,69321,18,706,0.9,1,0,18,Business owner,Salary,North,High Risk
42,96576,294051,8,789,0.64,0,3,31,Self-employed,Current,West,Low Risk
23,71951,3109,19,719,0.82,1,0,19,Business owner,Current,South,Low Risk
57,84461,189543,7,827,0.57,3,0,49,Self-employed,Current,East,Moderate Risk
33,96130,26346,1,553,0.41,4,1,13,Self-employed,Salary,South,Very High Risk
27,123397,885533,8,481,0.54,2,0,36,Salaried,Salary,South,Moderate Risk
60,132710,971420,20,638,0.07,1,1,25,Self-employed,Savings,South,Very Low Risk
33,71742,972510,15,800,0.3,1,3,44,Business owner,Salary,South,Very Low Risk
45,78337,616492,17,553,0.37,3,0,26,Salaried,Savings,South,High Risk
52,81273,499074,20,562,0.25,4,4,37,Salaried,Savings,East,High Risk
36,131495,385593,8,793,0.73,1,0,7,Salaried,Current,South,Very Low Risk
51,66836,708193,14,667,0.07,2,4,20,Business owner,Current,West,Low Risk
32,114838,707604,13,785,0.28,2,3,9,Business owner,Savings,South,Very Low Risk
25,95091,86957,3,561,0.37,4,2,18,Business owner,Savings,West,Very High Risk
45,90689,285649,20,689,0.37,0,3,16,Self-employed,Savings,West,Low Risk
58,42582,236846,8,792,0.82,3,0,25,Business owner,Savings,North,Very High Risk
67,81443,211264,7,694,0.82,4,0,19,Salaried,Salary,North,High Risk
66,56625,195514,16,576,0.81,4,2,46,Salaried,Savings,South,Very High Risk
28,34780,872075,16,799,0.78,3,1,26,Business owner,Current,East,Low Risk
41,60615,653250,8,512,0.37,2,3,36,Salaried,Savings,North,High Risk
68,45166,560464,18,683,0.14,4,1,30,Business owner,Savings,West,High Risk
42,46106,607305,17,776,0.59,1,2,16,Business owner,Salary,South,Low Risk
22,123460,128361,1,552,0.83,2,1,32,Business owner,Current,South,Very High Risk
48,149258,844680,15,800,0.3,4,0,19,Business owner,Current,West,Very Low Risk
51,113169,102816,1,805,0.45,3,4,23,Salaried,Salary,West,Moderate Risk
34,116952,574267,11,804,0.28,4,1,20,Self-employed,Current,East,Very Low Risk
35,33440,202594,16,640,0.19,2,0,32,Self-employed,Salary,West,High Risk
40,124964,631545,19,742,0.08,2,2,44,Business owner,Current,East,Very Low Risk
39,156435,349836,1,631,0.69,2,4,41,Salaried,Savings,West,High Risk
56,108658,708073,18,513,0.83,2,1,8,Salaried,Current,North,High Risk
39,154534,329571,18,779,0.4,1,3,26,Salaried,Savings,East,Very Low Risk
30,107671,570696,16,620,0.11,2,0,50,Business owner,Savings,South,Low Risk
48,77491,881875,4,494,0.35,3,0,45,Salaried,Savings,South,Moderate Risk
38,114996,783606,3,637,0.56,2,1,31,Business owner,Current,West,Moderate Risk
54,116752,657056,15,839,0.7,0,1,53,Business owner,Salary,South,Very Low Risk
66,101751,278475,5,722,0.51,1,0,17,Self-employed,Current,West,Moderate Risk
41,51567,422702,10,551,0.78,4,1,20,Salaried,Savings,West,Very High Risk
68,130387,955536,8,708,0.17,2,0,51,Business owner,Savings,East,Very Low Risk
58,47113,981396,6,564,0.9,1,0,48,Self-employed,Current,West,High Risk
28,113045,737478,20,712,0.19,4,1,24,Self-employed,Savings,North,Very Low Risk
29,148880,378164,6,601,0.26,4,3,35,Salaried,Savings,North,High Risk
66,158432,885636,2,569,0.39,0,0,12,Salaried,Salary,North,Very Low Risk
65,24761,973978,2,707,0.83,2,3,14,Salaried,Savings,North,Moderate Risk
26,73177,202755,13,551,0.63,4,3,18,Salaried,Savings,North,Very High Risk
45,139731,969365,7,585,0.28,2,2,26,Salaried,Current,East,Low Risk
42,67704,38205,1,601,0.57,2,3,29,Business owner,Savings,North,Very High Risk
39,45878,248079,0,524,0.83,4,0,25,Self-employed,Current,West,Very High Risk
31,58484,600735,8,643,0.25,3,4,13,Salaried,Savings,West,High Risk
52,156494,104568,11,744,0.88,3,1,18,Salaried,Salary,North,Low Risk
29,105274,754637,18,700,0.2,1,0,36,Self-employed,Current,East,Very Low Risk
56,30582,219065,19,726,0.08,3,0,50,Salaried,Current,South,Moderate Risk
48,41892,202990,2,773,0.79,0,1,12,Salaried,Salary,North,Moderate Risk
37,126687,391091,4,641,0.12,2,2,19,Business owner,Salary,South,Moderate Risk
35,131566,29182,18,710,0.44,4,1,36,Business owner,Current,South,High Risk
64,29701,955159,14,812,0.1,1,2,29,Salaried,Savings,East,Very Low Risk
53,153842,758840,19,793,0.36,3,3,50,Business owner,Current,North,Very Low Risk
27,101383,749404,15,840,0.61,2,2,22,Self-employed,Savings,South,Very Low Risk
30,28223,997068,20,634,0.84,0,2,5,Salaried,Savings,West,Low Risk
49,105493,20841,4,540,0.22,4,3,30,Self-employed,Current,North,Very High Risk
55,102687,401229,17,804,0.74,0,4,54,Self-employed,Salary,South,Very Low Risk
25,129617,200207,7,555,0.29,3,2,17,Salaried,Current,North,High Risk
62,115455,807950,17,562,0.34,2,2,45,Business owner,Current,East,Low Risk
44,56466,338471,17,718,0.54,2,1,50,Self-employed,Savings,East,Moderate Risk
46,27935,65003,6,500,0.37,0,3,25,Business owner,Savings,South,Very High Risk
22,85009,190490,1,828,0.15,2,1,20,Self-employed,Savings,South,Moderate Risk
51,35734,201857,15,736,0.51,4,0,24,Business owner,Salary,North,High Risk
28,79874,672288,15,470,0.34,0,3,7,Salaried,Savings,North,High Risk
58,25513,820391,2,591,0.12,0,2,54,Self-employed,Savings,South,Very Low Risk
34,124875,282335,5,757,0.62,0,0,43,Self-employed,Salary,West,Low Risk
60,70022,875525,20,481,0.76,4,4,12,Business owner,Savings,West,Very High Risk
66,111978,88871,14,479,0.53,0,3,8,Business owner,Current,East,High Risk
34,128270,471686,12,819,0.59,3,0,46,Self-employed,Savings,North,Very Low Risk
31,154805,580476,15,808,0.35,4,1,54,Self-employed,Current,South,Very Low Risk
58,116442,140542,16,730,0.58,0,3,34,Business owner,Current,South,Very Low Risk
26,24198,679401,1,593,0.36,3,3,27,Business owner,Savings,North,Very High Risk
40,85406,923751,3,724,0.33,4,4,18,Self-employed,Salary,West,Low Risk
27,117217,783112,15,743,0.25,4,3,17,Self-employed,Current,East,Low Risk
49,47381,958719,6,830,0.27,0,0,33,Business owner,Current,North,Very Low Risk
23,135146,245476,0,730,0.73,2,2,6,Salaried,Salary,North,Moderate Risk
61,70935,39166,19,658,0.15,1,2,45,Business owner,Salary,North,Moderate Risk
60,112953,361164,14,807,0.64,0,2,44,Business owner,Savings,West,Very Low Risk
57,79717,358996,18,648,0.18,4,4,28,Salaried,Salary,South,Moderate Risk
55,58233,741789,12,846,0.67,1,0,45,Self-employed,Current,East,Very Low Risk
33,72223,693115,6,556,0.74,3,1,27,Self-employed,Salary,South,High Risk
36,47218,706378,10,601,0.44,2,4,25,Self-employed,Current,West,Moderate Risk
36,120171,793362,5,837,0.3,4,1,51,Salaried,Current,South,Very Low Risk
41,111759,562406,14,841,0.23,2,4,46,Self-employed,Savings,East,Very Low Risk
25,23465,575221,18,842,0.62,1,1,54,Self-employed,Savings,East,Very Low Risk
59,56221,430485,7,724,0.62,2,4,16,Self-employed,Savings,North,High Risk
33,35622,526633,5,506,0.7,3,0,16,Salaried,Savings,West,Very High Risk
29,24312,156475,14,651,0.1,4,1,44,Business owner,Savings,East,Very High Risk
62,29923,179809,17,749,0.26,4,0,28,Salaried,Savings,East,High Risk
37,92608,828989,4,815,0.74,2,4,53,Business owner,Salary,South,Low Risk
59,99920,367124,15,475,0.63,2,0,25,Business owner,Current,West,High Risk
47,134318,796687,6,760,0.38,3,3,6,Self-employed,Salary,West,Very Low Risk
52,132997,147648,20,572,0.82,2,2,49,Business owner,Current,North,Moderate Risk
48,91185,382991,8,724,0.6,4,2,9,Self-employed,Current,East,High Risk
63,50028,715066,16,755,0.55,2,1,6,Salaried,Savings,East,Low Risk
48,118830,317679,7,510,0.84,0,1,22,Business owner,Savings,West,High Risk
60,129266,636560,19,652,0.55,2,4,8,Business owner,Savings,South,Low Risk
61,28534,417052,11,801,0.23,3,4,9,Salaried,Salary,North,High Risk
35,66882,741299,9,581,0.33,1,0,4,Salaried,Savings,East,Low Risk
30,69151,684238,5,578,0.75,0,2,53,Self-employed,Savings,South,Moderate Risk
27,43555,213566,2,730,0.18,4,4,32,Business owner,Savings,East,Very High Risk
66,155368,941513,10,654,0.15,0,1,7,Salaried,Salary,South,Very Low Risk
60,72511,840332,0,559,0.79,4,1,18,Self-employed,Savings,North,Very High Risk
34,155079,573352,19,471,0.45,2,1,11,Business owner,Savings,East,Low Risk
22,124911,255029,17,572,0.53,3,2,20,Salaried,Salary,North,Moderate Risk
42,34161,245008,18,589,0.55,3,3,21,Salaried,Salary,West,Very High Risk
35,87043,49184,0,539,0.1,4,4,12,Self-employed,Salary,South,Very High Risk
26,43506,638307,5,572,0.73,4,4,28,Salaried,Salary,North,Very High Risk
36,88451,996732,19,636,0.48,1,3,26,Self-employed,Salary,East,Very Low Risk
68,41697,263407,18,537,0.38,1,2,29,Self-employed,Salary,North,Very High Risk
32,159462,330901,15,776,0.65,1,2,5,Self-employed,Current,West,Very Low Risk
59,135376,468088,16,751,0.61,3,2,7,Salaried,Salary,West,Low Risk
30,114587,656251,10,514,0.4,2,2,25,Business owner,Savings,West,Moderate Risk
34,32150,873051,9,755,0.77,4,3,5,Self-employed,Savings,North,High Risk
59,67670,386599,11,522,0.83,2,0,32,Business owner,Salary,North,Very High Risk
47,37552,984751,7,637,0.64,0,1,10,Business owner,Current,East,Low Risk
48,156280,978760,9,815,0.37,2,2,20,Salaried,Current,South,Very Low Risk
41,105224,598802,2,660,0.52,1,2,17,Business owner,Current,West,Low Risk
61,39322,589609,3,603,0.86,3,0,43,Business owner,Savings,North,Very High Risk
40,90887,223687,12,495,0.15,3,2,16,Self-employed,Salary,North,Very High Risk
39,132988,628875,16,541,0.84,2,4,45,Salaried,Salary,East,Moderate Risk
57,59851,46055,13,753,0.5,4,3,27,Business owner,Savings,North,Very High Risk
49,34022,913104,14,710,0.78,3,1,48,Self-employed,Salary,South,Low Risk
43,79159,587774,3,509,0.8,1,4,7,Self-employed,Savings,North,Very High Risk
39,42970,447729,13,681,0.63,3,0,53,Self-employed,Current,West,Moderate Risk
61,98350,334089,6,521,0.47,4,2,49,Self-employed,Savings,East,Very High Risk
41,142397,152451,5,690,0.32,3,3,41,Business owner,Salary,North,Moderate Risk
41,108527,328160,9,786,0.65,4,1,8,Business owner,Salary,West,High Risk
57,93917,523538,16,752,0.28,0,1,39,Business owner,Salary,South,Very Low Risk
66,127818,263060,7,704,0.6,4,0,20,Salaried,Salary,West,Moderate Risk
50,159850,956807,8,667,0.69,4,4,10,Self-employed,Savings,North,Low Risk
66,124957,482389,10,798,0.52,2,2,27,Salaried,Salary,East,Low Risk
31,53832,491613,18,509,0.55,3,0,32,Self-employed,Current,South,High Risk
25,57073,957024,1,592,0.57,0,3,16,Business owner,Salary,East,High Risk
53,146883,817221,14,491,0.12,4,4,14,Salaried,Salary,North,High Risk
31,49741,553046,18,809,0.23,3,4,19,Self-employed,Salary,West,Low Risk
60,128906,448993,7,495,0.46,3,1,23,Self-employed,Savings,West,Very High Risk
